하천명,Flow,Temp,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
반변천,10.454 ,15.6 ,7.8 ,10.6 ,1.4 ,5.5 ,5.6 ,190 ,2.199 ,0.023 ,3.8 
미천,2.604 ,16.0 ,7.8 ,11.0 ,1.2 ,4.6 ,5.8 ,329 ,3.476 ,0.029 ,3.0 
내성천,17.953 ,15.7 ,7.8 ,11.1 ,0.9 ,3.3 ,14.4 ,260 ,3.531 ,0.060 ,1.8 
금천,2.578 ,15.2 ,7.8 ,11.9 ,1.4 ,4.3 ,9.3 ,222 ,2.069 ,0.052 ,2.6 
영강,10.644 ,16.2 ,7.7 ,11.4 ,1.4 ,3.9 ,6.3 ,288 ,2.391 ,0.028 ,2.2 
병성천,5.405 ,16.7 ,7.8 ,11.2 ,1.7 ,5.1 ,15.8 ,288 ,2.955 ,0.075 ,3.3 
위천,11.659 ,16.8 ,8.1 ,11.1 ,2.1 ,6.3 ,9.3 ,283 ,2.615 ,0.041 ,4.2 
감천,12.907 ,17.4 ,7.8 ,10.1 ,1.6 ,4.7 ,17.0 ,315 ,4.093 ,0.077 ,2.8 
금호강,35.207 ,17.5 ,8.1 ,11.5 ,3.7 ,8.6 ,11.7 ,699 ,6.457 ,0.138 ,6.1 
회천,16.590 ,18.6 ,8.1 ,11.6 ,1.5 ,4.2 ,6.9 ,208 ,2.009 ,0.038 ,2.5 
황강,32.603 ,15.0 ,7.8 ,10.3 ,0.9 ,3.6 ,21.0 ,130 ,1.859 ,0.039 ,2.1 
남강,73.054 ,17.1 ,8.0 ,10.8 ,2.4 ,5.5 ,13.9 ,185 ,2.325 ,0.056 ,3.2 
밀양강,17.920 ,16.9 ,7.9 ,10.9 ,2.0 ,4.5 ,8.1 ,207 ,2.494 ,0.045 ,2.6 
송야천,0.778 ,16.6 ,7.8 ,10.4 ,1.0 ,5.7 ,68.1 ,410 ,4.283 ,0.095 ,3.1 
풍산천,0.249 ,15.6 ,7.7 ,11.2 ,1.5 ,5.4 ,5.9 ,262 ,4.214 ,0.055 ,3.4 
광산천,1.088 ,16.7 ,7.9 ,11.3 ,1.3 ,5.0 ,12.1 ,309 ,5.181 ,0.042 ,3.1 
한천,1.783 ,17.2 ,7.6 ,9.9 ,1.8 ,6.8 ,7.6 ,1174 ,4.431 ,0.093 ,4.4 
백천,4.146 ,15.5 ,7.6 ,9.6 ,2.0 ,5.7 ,19.6 ,310 ,2.775 ,0.113 ,3.7 
하빈천,0.734 ,16.4 ,7.9 ,11.4 ,3.4 ,8.8 ,23.0 ,398 ,2.495 ,0.128 ,6.3 
차천,1.141 ,19.9 ,7.6 ,9.2 ,2.3 ,11.8 ,17.1 ,1133 ,5.634 ,0.090 ,8.2 
신반천,3.872 ,16.9 ,7.9 ,10.3 ,1.8 ,5.0 ,14.3 ,256 ,2.733 ,0.054 ,2.9 
토평천,2.462 ,16.6 ,7.7 ,9.2 ,4.4 ,10.6 ,29.6 ,367 ,2.457 ,0.144 ,7.3 
계성천,1.178 ,16.2 ,7.5 ,9.3 ,3.2 ,8.3 ,15.3 ,342 ,4.012 ,0.178 ,5.5 
광려천,2.779 ,17.1 ,8.1 ,11.0 ,2.8 ,6.5 ,11.0 ,366 ,2.734 ,0.071 ,4.0 
청도천,2.353 ,16.6 ,7.6 ,10.2 ,2.3 ,4.6 ,12.8 ,207 ,2.483 ,0.053 ,2.5 
주천강,2.403 ,17.9 ,7.6 ,9.2 ,4.9 ,9.9 ,30.8 ,448 ,3.896 ,0.130 ,6.6 
회포천,2.948 ,16.9 ,7.7 ,9.3 ,4.2 ,8.5 ,39.3 ,423 ,3.545 ,0.138 ,5.7 
양산천,5.857 ,17.5 ,7.8 ,10.5 ,3.7 ,7.6 ,20.4 ,424 ,4.398 ,0.099 ,4.4 
