yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
Jan-00,6.9,12.9,2,4.1,3.1,3.257,0.119,5,129,3,0.13,2.66,1
Feb-00,7.4,12.8,2,3.2,2.7,3.201,0.102,4,123,5,0.174,2.462,75
Mar-00,7.5,13.4,3.6,6.1,8.4,3.24,0.111,7,0,2,0.22,2.418,1
Apr-00,8.2,13.6,5.9,9,21.4,2.26,0.151,14,211,5,0.189,1.488,1
May-00,8.4,13.4,6.4,12.6,24.2,1.546,0.13,20,208,4,0.116,0.757,2
Jun-00,7.2,8.3,5.5,12.2,22.6,4.776,0.221,24,185,33,0.465,2.4,1
Jul-00,7,8.6,2.8,8.7,11.6,3.516,0.154,25,150,2900,0.16,1.687,500
Aug-00,7.1,9.3,2.1,5.9,11.1,2.054,0.061,28,168,4800,0.079,1.804,930
Sep-00,6.9,8.2,1.2,5.4,11.6,1.947,0.09,24,122,5000,0.146,1.588,2600
Oct-00,7,8.9,1.5,5.1,3,2.062,0.041,20,140,3300,0.085,1.205,250
Nov-00,7.1,10.9,1.7,5.9,11.4,2.332,0.06,14,289,730,0.122,1.644,230
Dec-00,7.3,12.8,2,5.2,4.2,3.031,0.086,7,198,1200,0.2,2.258,230
Jan-01,7.2,14,2.4,6.1,5.2,3.209,0.091,4,203,2400,0.157,2.373,350
Feb-01,7.3,12.3,1.8,3.5,3.7,3.305,0.09,4,130,500,0.254,2.626,130
Mar-01,7.1,12,1.8,5.3,7.5,3.16,0.091,6,155,3600,0.319,2.252,350
Apr-01,7.5,12.6,4.3,6.6,12.7,3.292,0.08,15,278,3600,0.44,1.748,250
May-01,7.6,10.7,6.3,9.6,15,1.609,0.159,21,240,310,0.111,1.105,8
Jun-01,7.4,9.9,5.1,11.2,17.1,3.383,0.159,25,319,430,0.086,2.141,55
Jul-01,7,6.8,2,6.2,12.3,5.216,0.102,26,177,1400,0.035,2.452,170
Aug-01,7.2,8.1,2.5,6.2,8.8,2.534,0.083,29,257,1100,0.032,1.427,180
Sep-01,7,8.9,2.2,6.5,5.8,1.622,0.061,27,308,2200,0.032,1.145,250
Oct-01,6.8,8.9,1.4,6,4.4,2.396,0.057,24,225,2100,0.094,1.511,280
Nov-01,7.4,11.3,1.3,6.1,3.4,3.086,0.052,18,173,1200,0.257,1.57,150
Dec-01,7.2,12.1,2.2,6.1,7.3,3.999,0.054,9,229,330,0.172,2.185,56
Jan-02,7.4,12.2,1.6,3,2.1,5.409,0.042,7,258,1200,0.138,2.832,210
Feb-02,7.2,13.2,1.1,2.9,2.8,4.854,0.044,6,173,510,0.097,2.882,160
Mar-02,8.1,13.1,2.5,5,8.1,5.08,0.031,10,198,720,0.121,2.473,130
Apr-02,8.5,10.8,4.1,5.1,17.4,3.246,0.036,13,271,1800,0.073,1.715,330
May-02,7.4,8.8,3.5,4.3,20.2,2.876,0.034,19,210,1700,0.052,1.523,530
Jun-02,7.3,8.8,4.2,4.4,11.8,3.538,0.02,23,212,1200,0.073,2.412,640
Jul-02,7.5,7.9,3,5,6,4.21,0.064,27,270,1200,0.057,1.956,1100
Aug-02,7.2,7.4,1.2,3.4,5.7,3.871,0.044,27,210,1400,0.043,1.644,1100
Sep-02,7.3,7.7,1.2,4.6,6.1,6.564,0.132,26,170,3400,0.098,2.452,1300
Oct-02,7.8,9.5,1.8,5.8,5.4,3.551,0.117,20,184,1300,0.086,1.878,580
Nov-02,7.7,11,2.6,5,7.8,2.57,0.116,11,274,2100,0.084,2.252,240
Dec-02,7.6,11.3,1.6,3.9,4.3,3.423,0.08,6,276,2700,0.15,2.819,280
Jan-03,7.3,12.7,1.4,3.9,2.8,3.426,0.086,5,307,1900,0.201,2.792,210
Feb-03,7.5,12,1.6,5,7.8,5.177,0.092,5,260,600,0.207,2.663,75
Mar-03,7.3,11.6,1.8,5.3,9.5,3.358,0.115,8,196,690,0.298,2.079,58
Apr-03,7.8,11.5,3.9,6,12.8,2.801,0.063,15,201,670,0.201,2.079,78
May-03,7.4,8.4,1.6,5.7,18.9,2.546,0.088,20,215,1100,0.268,1.607,140
Jun-03,7.8,9.7,4.2,9,18.8,3.89,0.115,23,205,750,0.555,2.572,190
Jul-03,6.9,8.9,2.1,5.8,25.7,5.168,0.083,23,145,650,0.314,2.27,180
