yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2000/01,7,12.3,6.2,6.7,4.8,9.394,0.612,5,260,32,2.013,3.777,4
2000/02,7.2,10.4,7.1,9.6,6,10.076,0.674,5,230,38,1.963,8.287,22
2000/03,7.3,11.6,9.1,9.8,11.6,16.24,0.783,7,380,36,4.536,7.941,6
2000/04,7.6,9.3,13.3,11.7,35.2,14.368,0.95,15,539,14,1.714,12.606,8
2000/05,7.5,6.5,11.4,12.8,30.8,16.384,1.541,18,595,14,11.022,3.37,5
2000/06,8,11.5,9.2,15.1,41.6,9.576,0.806,24,300,41,3.004,2.186,26
2000/07,7.5,9.8,10.5,10.8,20.4,8.366,0.571,26,235,34000,0.112,4.785,13000
2000/08,7,5.7,7.7,9.3,23.6,5.515,0.442,29,250,75000,2.572,1.731,50000
2000/09,7.1,7.7,2.5,6.9,16.8,3.389,0.12,25,260,65000,1.09,1.493,50000
2000/10,7.2,8.7,4.7,7.8,9.6,7.853,0.355,22,280,40000,2.829,3.129,10000
2000/11,7.8,12.5,9.7,10,18,10.781,0.701,17,460,36000,4.891,4.118,22000
2000/12,7.2,11.6,7.8,8.4,10.8,10.286,0.739,8,250,90000,6.361,3.082,60000
2001/01,7.2,11.6,11.5,9.4,14.8,10.877,0.83,5,300,150000,7.405,3.205,34000
2001/02,7.2,11.8,11.9,7,10,11.76,1.085,8,220,8000,9.087,2.653,6000
2001/03,7,11.6,4,6.2,16.8,5.746,0.336,7,205,22000,0.491,4.269,4000
2001/04,8,14.5,8.9,11.6,17.2,24.168,1.253,11,500,8000,10.71,11.606,1000
2001/05,7,6.8,14.7,10.6,18,13.689,1.113,20,330,3400,0.088,12.716,40
2001/06,7.5,9.3,20.3,13.2,20,14.361,1.588,27,390,4900,7.53,7.171,280
2001/07,7.6,7.1,5.8,6.3,12,7.269,0.37,29,210,16000,0.097,2.843,60
2001/08,6.9,8.3,5.3,8.9,9.6,5.567,0.387,29,235,6300,0.055,7.257,5000
2001/09,7.7,11.7,9.2,7.5,16,8.846,0.763,29,345,4500,2.212,6.069,1600
2001/10,6.9,5.9,7.1,5.1,8.4,8.435,0.548,19,330,2300,2.112,6.222,1100
2001/11,6.9,7.3,5.4,7.4,6.8,10.67,0.681,18,160,1900,1.675,8.907,220
2001/12,7.3,9.8,7.6,9.6,39.6,13.456,0.855,12,450,3700,10.476,3.214,600
2002/01,7.6,11.1,6.1,8.7,6.4,17.917,1.091,6,482,37000,3.838,12.8,4200
2002/02,7.5,11.8,5.9,7.5,3.6,13.667,0.654,5,270,14000,11.021,2.564,1900
2002/03,8,11.6,8,8.3,12.8,14.11,1.228,13,450,7300,10.959,3.02,1800
