month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,260,300,482,550,461,548,884,272,254,534,515,521,489,417,485,403,417,432,561,485
Feb,230,220,270,460,451,542,3,355,420,493,454,499,517,281,482,422,355,473,548,434
Mar,380,205,450,280,484,447,223,326,450,464,364,413,476,318,457,430,317,428,386,454
Apr,539,500,180,353,597,521,417,342,435,494,379,426,344,363,427,346,284,369,364,374
May,595,330,250,263,402,153,539,565,309,484,345,252,361,355,382,309,287,445,306,349
Jun,300,390,350,270,337,151,442,459,210,360,369,287,360,301,338,290,288,351,382,325
Jul,235,210,240,94,319,166,205,244,207,217,265,175,224,261,295,237,230,274,323,257
Aug,250,235,140,168,285,232,226,230,270,241,199,177,194,250,152,291,317,262,343,273
Sep,260,345,410,152,305,228,220,176,308,307,197,284,141,232,282,322,276,272,294,243
Oct,280,330,245,393,399,277,185,181,415,404,338,389,234,357,332,313,220,388,336,291
Nov,460,160,436,461,438,142,390,248,466,459,432,404,351,384,360,349,371,480,415,419
Dec,250,450,420,557,471,264,365,283,523,546,527,457,341,473,416,341,428,559,466,480
