month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,4,34000,4200,5300,4700,1500,100,178,174,150,1070,2061,1995,310,11,155,60,54,176,34
Feb,22,6000,1900,5300,800,2500,700,1767,68,213,5125,1805,3681,2242,44,1062,462,81,144,1183
Mar,6,4000,1800,6300,400,4100,700,1667,188,138,2308,1875,4409,4626,229,51,258,70,3100,1783
Apr,8,1000,2400,2700,500,3800,100,3300,315,5604,3886,1340,7173,912,1049,1159,1314,163,13833,14434
May,5,40,2600,1600,2000,4100,9,2700,694,545,3833,7078,262,1051,1333,686,1864,81,20125,19518
Jun,26,280,1100,1600,5300,3100,550,2325,269,239,2100,1413,85,7563,313,833,1360,52,1975,2370
Jul,13000,60,8500,5300,1700,2100,830,3040,1280,589,8000,16150,3834,4674,2614,1948,7305,2865,14806,25288
Aug,50000,5000,900,3800,900,1900,3000,805,600,71,8533,14350,8235,3539,28113,1107,2456,11600,10315,23030
Sep,50000,1600,3200,4200,1900,1800,5400,1400,530,53,6548,723,3200,2696,2195,3161,2175,3185,57875,16658
Oct,10000,1100,3600,5200,3800,3000,5400,2300,475,200,7150,431,1831,233,8475,450,8050,630,9980,883
Nov,22000,220,12000,4400,2100,800,1600,54,425,643,2125,1619,558,2400,898,4605,1416,172,22395,300
Dec,60000,600,9600,2600,2100,700,2600,10,970,5206,5400,1408,2825,569,6070,1078,545,1225,3690,3168
