month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,32,150000,37000,20000,16000,12000,300,550,4420,6913,25156,11472,8810,6160,345,6880,875,1576,3820,730
Feb,38,8000,14000,20000,6200,9000,280,24667,1304,10500,93375,21317,19875,26050,485,3675,5561,3070,1115,8225
Mar,36,22000,7300,27000,3000,17000,280,35667,3294,10075,27950,8761,25150,21975,5039,1512,3675,5275,13450,22600
Apr,14,8000,5600,16000,5600,20000,180,53000,8470,59080,120800,15525,25851,6178,7838,17763,5775,2800,59600,78900
May,14,3400,3600,12000,5100,25000,150,38750,6950,128500,80667,22204,1766,8613,9383,5298,8700,220,78500,63025
Jun,41,4900,24000,12000,580,15000,1980,25750,5538,76688,67200,7570,263,20650,2253,6342,11250,100,7450,19025
Jul,34000,16000,16000,21000,5000,12000,5360,55600,6970,81333,27750,53750,18471,23700,9902,8623,27275,9775,67760,54880
Aug,75000,6300,3500,11000,2000,11000,19700,58250,8025,36125,26333,44700,35000,6590,82200,4028,10192,23500,32800,54900
Sep,65000,4500,7500,9000,7000,8100,29000,31200,6190,47800,16080,5304,23675,6043,7260,10753,12250,10475,100750,51880
Oct,40000,2300,6000,19000,17000,15000,29000,23150,5400,47667,24850,1931,3375,1374,18265,1961,36000,2075,29620,3250
Nov,36000,1900,29000,21000,12000,1500,500,1845,5125,33792,9300,7910,6000,19731,5538,19705,6800,1311,41175,2155
Dec,90000,3700,22000,7000,12000,280,2000,330,7510,50280,27360,5567,11330,3625,22820,16400,5880,12125,16975,14225
