month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,0.612,0.83,1.091,1.35,1.446,1.273,0.856,0.95,0.526,0.559,0.525,0.561,0.636,0.14,0.093,0.115,0.124,0.114,0.125,0.154
Feb,0.674,1.085,0.654,1.057,1.488,1.213,0.558,1.431,0.567,0.645,0.468,0.488,0.574,0.135,0.134,0.11,0.154,0.154,0.177,0.195
Mar,0.783,0.336,1.228,0.438,1.692,1.112,0.473,1.092,1.055,0.567,0.284,0.518,0.61,0.168,0.182,0.147,0.176,0.121,0.199,0.194
Apr,0.95,1.253,0.299,0.517,2.538,2.515,1.002,0.946,1.166,0.714,0.393,0.607,0.424,0.1,0.136,0.162,0.137,0.159,0.203,0.358
May,1.541,1.113,0.551,0.441,0.864,0.898,1.85,1.336,0.749,0.88,0.372,0.247,0.332,0.242,0.149,0.14,0.14,0.133,0.183,0.197
Jun,0.806,1.588,0.498,0.623,1.483,0.408,0.331,0.601,0.418,0.585,0.263,0.276,0.355,0.161,0.124,0.126,0.146,0.106,0.128,0.2
Jul,0.571,0.37,0.414,0.304,0.504,0.912,0.226,0.541,0.383,0.323,0.264,0.345,0.15,0.141,0.188,0.137,0.166,0.176,0.214,0.163
Aug,0.442,0.387,0.122,0.192,0.773,0.21,0.301,0.457,0.558,0.239,0.24,0.169,0.136,0.182,0.22,0.19,0.204,0.181,0.227,0.181
Sep,0.12,0.763,0.247,0.286,0.463,0.012,0.249,0.286,0.504,0.235,0.178,0.18,0.069,0.144,0.128,0.153,0.152,0.105,0.19,0.129
Oct,0.355,0.548,0.48,0.76,0.588,0.324,0.488,0.301,0.585,0.506,0.229,0.572,0.081,0.086,0.111,0.118,0.192,0.091,0.158,0.063
Nov,0.701,0.681,0.738,0.966,0.785,0.853,0.892,0.412,0.614,0.606,0.368,0.573,0.112,0.116,0.1,0.202,0.163,0.087,0.209,0.086
Dec,0.739,0.855,1.076,0.754,0.763,0.547,0.644,0.655,0.761,0.546,0.385,0.497,0.137,0.128,0.126,0.169,0.122,0.117,0.14,0.116
