month,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Jan,5,5,6,4,7,7,4.2,6.5,5.8,5.5,5,4.6,5.3,4,5.8,5.6,6.6,6.1,5.8,6.7
Feb,5,8,5,5,7.5,6,6.9,7.3,5.5,8,7.5,7,5.9,5,7.6,6.5,6.9,7,6.5,7.5
Mar,7,7,13,10,13,12,8.3,12,11,11.5,9.8,9.2,11.3,12.2,10.4,10.4,11.6,11.1,11.7,12
Apr,15,11,16,15,20.2,17.5,13.6,14.4,16.2,15.2,14.4,15.5,16.1,14.5,16.5,15.8,16.6,16.6,16.6,15.3
May,18,20,21,20,19.5,20,16.8,20.8,20,21.5,20,20.3,23.2,22.1,20.9,20.9,21.4,21.6,21.5,20.6
Jun,24,27,22,24,28,25,26,23.5,22.3,23.8,25.6,23.8,26.3,24.9,24.7,23.9,24.3,24.1,26,24.4
Jul,26,29,29,25,27.5,24.7,22.2,24.2,26,24.7,25.5,25.8,27.2,27.1,26,26.2,26.2,27.2,28.7,26.1
Aug,29,29,27,27,32,28.7,28.8,28.3,28,27,27.3,26.4,28,29.8,24.4,27.8,29,27.5,29.5,28.1
Sep,25,29,27,24,26.5,26.2,22,26.2,25,24.4,24.6,26.3,23,25.3,24.5,24,24,23.7,24.5,24.5
Oct,22,19,21,20,18,24,20,21.3,18.8,18.8,18.8,18.9,19,20.7,19.8,20.1,19.5,18.9,18.4,19.6
Nov,17,18,12,18,18,20.4,18,15,12.8,13.3,12.5,14.9,12.3,13,13.3,15.6,13.2,12.1,13.4,14.9
Dec,8,12,6,14,12,11.5,10.3,9,7.8,7.6,7.8,7.8,5.8,7.6,6.7,9,8.3,7.4,8.4,9
