yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2000/01,7,12.3,7.7,9,7.6,12.723,0.621,5,350,24,5.752,5.435,6
2000/02,7.2,9.3,8.1,10.2,6.8,12.956,0.694,5,270,42,5.718,7.097,30
2000/03,7.2,9.5,9.3,11.5,8.8,18.944,0.995,7,230,26,9.294,1.116,4
2000/04,7.4,7,13.9,12.3,18.4,17.696,0.95,15,558,18,7.725,9.886,7
2000/05,7.3,5.2,11.5,13.3,26.8,18.613,1.661,18,624,12,14.276,3.734,6
2000/06,7.4,10.9,9.7,15.4,47.5,9.528,0.778,24,160,33,2.908,2.135,18
2000/07,7.6,11,6.4,11,17.2,8.117,0.542,26,245,32000,0.107,4.346,20000
2000/08,7,6.7,6.8,8,22.4,6.245,0.499,29,250,90000,2.421,3.005,55000
2000/09,7,7.5,2.5,6.6,10.8,5.357,0.216,25,240,150000,3.156,2.119,110000
2000/10,7.2,8.5,5.2,7.3,9.6,7.666,0.461,23,300,65000,3.22,2.765,25000
2000/11,7.8,12.1,8.7,8.3,18.4,10.574,0.998,17,450,52000,5.785,2.406,36000
2000/12,7.2,10.3,7.2,9.3,8.8,14.091,0.96,9,360,80000,10.445,2.762,55000
2001/01,7.2,11.8,9.1,9.2,19.6,9.542,0.73,5,260,110000,6.353,2.778,30000
2001/02,7.2,11.5,9.8,7.4,6.4,14.057,1.454,8,240,18000,11.652,2.292,10000
2001/03,7,11.2,3.7,6.6,8.4,6.278,0.418,7,255,20000,1.684,3.426,6000
2001/04,7.5,11.2,8.4,11.5,11.6,13.022,1.56,11,540,9200,0.93,11.345,1200
2001/05,6.9,7.1,14.6,11.1,24.4,16.113,1.275,19,200,5200,0.101,18.345,90
2001/06,7.2,8.6,17.2,13.6,13.2,18.926,2.937,25,450,7200,10.993,7.493,330
2001/07,7.8,7.2,5.3,6.2,9.2,8.123,0.491,29,250,12000,1.039,2.298,1700
2001/08,7,8,3.4,9.3,6.4,6.166,0.4,29,265,4900,0.056,8.398,3400
2001/09,7.4,8.5,8.4,9.6,13.6,12.37,1.344,30,450,11000,4.051,12.193,6000
2001/10,6.6,6,8.2,9.3,8,8.876,0.412,19,315,10000,2.961,5.435,2500
2001/11,6.9,6.7,5.6,7.2,5.2,14.984,0.95,18,180,7700,2.856,12.002,1700
2001/12,7.4,7.7,11.9,9.6,10.4,13.484,0.907,11,530,55000,10.517,3.105,1400
2002/01,7.8,8.7,9.9,7.1,11.6,15.269,1.087,6,548,42000,4.573,10.491,9600
2002/02,7.3,11,8.1,8.4,4.8,15.872,0.776,6,370,36000,12.876,1.996,3900
2002/03,7.6,9.5,8,8,10,15.639,1.352,12,470,14000,11.575,2.282,1500
2002/04,7.4,9.2,7.6,4.7,30,8.605,0.415,16,210,28000,5.356,5.18,7500
2002/05,7.2,7.2,10.4,8.6,11.6,7.654,0.429,21,310,27000,3.851,4.053,9000
2002/06,8.2,9.6,12.9,7.9,20,10.276,0.518,22,390,38000,4.095,4.244,2900
2002/07,7.5,5.9,5.9,7.5,13.6,7.6,0.602,29,290,36000,3.245,4.735,9800
2002/08,7.1,6.6,5.3,7,10,5.902,0.202,26,200,4000,2.223,3.67,1900
2002/09,7.2,7,4.8,7.7,6.8,3.408,0.075,27,480,4000,0.229,1.7,1900
2002/10,8.1,8.6,4.3,9.9,8,7.398,0.582,21,295,9500,2.16,3.681,5700
2002/11,7.4,7.9,7.7,12.7,9.6,10.434,0.104,13,450,31000,1.28,5.304,12000
2002/12,7.5,10.9,5.2,8.7,12.4,10.884,0.406,6,450,26000,2.14,2.397,8600
2003/01,7.2,10.9,8.4,9.3,9.6,14.94,1.682,4,580,16000,1.792,3.246,4900
2003/02,7.5,10.9,8.8,7.5,12.8,10.86,0.828,5,395,16000,2.372,3.294,4900
2003/03,7.3,10.6,8.5,7.4,8.4,9.384,0.802,10,359,9500,2.036,2.112,2800
2003/04,7.4,7.7,12.1,12.5,23.2,10.956,1.302,15,448,18000,2.08,1.689,3600
2003/05,7.4,7.7,9.8,8.4,13.6,9.702,0.618,20,327,24000,0.452,3.81,4000
2003/06,7.2,7.2,5.8,8.9,26,8.532,0.62,24,317,24000,1.904,2.64,4000
2003/07,7.1,7.7,4.5,4.8,23.2,6.12,0.4,24,165,36000,1.05,1.944,6900
2003/08,7.2,6.8,4,5.2,9.2,10.128,0.277,25,177,17000,0.741,2.299,7400
2003/09,7.2,7.3,3.7,4.8,12.8,3.636,0.23,24,209,9500,0.964,2,3700
2003/10,7.5,7.9,5.2,9.9,7.2,10.986,0.775,20,467,17000,1.448,2.694,4800
2003/11,7.8,9,6.1,5.4,10.4,9.906,1.086,18,504,63000,1.454,4.063,7400
2003/12,7.4,10.4,5.8,8.4,10.4,11.094,0.054,14,553,12000,1.534,2.463,6500
2004/01,7.2,10.7,6.6,7.4,6.4,10.692,1.069,7,464,11000,1.634,4.7,3500
2004/02,7.2,16.1,6.8,5.3,11.2,6.27,0.322,6.5,467,8000,1.131,3.177,1700
2004/03,7.4,9.6,12,6.6,7.6,15.702,1.385,14,576,8400,1.052,1.474,3400
2004/04,7.4,7.8,15.5,11.7,14.8,20.196,1.555,17,619,9400,3.807,0.675,4200
2004/05,7.7,7.8,17.8,8.8,24.4,13.812,1.224,19.5,453,19000,0.058,5.014,4600
2004/06,6.2,7,12.3,11.3,6.4,11.478,1.584,27,344,13000,0.285,1.459,5400
2004/07,7.3,6.9,14.1,9.2,20,12.78,1.231,26,409,13000,0.176,2.025,8400
2004/08,7.4,5,8.4,7.1,20.8,7.752,1.099,32,339,21000,6.87,0.817,4800
2004/09,7.4,5.8,9.3,6.8,9.2,9.984,1.03,25.5,374,12000,3.135,1.577,2600
2004/10,7.6,5.4,6.9,6.2,10.8,10.654,0.926,21,426,31000,2.02,4.514,10000
2004/11,7.4,8.5,8.5,7,5.2,15.456,1.054,18,497,17000,2.18,4.783,6000
2004/12,7.4,8.2,7.2,8.5,0.8,18.024,1.678,12,580,17000,0.027,3.589,6000
2005/01,7.8,9.8,9.8,8.1,83.2,19.632,1.853,5,610,11000,0.375,5.438,1900
2005/02,7.4,5,11.7,9.4,13.6,17.4,1.613,7,582,13000,0.005,12.485,4900
2005/03,7.5,9.8,19.6,9.1,1.6,10.596,1.054,12.5,403,19000,5.15,2.098,7100
2005/04,7.5,7.8,15.1,8.2,13.6,21.744,2.04,12,609,24000,15.48,3.507,2700
2005/05,7.2,6.7,12.7,8.9,93.3,13.524,0.589,19,215,21000,0.67,3.226,3200
2005/06,7.3,3.3,13.8,10.6,134,6.864,0.702,22,155,19000,0.295,5.841,2900
2005/07,7.2,4.5,6.9,5.3,55.2,9.756,0.601,34.7,205,17000,0.06,2.435,6000
2005/08,7.2,4.9,8.6,0.7,24.8,1.714,0.077,26.7,224,16000,0.035,0.717,5500
2005/09,7.1,5.9,10.5,5.3,42.8,13.32,0.236,25.7,327,15000,0.01,0.457,5700
2005/10,7.4,5.8,17,3.3,16.4,7.704,1.366,12.2,260,30000,0.079,4.296,9800
2005/11,7.4,7.8,10,4.1,6.4,12.348,0.901,9.7,431,10000,0.623,5.263,4500
2005/12,7.3,8.7,10.6,5.6,9.6,12.348,0.901,12.3,247,9000,0.08,6.7,3000
2006/01,7,12.8,14.3,4.2,10.4,14.256,1.25,5.9,934,8000,0.072,11.025,2000
2006/02,7.2,8.3,14.9,4.9,12,15.048,0.965,4.5,508,9000,0.065,6.956,3000
2006/03,7.2,8.7,11.7,4.4,15.6,15.108,0.986,6.9,214,9000,0.074,14.106,3000
2006/04,8.4,10.1,11.5,7.7,11.6,13.509,1.822,15.2,619,5500,0.019,11.484,2500
2006/05,8.1,9.8,14.5,6.6,30,17.959,1.63,17.4,649,5600,0.025,15.417,1250
2006/06,8.2,8.1,16.7,7.3,28,9.096,1.073,27.8,372,9500,0.086,1.135,1185
