yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2000/01,7.2,12.6,6.2,7.1,6.6,8.779,0.284,5,305,14,2.463,5.004,8
2000/02,7,12.5,6.7,7.8,8.1,8.969,0.3,3,318,16,2.499,5.721,1
2000/03,7.3,11.5,7.6,9.4,12.4,12.46,0.661,7,350,18,3.312,6.838,8
2000/04,7.7,11,10.3,10.8,20.4,14.608,0.786,14,416,10,8.834,5.8,5
2000/05,7.2,8.9,10.1,14.1,27.6,11.077,1.224,18,483,11,5.592,4.261,5
2000/06,8,11.6,7.9,16.3,27.1,7.158,0.781,23,344,17,2.177,2.724,4
2000/07,7.2,7.2,6.7,10.7,44.4,8.833,0.782,25,300,35000,3.1,4.558,7000
2000/08,7.6,8.3,5.2,8.9,16.3,9.008,0.586,27,311,63000,0.517,8.234,30000
2000/09,6.9,7.9,3.3,4.9,12.4,2.46,0.107,24,172,18000,0.271,1.807,10000
2000/10,7.3,10.3,3.5,5.6,5.7,5.297,0.256,21,253,13000,1.005,1.059,6300
2000/11,7.6,11.9,6.1,7.8,14.7,8.943,0.523,16,299,13000,2.721,4.847,3400
2000/12,7.3,12.1,4.9,7.1,8.2,8.377,0.587,7,334,6800,3.673,3.678,780
2001/01,7.2,13.8,5.1,8.3,10.3,10.529,0.652,4,300,4600,5.561,3.859,1000
2001/02,7.4,13.2,5.7,7,10,9.89,0.612,6,230,3600,5.8,3.843,1400
2001/03,7.2,12.2,4.7,7.4,16.1,8.891,0.598,7,404,10000,0.636,6.966,2800
2001/04,7.8,13.1,9.1,9.7,12.9,9.184,0.724,15,392,8800,1.465,7.154,2900
2001/05,7.5,9.7,11.4,10,25.2,13.254,0.694,22,350,2500,0.093,9.605,230
2001/06,7.4,9.9,10,12.1,25.7,13.159,1.28,25,360,3500,5.478,7.569,230
2001/07,7.1,7.1,3.5,6,22.7,5.733,0.145,26,156,3700,0.045,2.751,1100
2001/08,7.3,9,5.3,6.7,8.9,4.964,0.275,29,241,3000,0.011,5.813,810
2001/09,7.6,11.2,5.9,6.9,11.3,6.386,0.561,29,334,660,0.048,5.444,230
2001/10,7.1,10.5,4.5,8,7.2,5.992,0.43,24,245,2700,1.822,3.041,490
2001/11,7.4,9.9,4.3,5.6,5.7,7.753,0.491,18,343,2500,1.562,6.25,510
2001/12,7.5,12.4,5.2,8,11.6,10.928,0.672,10,429,3100,5.981,2.702,550
2002/01,7.8,13,4.4,6.7,6.9,13.127,0.571,7,453,12000,5.619,7.334,1200
2002/02,7.8,12.4,3.9,5,5.7,9.669,0.309,6,309,4500,7.16,3.117,910
2002/03,7.7,12.6,6.6,6.7,12.9,12.106,0.837,9,308,3800,7.786,3.053,860
2002/04,8,11.5,9.4,5.4,24.5,12.102,0.601,15,308,8700,4.79,3.882,1100
2002/05,7.5,8.4,5.9,4.6,20.6,5.88,0.409,20,275,5800,1.34,3.819,1800
2002/06,8.2,10.7,9.2,5,12.3,7.102,0.448,23,328,6400,0.863,5.189,2100
2002/07,8,8.6,5.4,5.4,9.1,6.556,0.291,28,253,9900,2.004,3.314,5600
2002/08,8.1,8.8,4.9,3.8,14.7,5.802,0.217,28,245,8100,1.728,3.261,3200
2002/09,7.1,7,3.8,5.3,15.3,6.834,0.125,26,207,9300,0.094,4.09,2200
2002/10,7.7,9.7,3.4,6.6,5.5,4.793,0.391,22,239,8500,0.527,3.401,2800
2002/11,7.5,9.9,5.1,7.8,8.4,6.321,0.442,11,359,5300,0.429,5.273,2600
2002/12,7.8,11.8,5.6,7.7,11.7,6.165,0.747,7,455,7000,0.559,3.659,2900
2003/01,7.5,12.1,5.2,7.2,9,6.647,0.993,6,539,6500,1.823,3.492,1600
2003/02,7.8,11.6,5.8,7.7,13.1,8.435,0.413,5,589,6100,2.413,3.7,1400
2003/03,7.5,11,5.1,6.3,12,5.428,0.403,9,243,4000,1.583,2.686,800
2003/04,7.8,10,8.9,10.3,23,6.076,0.61,16,326,3500,1.904,2.686,1100
2003/05,7.2,8.3,4.3,8.9,15.5,4.584,0.319,20,269,3300,0.469,2.984,930
2003/06,7.3,6.8,7.6,10.7,24,6.485,0.414,23,319,4400,1.807,3.497,850
2003/07,7,7.7,3.4,6.8,27.7,6.627,0.201,23,150,18000,0.434,2.303,1400
2003/08,7.5,7.3,3.8,6.8,23.8,9.89,0.237,25,176,5800,0.293,2.585,1600
2003/09,7.3,7.5,2.3,4.9,14.4,4.347,0.089,24,163,7300,0.281,1.682,2200
2003/10,7.4,9.6,3.2,6.1,16.3,4.17,0.218,20,222,16000,0.58,2.567,2000
2003/11,7.7,11.1,3.9,5.2,5.6,4.764,0.41,16,371,14000,1.178,3.556,1900
2003/12,7.9,12.9,4.2,4.7,5,12.191,0.373,10,420,5000,1.35,5.217,1100
2004/01,7.5,12.4,5,5.9,8.7,10.04,0.491,6,452,5300,0.918,5.739,980
2004/02,7.3,12.9,6.5,6,13.5,10.191,0.708,7.6,406,2175,1.532,4.716,975
2004/03,7.8,11.3,8.1,5.8,8.9,7.466,0.531,11.3,346,558,0.089,4.298,430
2004/04,7.7,10.4,9.7,7.1,12.3,13.998,1.089,17.8,530,625,1.225,3.018,213
2004/05,7.9,10.8,10,5.9,15.5,6.089,1.02,20.6,356,1260,0.162,3.285,400
2004/06,7.2,9.9,9.4,6.8,10,8.555,0.76,24.8,346,1650,0.343,3.598,273
2004/07,7.5,7.7,4.4,5.6,38.9,4.494,0.317,26.5,184,1075,0.127,2.741,240
2004/08,7.8,11.2,5.4,5.2,28.9,5.276,0.388,29.8,238,710,0.098,2.474,268
2004/09,7.2,8.5,3.3,4.1,25.1,3.923,0.2,25,180,838,0.427,2.295,161
2004/10,7.3,9.7,2.9,4.1,9.8,3.738,0.235,21.8,240,2100,0.302,2.776,380
2004/11,7.6,11,5.6,3.9,9.2,6.757,0.704,17.6,361,1680,0.302,4.632,296
2004/12,7.9,12.7,2.9,4.4,1.8,8.954,0.605,11.3,327,1650,0.042,6.029,290
2005/01,7.8,12.5,3.6,5.3,6.6,11.126,0.827,6.1,465,1060,1.331,7.538,176
2005/02,7.7,11,4.7,6.9,7.6,7.313,0.652,5.5,478,1088,0.642,6.296,330
2005/03,7.9,11.3,6.9,7.9,2.5,12.584,0.839,9.6,454,2425,2.841,3.894,228
2005/04,8.3,11.8,8.5,6.5,19.5,9.014,0.567,15.3,333,1500,5.248,2.458,173
2005/05,8.1,9.8,7.7,7.8,19.6,13.216,0.671,22.2,282,3120,1.209,7.263,350
2005/06,8.2,8.7,9.6,8.4,13.5,6.257,0.512,22.4,183,2350,0.037,4.605,358
2005/07,7.5,7.8,4.4,6.6,22.6,6.155,0.446,27,233,1650,0.078,0.582,290
2005/08,7.7,7.8,4,5,22.7,9.74,0.265,30.1,184,1466,0.018,2.599,268
2005/09,7.1,9.2,2.4,4.6,11.4,12.678,0.156,26.7,189,1598,0.064,1.82,288
2005/10,7.5,9.6,2.7,4.2,12.2,6.282,0.379,22.7,359,1540,0.07,3.412,344
2005/11,7.8,10.2,5.2,3.6,8.8,8.369,0.621,16.3,171,1285,0.026,5.636,208
2005/12,7.7,12.7,3.3,4.5,7.5,8.254,0.466,8.3,361,1050,0.256,5.643,175
2006/01,7.2,11.9,5.8,4.7,14.6,7.548,0.529,4.3,614,613,0.052,6.488,113
2006/02,8,12,7.9,3.8,46,8.06,0.56,6.3,344,1050,0.033,5.55,175
2006/03,7.8,11.6,6.2,6.2,13.5,8.637,0.706,9.8,288,1050,0.044,7.032,175
2006/04,8,10.8,5.3,4.3,31.8,8.51,0.592,13.2,211,546,0.098,4.818,180
2006/05,8.6,10.5,6.6,5.4,25.7,6.094,0.485,20.7,326,738,0.018,5.41,228
2006/06,8,9.9,4.8,4.2,13.4,5.318,0.399,23.9,257,1153,0,0.21,64
