yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,3,6,24,32,14,16,6
2000/02,5,8,42,38,16,36,4
2000/03,2,11,26,36,18,30,17
2000/04,5,9,18,14,10,14,7
2000/05,4,5,12,14,11,14,5
2000/06,33,10,33,41,17,56,67
2000/07,2900,3300,32000,34000,35000,3100,2000
2000/08,4800,13000,90000,75000,63000,5600,800
2000/09,5000,7300,150000,65000,18000,11000,12000
2000/10,3300,5200,65000,40000,13000,2900,500
2000/11,730,2300,52000,36000,13000,3200,700
2000/12,1200,5200,80000,90000,6800,1700,800
2001/01,2400,3200,110000,150000,4600,5600,800
2001/02,500,830,18000,8000,3600,8500,1600
2001/03,3600,4100,20000,22000,10000,16000,4500
2001/04,3600,5100,9200,8000,8800,3900,4800
2001/05,310,700,5200,3400,2500,160,60
2001/06,430,600,7200,4900,3500,200,160
2001/07,1400,1500,12000,16000,3700,5000,1200
2001/08,1100,730,4900,6300,3000,2000,560
2001/09,2200,2700,11000,4500,660,1100,300
2001/10,2100,2000,10000,2300,2700,4100,760
2001/11,1200,2400,7700,1900,2500,380,160
2001/12,330,1800,55000,3700,3100,4500,920
2002/01,1200,3300,42000,37000,12000,5000,1900
2002/02,510,950,36000,14000,4500,4500,920
2002/03,720,840,14000,7300,3800,2100,360
2002/04,1800,1800,28000,5600,8700,3000,580
2002/05,1700,2500,27000,3600,5800,1700,650
2002/06,1200,1700,38000,24000,6400,7200,1300
2002/07,1200,5600,36000,16000,9900,3900,2000
2002/08,1400,2800,4000,3500,8100,3600,600
2002/09,3400,3900,4000,7500,9300,3600,300
2002/10,1300,3000,9500,6000,8500,6200,350
2002/11,2100,4600,31000,29000,5300,5600,600
2002/12,2700,3500,26000,22000,7000,2500,1000
2003/01,1900,2100,16000,20000,6500,1800,650
2003/02,600,980,16000,20000,6100,660,400
2003/03,690,1100,9500,27000,4000,520,180
2003/04,670,910,18000,16000,3500,2500,120
2003/05,1100,4400,24000,12000,3300,2300,170
2003/06,750,6600,24000,12000,4400,2400,1100
2003/07,650,2900,36000,21000,18000,3300,820
2003/08,980,5800,17000,11000,5800,3400,1900
2003/09,2000,4100,9500,9000,7300,1400,1700
2003/10,1400,7400,17000,19000,16000,2000,1100
2003/11,1500,10000,63000,21000,14000,4400,1500
2003/12,740,1800,12000,7000,5000,1900,900
2004/01,1100,1600,11000,16000,5300,900,250
2004/02,575,1500,8000,6200,2175,850,80
2004/03,185,955,8400,3000,558,1300,240
2004/04,81,250,9400,5600,625,200,300
2004/05,34,400,19000,5100,1260,560,120
2004/06,48,590,13000,580,1650,280,60
2004/07,71,365,13000,5000,1075,240,80
2004/08,42,208,21000,2000,710,1600,60
2004/09,90,400,12000,7000,838,120,200
2004/10,81,805,31000,17000,2100,420,160
2004/11,113,632,17000,12000,1680,820,400
2004/12,94,695,17000,12000,1650,820,400
2005/01,136,460,11000,12000,1060,200,300
2005/02,136,517,13000,9000,1088,840,340
2005/03,183,660,19000,17000,2425,780,520
2005/04,134,545,24000,20000,1500,260,620
2005/05,154,1048,21000,25000,3120,980,500
2005/06,158,915,19000,15000,2350,940,660
2005/07,93,695,17000,12000,1650,400,580
2005/08,94,714,16000,11000,1466,410,590
2005/09,110,2665,15000,8100,1598,500,480
2005/10,68,604,30000,15000,1540,380,120
2005/11,81,400,10000,1500,1285,650,220
2005/12,65,318,9000,280,1050,520,180
2006/01,58,238,8000,300,613,500,100
2006/02,65,318,9000,280,1050,520,180
2006/03,65,318,9000,280,1050,520,180
