yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,0.13,0.328,5.752,2.013,2.463,1.564,1.765
2000/02,0.174,0.292,5.718,1.963,2.499,1.426,1.414
2000/03,0.22,0.413,9.294,4.536,3.312,6.284,0.827
2000/04,0.189,0.465,7.725,1.714,8.834,2.817,6.021
2000/05,0.116,2.204,14.276,11.022,5.592,5.799,5.25
2000/06,0.465,1.122,2.908,3.004,2.177,1.214,1.292
2000/07,0.16,0.155,0.107,0.112,3.1,0.107,0.13
2000/08,0.079,0.127,2.421,2.572,0.517,0.333,0.53
2000/09,0.146,0.164,3.156,1.09,0.271,0.423,0.572
2000/10,0.085,0.114,3.22,2.829,1.005,0.995,0.519
2000/11,0.122,0.178,5.785,4.891,2.721,2.623,1.853
2000/12,0.2,0.279,10.445,6.361,3.673,3.118,2.778
2001/01,0.157,0.437,6.353,7.405,5.561,5.994,5.592
2001/02,0.254,0.46,11.652,9.087,5.8,4.453,4.644
2001/03,0.319,0.34,1.684,0.491,0.636,0.166,1.671
2001/04,0.44,0.335,0.93,10.71,1.465,3.78,3.35
2001/05,0.111,0.091,0.101,0.088,0.093,0.114,0.085
2001/06,0.086,0.086,10.993,7.53,5.478,0.343,0.502
2001/07,0.035,0.114,1.039,0.097,0.045,0.03,1.359
2001/08,0.032,0.016,0.056,0.055,0.011,0.012,0.063
2001/09,0.032,0.041,4.051,2.212,0.048,0.012,0.086
2001/10,0.094,0.186,2.961,2.112,1.822,1.897,1.624
2001/11,0.257,0.281,2.856,1.675,1.562,1.321,0.512
2001/12,0.172,0.233,10.517,10.476,5.981,1.954,4.382
2002/01,0.138,0.282,4.573,3.838,5.619,2.2,0.512
2002/02,0.097,0.106,12.876,11.021,7.16,7.682,2.689
2002/03,0.121,0.115,11.575,10.959,7.786,8.236,6.731
2002/04,0.073,0.075,5.356,3.842,4.79,2.511,0.721
2002/05,0.052,0.053,3.851,2.648,1.34,0.841,0.689
2002/06,0.073,0.149,4.095,2.412,0.863,0.715,0.456
2002/07,0.057,0.127,3.245,2.143,2.004,0.423,0.389
2002/08,0.043,0.052,2.223,1.846,1.728,0.154,0.156
2002/09,0.098,0.341,0.229,0.246,0.094,0.139,0.327
2002/10,0.086,0.133,2.16,1.678,0.527,1.416,0.632
2002/11,0.084,0.189,1.28,1,0.429,0.573,0.95
2002/12,0.15,0.248,2.14,2.192,0.559,2.068,2.18
2003/01,0.201,0.366,1.792,1.8,1.823,1.788,1.796
2003/02,0.207,0.392,2.372,2.36,2.413,2.396,0.501
2003/03,0.298,0.412,2.036,1.956,1.583,1.696,1.412
2003/04,0.201,0.324,2.08,2.088,1.904,1.984,2.04
2003/05,0.268,0.313,0.452,0.358,0.469,1.12,1.168
2003/06,0.555,0.404,1.904,1.866,1.807,1.166,1.382
2003/07,0.314,0.284,1.05,0.436,0.434,0.89,0.402
2003/08,0.385,0.169,0.741,0.372,0.293,0.482,0.27
2003/09,0.105,0.101,0.964,0.276,0.281,0.201,0.284
2003/10,0.099,0.161,1.448,1.434,0.58,1.298,0.41
2003/11,0.098,0.24,1.454,1.542,1.178,1.258,1.05
2003/12,0.257,0.188,1.534,1.538,1.35,0.501,0.821
2004/01,0.068,0.157,1.634,1.644,0.918,0.431,1.606
2004/02,0.133,0.219,1.131,4.073,1.532,0.038,0.029
2004/03,0.057,0.085,1.052,0.867,0.089,0.099,0.097
2004/04,0.108,0.023,3.807,0.892,1.225,0.204,0.031
2004/05,0.182,0.134,0.058,0.062,0.162,0.096,0.135
2004/06,0.174,0.157,0.285,0.274,0.343,0.241,0.271
2004/07,0.074,0.106,0.176,0.063,0.127,0.027,0.015
2004/08,0.043,0.083,6.87,2.985,0.098,0.033,0.025
2004/09,0.076,0.181,3.135,1.075,0.427,0.3,0.818
2004/10,0.202,0.195,2.02,1.99,0.302,0.686,0.439
2004/11,0.106,0.12,2.18,1.13,0.302,0.378,0.363
2004/12,0.033,0.046,0.027,0.104,0.042,0.219,0.132
2005/01,0.124,0.289,0.375,0.086,1.331,0.06,0.118
2005/02,0.081,0.271,0.005,0.007,0.642,0,0.008
2005/03,0.069,0.101,5.15,5.52,2.841,5.88,6.31
2005/04,0.34,0.507,15.48,12.36,5.248,9.33,6.62
2005/05,0.173,0.133,0.67,1.98,1.209,0.084,0.072
2005/06,0.043,0.039,0.295,0.09,0.037,0.033,0.054
2005/07,0.029,0.022,0.06,0.07,0.078,0.03,0.05
2005/08,0.016,0.01,0.035,0.006,0.018,0.011,0.013
2005/09,0.075,0.114,0.01,0,0.064,0,0.043
2005/10,0.087,0.109,0.079,0.107,0.07,0.089,0.094
2005/11,0.02,0.019,0.623,0.007,0.026,0.021,0.015
