yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,3.1,9.6,7.6,4.8,6.6,9.2,39.6
2000/02,2.7,4.7,6.8,6,8.1,4.4,10
2000/03,8.4,15.2,8.8,11.6,12.4,14,58.5
2000/04,21.4,40.2,18.4,35.2,20.4,26,12.8
2000/05,24.2,25.1,26.8,30.8,27.6,24.4,28.8
2000/06,22.6,17.2,47.5,41.6,27.1,44,56.5
2000/07,11.6,15.2,17.2,20.4,44.4,16.8,57.2
2000/08,11.1,11.1,22.4,23.6,16.3,22.4,47.2
2000/09,11.6,16.3,10.8,16.8,12.4,23.6,27.6
2000/10,3,3.6,9.6,9.6,5.7,14.8,22
2000/11,11.4,15.6,18.4,18,14.7,22,18
2000/12,4.2,11.2,8.8,10.8,8.2,11.6,26.8
2001/01,5.2,11.8,19.6,14.8,10.3,12.4,14
2001/02,3.7,6,6.4,10,10,6,13.6
2001/03,7.5,8.5,8.4,16.8,16.1,4,15.2
2001/04,12.7,17.7,11.6,17.2,12.9,6,14.4
2001/05,15,21.1,24.4,18,25.2,22.4,13.2
2001/06,17.1,18.4,13.2,20,25.7,33.6,23.6
2001/07,12.3,17.2,9.2,12,22.7,32.8,14.8
2001/08,8.8,8.5,6.4,9.6,8.9,11.2,14.8
2001/09,5.8,9.1,13.6,16,11.3,19.6,10.8
2001/10,4.4,8.8,8,8.4,7.2,8.4,12.4
2001/11,3.4,8.5,5.2,6.8,5.7,6.4,12.8
2001/12,7.3,18.6,10.4,39.6,11.6,23.2,20
2002/01,2.1,2.5,11.6,6.4,6.9,5.6,10.4
2002/02,2.8,3.4,4.8,3.6,5.7,6,7.2
2002/03,8.1,13.5,10,12.8,12.9,25.6,10.4
2002/04,17.4,23,30,28.8,24.5,19.6,12.4
2002/05,20.2,21.1,11.6,17.6,20.6,18,12.4
2002/06,11.8,17.1,20,16.4,12.3,26.4,16.8
2002/07,6,9.5,13.6,16.8,9.1,13.2,12.4
2002/08,5.7,11.8,10,14,14.7,4,10.4
2002/09,6.1,6.8,6.8,16,15.3,14.8,10
2002/10,5.4,8,8,11.2,5.5,8.4,7.6
2002/11,7.8,15.5,9.6,17.2,8.4,9.2,24
2002/12,4.3,7.6,12.4,11.2,11.7,22,21.2
2003/01,2.8,3.6,9.6,5.2,9,3.6,8.8
2003/02,7.8,9.4,12.8,5.2,13.1,10,12
2003/03,9.5,8.6,8.4,20.8,12,19.6,14
2003/04,12.8,18,23.2,30.8,23,26.4,21.6
2003/05,18.9,17.4,13.6,20.8,15.5,30,9.6
2003/06,18.8,17.7,26,26.4,24,22.4,19.2
2003/07,25.7,24.6,23.2,31.2,27.7,24.4,18
2003/08,15.7,17.5,9.2,9.2,23.8,21.2,16.8
2003/09,8.1,14.8,12.8,25.6,14.4,2,4.8
2003/10,5.9,10.6,7.2,8.8,16.3,28,16
2003/11,5.2,10.1,10.4,13.6,5.6,23.2,18
2003/12,3.4,5.6,10.4,6.8,5,7.6,10.8
2004/01,3,4.7,6.4,6.4,8.7,3.2,13.6
2004/02,4.3,13.3,11.2,8,13.5,7.6,19.2
2004/03,5.2,4.7,7.6,9.2,8.9,3.6,21.6
2004/04,13,17.3,14.8,6.8,12.3,20.8,10.4
2004/05,21.2,19.6,24.4,21.6,15.5,20.4,3.6
2004/06,12.1,18.5,6.4,18,10,20.4,16.4
2004/07,35.7,47.9,20,18.8,38.9,73.2,95.2
2004/08,25.7,47.4,20.8,22,28.9,8.4,18.4
2004/09,25.4,29.6,9.2,27.2,25.1,17.2,40.4
2004/10,3,7.4,10.8,5.6,9.8,9.6,3.6
2004/11,7,5,5.2,6,9.2,6.8,29.2
2004/12,1,0.8,0.8,4,1.8,4,4
2005/01,2.3,3.6,83.2,0.8,6.6,1.6,57.6
2005/02,4.1,6.5,13.6,4.4,7.6,4,5.6
2005/03,3.7,4.1,1.6,9.2,2.5,4,16
2005/04,17.2,38.9,13.6,35.6,19.5,20,58.7
2005/05,27.2,38.4,93.3,47.6,19.6,16.8,47.3
2005/06,14.2,18.7,134,200,13.5,129.3,109
