yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,3.257,3.737,12.723,9.394,8.779,6.734,9.343
2000/02,3.201,3.464,12.956,10.076,8.969,6.656,6.623
2000/03,3.24,4.178,18.944,16.24,12.46,12.736,10.456
2000/04,2.26,3.002,17.696,14.368,14.608,12.432,9.8
2000/05,1.546,4.402,18.613,16.384,11.077,14.496,11.424
2000/06,4.776,4.893,9.528,9.576,7.158,6.581,6.331
2000/07,3.516,3.908,8.117,8.366,8.833,6,5.174
2000/08,2.054,1.8,6.245,5.515,9.008,5.534,3.432
2000/09,1.947,2.107,5.357,3.389,2.46,2.574,2.04
2000/10,2.062,2.022,7.666,7.853,5.297,8.873,5.89
2000/11,2.332,2.382,10.574,10.781,8.943,8.51,6.984
2000/12,3.031,3.026,14.091,10.286,8.377,8.41,7.891
2001/01,3.209,3.386,9.542,10.877,10.529,10.464,12.077
2001/02,3.305,3.278,14.057,11.76,9.89,7.718,8.918
2001/03,3.16,3.344,6.278,5.746,8.891,2.957,5.318
2001/04,3.292,3.041,13.022,24.168,9.184,8.957,7.656
2001/05,1.609,2.978,16.113,13.689,13.254,13.057,6.09
2001/06,3.383,3.852,18.926,14.361,13.159,8.147,7.409
2001/07,5.216,5.262,8.123,7.269,5.733,5.817,6.329
2001/08,2.534,2.398,6.166,5.567,4.964,5.503,3.381
2001/09,1.622,1.558,12.37,8.846,6.386,7.327,6.36
2001/10,2.396,3.079,8.876,8.435,5.992,3.87,8.084
2001/11,3.086,3.713,14.984,10.67,7.753,8.906,5.638
2001/12,3.999,4.192,13.484,13.456,10.928,7.264,10.833
2002/01,5.409,5.36,15.269,17.917,13.127,11.446,10.71
2002/02,4.854,4.59,15.872,13.667,9.669,13.014,9.547
2002/03,5.08,4.151,15.639,14.11,12.106,13.148,10.945
2002/04,3.246,2.884,8.605,7.653,12.102,6.982,6.473
2002/05,2.876,2.92,7.654,7.768,5.88,6.258,6.398
2002/06,3.538,3.367,10.276,9.726,7.102,6.65,6.583
2002/07,4.21,3.367,7.6,6.8,6.556,5.75,5.581
2002/08,3.871,3.486,5.902,4.447,5.802,4.251,5.247
2002/09,6.564,4.995,3.408,3.618,6.834,5.526,3.858
2002/10,3.551,4.061,7.398,6.366,4.793,6.504,4.65
2002/11,2.57,2.25,10.434,9.228,6.321,7.176,5.022
2002/12,3.423,3.839,10.884,10.362,6.165,6.894,6.654
2003/01,3.426,5.765,14.94,12.756,6.647,9.732,11.142
2003/02,5.177,5.363,10.86,12.384,8.435,11.328,7.92
2003/03,3.358,3.617,9.384,7.128,5.428,4.698,4.782
2003/04,2.801,3.149,10.956,9.36,6.076,6.786,9.708
2003/05,2.546,2.689,9.702,6.702,4.584,4.524,3.93
2003/06,3.89,6.419,8.532,6.732,6.485,9.432,5.874
2003/07,5.168,4.952,6.12,4.968,6.627,4.98,3.06
2003/08,2.708,2.841,10.128,6.012,9.89,3.204,4.32
2003/09,4.289,3.44,3.636,3.282,4.347,3.192,4.38
2003/10,3.006,2.462,10.986,7.812,4.17,8.202,3.522
2003/11,3.89,3.005,9.906,9.024,4.764,7.614,8.196
2003/12,6.953,4.134,11.094,8.094,12.191,11.904,8.85
2004/01,3.339,3.378,10.692,14.46,10.04,2.112,8.538
2004/02,3.992,3.592,6.27,12.6,10.191,11.19,11.022
2004/03,2.748,4.13,15.702,11.988,7.466,4.284,8.484
2004/04,2.9,3.882,20.196,21.456,13.998,12.924,9.174
2004/05,2.662,3.346,13.812,8.856,6.089,4.728,7.254
2004/06,3.185,3.989,11.478,10.506,8.555,7.008,7.086
2004/07,3.494,2.9,12.78,8.88,4.494,2.85,1.992
2004/08,2.17,2.162,7.752,6.228,5.276,1.5,3.144
2004/09,2.768,2.361,9.984,7.5,3.923,5.208,4.428
2004/10,2.213,1.889,10.654,9.864,3.738,8.814,6.12
2004/11,2.352,2.452,15.456,10.326,6.757,7.332,6.54
2004/12,4.075,2.88,18.024,13.128,8.954,9.204,11.124
2005/01,3.36,3.219,19.632,14.604,11.126,11.256,11.496
2005/02,3.202,3.158,17.4,15.804,7.313,10.368,10.464
2005/03,2.84,2.79,10.596,11.604,12.584,12.326,12.728
2005/04,2.553,2.791,21.744,16.728,9.014,11.37,17.064
2005/05,2.166,2.352,13.524,18.42,13.216,6.864,7.356
2005/06,3.16,2.343,6.864,8.58,6.257,3.6,3.774
2005/07,2.585,2.45,9.756,7.704,6.155,3.894,4.458
2005/08,2.253,2.487,1.714,6.408,9.74,3.87,4.284
2005/09,3.619,3.53,13.32,11.616,12.678,8.802,7.284
2005/10,1.949,2.49,7.704,6.276,6.282,2.742,4.762
2005/11,2.223,2.129,12.348,10.968,8.369,8.604,6.054
2005/12,2.638,2.739,12.348,10.404,8.254,8.022,6.78
2006/01,3.496,3.091,14.256,14.244,7.548,9.03,8.784
2006/02,3.671,3.2,15.048,15.108,8.06,8.202,6.036
2006/03,3.187,2.664,15.108,11.88,8.637,7.89,7.308
2006/04,1.932,2.08,13.509,14.88,8.51,11.326,9.867
2006/05,1.949,1.859,17.959,12.07,6.094,9.424,6.995
2006/06,3.156,2.932,9.096,8.388,5.318,6.504,4.896
2006/07,2.778,2.74,6.324,5.028,3.103,4.11,4.128
2006/08,2.631,2.568,13.476,12.864,4.52,4.254,4.464
2006/09,1.898,1.907,10.974,6.972,4.831,5.014,4.084
2006/10,2.725,2.837,15.427,12.734,5.736,7.289,8.345
2006/11,2.52,2.324,15.743,13.626,11.415,8.188,10.361
2006/12,3.788,3.12,15.355,14.471,10.383,8.921,13.241
2007/01,3.265,2.671,5.124,12.206,10.889,10.639,8.778
2007/02,2.679,2.398,9.337,15.374,11.665,11.861,9.84
2007/03,3.121,3.378,3.64,11.387,8.223,3.083,6.504
2007/04,2.14,2.11,10.248,11.226,7.686,8.79,6.503
2007/05,1.128,1.243,9.552,11.815,8.656,9.517,6.162
2007/06,1.805,1.427,12.536,8.16,8.443,5.436,4.591
2007/07,2.454,2.253,12.157,6.135,4.478,6.907,6.099
2007/08,1.52,1.362,9.718,4.427,2.91,4.335,2.846
2007/09,1.768,1.956,3.823,3.858,3.123,2.986,2.319
2007/10,2.164,2.028,3.614,4.355,3.696,3.578,2.912
2007/11,1.765,1.776,5.807,5.922,3.99,3.074,3.921
2007/12,2.483,3.456,2.309,3.944,2.811,3.763,3.383
2008/01,2.65,2.844,8.362,7.81,4.97,3.01,8.532
2008/02,3.36,2.463,7.908,12.648,7.298,13.44,11.632
2008/03,2.4,2.875,9.9,13.512,10.271,8.192,13.104
2008/04,1.843,1.543,5.342,13.92,4.88,9.504,10.368
2008/05,1.86,1.537,5.308,8.64,4.59,4.326,7.512
2008/06,3.732,2.246,3.498,8.784,3.333,4.134,10.488
2008/07,2.784,1.582,2.119,10.195,2.131,2.733,7.367
2008/08,2.088,1.2,2.732,5.124,2.28,0.988,3.984
2008/09,2.285,1.066,3.567,8.726,2.657,2.621,5.84
2008/10,1.359,1.167,4.784,7.366,3.6,4.454,4.54
2008/11,1.85,1.244,7.582,8.41,6.561,9.248,5.026
2008/12,2.881,2.115,6.352,8.694,5.977,6.682,5.544
2009/01,2.757,2.375,5.547,9.14,6.242,7.184,8.413
2009/02,2.877,2.325,7.231,10.905,9.139,10.074,8.343
2009/03,2.006,2.274,4.298,9.066,6.705,5.555,6.965
2009/04,1.373,1.795,9.035,9.393,8.41,7.321,6.797
2009/05,1.801,1.855,8.628,8.784,7.177,5.91,5.269
2009/06,2.54,2.276,5.359,5.266,4.999,4.596,3.547
2009/07,2.587,2.315,3.711,3.92,3.029,2.139,3.073
2009/08,1.839,1.7,5.136,3.713,3.302,2.408,2.345
2009/09,1.573,1.496,3.875,4.571,4.07,3.46,3.033
2009/10,1.784,1.424,7.595,6.771,4.744,4.543,4.098
2009/11,1.903,1.633,5.921,6.486,5.73,4.974,4.921
2009/12,2.851,2.57,6.156,7.941,6.866,7.04,5.768
2010/01,3.321,3.126,9.728,9.133,9.199,5.644,7.791
2010/02,2.986,3.143,8.715,8.685,8.424,7.592,6.213
2010/03,2.787,2.791,3.994,6.074,4.472,4.813,4.984
2010/04,1.811,1.796,4.48,5.468,4.699,4.348,4.265
2010/05,1.978,1.895,4.936,4.752,3.764,3.539,3.538
2010/06,2.317,2.632,2.769,4.518,4.005,4.277,3.635
2010/07,2.658,2.224,2.668,3.466,3.053,4.131,2.692
2010/08,1.909,2.228,2.749,3.225,2.938,3.134,2.77
2010/09,2.221,3.142,3.314,2.651,3.24,2.83,2.347
2010/10,2.321,1.865,7.289,4.784,4.356,4.386,4.023
2010/11,2.319,1.853,1.564,6.398,6.26,5.91,5.155
2010/12,3.192,2.52,9.724,8.161,8,7.575,6.363
2011/01,3.207,3.576,13.116,10.185,9.58,8.431,8.186
2011/02,3.009,3.269,11.966,9.84,7.886,10.778,8.185
2011/03,2.576,3.069,11.853,8.284,6.872,6.595,7.152
2011/04,1.959,1.983,9.646,7.168,5.925,4.572,5.634
2011/05,2.341,2.091,5.4,4.286,3.511,3.31,4.094
2011/06,2.626,2.12,3.288,4.502,3.778,3.972,3.687
2011/07,2.286,2.342,3.118,3.963,2.697,2.442,2.978
2011/08,2.023,2.012,2.817,2.94,2.472,2.109,2.515
2011/09,1.488,1.327,3.691,3.579,2.527,2.698,2.393
2011/10,1.506,1.287,9.401,6.369,4.301,4.002,2.699
2011/11,2.526,1.753,7.761,6.197,4.858,4.84,4.335
2011/12,2.862,2.701,5.902,6.326,6.157,4.978,5.044
2012/01,3.128,2.526,10.017,10.047,8.579,7.385,7.686
2012/02,3.021,2.31,15.936,10.854,9.054,9.258,8.039
2012/03,2.451,2.416,9.459,11.88,12.234,2.189,8.935
2012/04,2.432,2.151,8.084,6.231,4.604,4.472,5.087
2012/05,1.582,1.514,8.432,5.233,6.052,4.503,3.918
2012/06,2.349,2.197,7.825,6.126,5.266,6.115,3.873
2012/07,1.988,2.492,4.248,3.144,4.009,5.655,3.072
2012/08,1.641,1.752,3.606,2.642,3.142,3.171,2.171
2012/09,2.096,2.607,4.647,2.434,2.553,2.567,2.221
2012/10,1.785,2.534,5.507,3.375,3.594,3.304,3.012
2012/11,2.399,2.572,5.176,5.328,4.507,4.514,3.536
2012/12,3.058,3.131,7.73,5.182,4.999,4.713,4.173
2013/01,3.302,3.483,9.272,6.91,5.107,5.376,5.267
2013/02,2.807,3.134,5.221,5.196,5.024,5.766,4.568
2013/03,2.579,3.072,9.153,5.986,4.704,4.622,4.711
2013/04,2.016,2.705,8.671,7.251,6.005,5.774,3.898
2013/05,1.759,2.372,6.201,6.011,4.954,4.662,4.559
2013/06,2.446,2.69,7.165,5.309,3.98,3.389,3.888
2013/07,1.867,1.789,4.092,3.683,3.024,2.871,2.944
