yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,5,5,5,5,5,6,6
2000/02,4,4,5,5,3,6,6
2000/03,7,7,7,7,7,7,6
2000/04,14,14,15,15,14,13,13
2000/05,20,20,18,18,18,19,19
2000/06,24,24,24,24,23,24,24
2000/07,25,25,26,26,25,28,30
2000/08,28,28,29,29,27,27,27
2000/09,24,23,25,25,24,20,20
2000/10,20,21,23,22,21,22,22
2000/11,14,16,17,17,16,17,16
2000/12,7,7,9,8,7,8,9
2001/01,4,4,5,5,4,5,4
2001/02,4,5,8,8,6,4,4
2001/03,6,7,7,7,7,6,6
2001/04,15,14,11,11,15,13,12
2001/05,21,20,19,20,22,22,21
2001/06,25,25,25,27,25,25,24
2001/07,26,26,29,29,26,29,27
2001/08,29,28,29,29,29,29,29
2001/09,27,28,30,29,29,29,27
2001/10,24,23,19,19,24,19,19
2001/11,18,18,18,18,18,16,16
2001/12,9,9,11,12,10,9,10
2002/01,7,7,6,6,7,6,5
2002/02,6,6,6,5,6,5,4
2002/03,10,9,12,13,9,13,13
2002/04,13,13,16,16,15,15,16
2002/05,19,19,21,21,20,21,20
2002/06,23,23,22,22,23,24,22
2002/07,27,29,29,29,28,27,28
2002/08,27,28,26,27,28,26,27
2002/09,26,26,27,27,26,26,27
2002/10,20,21,21,21,22,20,21
2002/11,11,10,13,12,11,13,11
2002/12,6,7,6,6,7,6,5
2003/01,5,5,4,4,6,4,4
2003/02,5,5,5,5,5,4,5
2003/03,8,9,10,10,9,9,9
2003/04,15,15,15,15,16,14,14
2003/05,20,20,20,20,20,20,20
2003/06,23,24,24,24,23,24,24
2003/07,23,23,24,25,23,23,23
2003/08,25,25,25,27,25,25,26
2003/09,24,25,24,24,24,23,24
2003/10,19,20,20,20,20,20,20
2003/11,17,17,18,18,16,17,17
2003/12,10,9,14,14,10,11,11
2004/01,8,8,7,7,6,7,6
2004/02,6.6,7,6.5,7.5,7.6,6,4.5
2004/03,9.1,9.9,14,13,11.3,10.8,14
2004/04,17.1,17.6,17,20.2,17.8,19,20
2004/05,20.4,20.5,19.5,19.5,20.6,18,18.5
2004/06,23.8,24.5,27,28,24.8,24,24
2004/07,27.5,27.1,26,27.5,26.5,30,28
2004/08,29.6,29.9,32,32,29.8,32,31
2004/09,24.6,24.9,25.5,26.5,25,21,22
2004/10,20.8,21.5,21,18,21.8,18,18
2004/11,15.4,16.5,18,18,17.6,15,15.5
2004/12,10.3,10.6,12,12,11.3,9,9
2005/01,4.9,5,5,7,6.1,5.3,4.6
2005/02,5.6,5.4,7,6,5.5,5,4.5
2005/03,8.6,8.2,12.5,12,9.6,11.2,9
2005/04,12.5,12.6,12,17.5,15.3,16,14
2005/05,21,20.5,19,20,22.2,19,19
2005/06,20.6,21.6,22,25,22.4,22,22
2005/07,26.1,26.6,34.7,24.7,27,23.7,25.2
2005/08,28.8,30,26.7,28.7,30.1,28.2,29.2
2005/09,26.2,26.1,25.7,26.2,26.7,27.2,29.9
2005/10,19.5,22.4,12.2,24,22.7,23.7,25.2
2005/11,13.9,14.2,9.7,20.4,16.3,19.7,21.6
2005/12,6.4,6.2,12.3,11.5,8.3,10,10.1
2006/01,3.4,3.4,5.9,4.2,4.3,3.4,3
2006/02,5.3,5.4,4.5,6.9,6.3,5.3,5.9
2006/03,7.8,8.1,6.9,8.3,9.8,8.2,7.5
2006/04,12.2,13.5,15.2,13.6,13.2,12.6,10.9
2006/05,19.6,20.1,17.4,16.8,20.7,17.1,16.9
2006/06,22.3,23.3,27.8,26,23.9,25.6,26
2006/07,21.2,23.6,22.7,22.2,23.4,22,23.3
2006/08,20.3,26.9,29.8,28.8,27.7,29.3,31.2
2006/09,22.5,23.5,25,22,24.3,23,23
2006/10,20.8,22.2,22,20,24.4,23,20
2006/11,14,21.5,18.8,18,20.3,18,16
2006/12,8.8,8.4,10.7,10.3,8.8,8.7,9.9
2007/01,5.8,6.6,6,6.5,8.2,5,4
2007/02,4.7,5.3,9,7.3,8,6,5
2007/03,8,12,9,12,13,10,8
2007/04,12.4,13.8,14,14.4,15.6,11,12
2007/05,19.5,20.8,17,20.8,22.3,18,17
2007/06,21.8,24,23,23.5,24.8,23,25
2007/07,24.4,23.6,26,24.2,25.4,24,23
2007/08,27.5,27.5,28,28.3,28.3,29,29
2007/09,26,25.8,29,26.2,26.6,30,31
2007/10,20.3,21,20,21.3,22.3,23,24
2007/11,14,14.3,15,15,15.8,19,17
2007/12,7.2,7.6,11,9,8.4,7,7
2008/01,4.2,4.2,10,5.8,5,10,8
2008/02,4.5,3.8,8,5.5,5.8,4,4.3
2008/03,10.5,9.5,9,11,11,10,10.3
2008/04,15.6,17.8,15,16.2,18.8,15,16.2
2008/05,19.3,23,21,20,24.3,22,20.5
2008/06,21.8,24.5,23,22.3,25.3,25,23.3
2008/07,25.8,27,23,26,28.2,30,26.6
2008/08,26.3,25.5,29,28,28,28,28
2008/09,23.4,25.3,25,25,27.3,28,25.3
2008/10,18.3,20.8,22,18.8,23.3,23,18.8
2008/11,10.5,12.3,13,12.8,14.8,11,14
2008/12,5.8,6.5,11,7.8,9.5,7,9
2009/01,3.5,3.3,5,5.5,6.8,5,4
2009/02,6.8,6.8,6,8,8.3,9,7
2009/03,11,10,10,11.5,11,7,10.5
2009/04,15.2,15,18,15.2,16.5,11,15
2009/05,22.5,22.8,19,21.5,21.8,20,20.7
2009/06,22.8,24.5,22,23.8,24.5,22,24.3
2009/07,24,24.5,24,24.7,25.5,23,25
2009/08,26,27,27,27,27.5,26,27.7
2009/09,22.8,24.3,27,24.4,25.5,26,24.8
2009/10,16.8,18.5,21,18.8,19,20,19.8
2009/11,12,11.3,11,13.3,12.5,10,13.7
2009/12,4.8,5.8,11,7.6,7.8,6,8.5
2010/01,2.3,3.3,7,5,5,8,4
2010/02,5.3,5.8,7,7.5,7.5,10,5
2010/03,9,8.8,11,9.8,9.8,10,9.8
2010/04,13.2,15.3,15,14.4,15.5,15,13.6
2010/05,19,21.3,21,20,21.8,22,18.3
2010/06,24,26,25,25.6,26.3,25,25
2010/07,25.3,26.3,28,25.5,26.5,29,26
2010/08,26.7,27.5,30,27.3,28.7,29,28.5
2010/09,23.2,24.5,23,24.6,24.8,25,25
2010/10,17.5,17,21,18.8,18,18,19.8
2010/11,10.8,9.8,10,12.5,11.8,13,12.5
2010/12,5.2,4.3,11,7.8,6.8,10,7.3
2011/01,2,1.5,7,4.6,3.8,3,1
2011/02,5,5.3,7,7,7,6,6.8
2011/03,8,8.3,11,9.2,9.3,8,9.3
2011/04,14.3,16.8,16,15.5,16,16,14.8
2011/05,19.5,21.5,22,20.3,20.3,21,20.3
2011/06,23.4,25.3,26,23.8,25,26,23.3
2011/07,25.3,26.5,26,25.8,26,23,26.3
2011/08,25.2,26.8,26,26.4,26.5,26,26.4
2011/09,23.8,25.3,23,26.3,25.8,22,25.7
2011/10,16.8,19,16,18.9,19,18,17.6
2011/11,13.3,13.7,12.6,14.9,14.6,12.8,14.1
2011/12,5.8,5.3,8.7,7.8,6.4,7.4,7.4
2012/01,3,3.2,7.1,5.3,4.4,3.9,3.7
2012/02,3.6,3.9,6.8,5.9,4.8,6.7,4
2012/03,9.5,9.6,10.1,11.3,8.7,9.4,8.4
2012/04,14.4,17.3,16.9,16.1,15.1,14.2,13.8
2012/05,21.1,24.1,20.6,23.2,22,22,22.8
2012/06,24.7,25.2,24.6,26.3,25.7,25.8,26.1
2012/07,26.5,27.5,28.8,27.2,26.6,27.2,26.3
2012/08,26.3,29.4,28.4,28,29.5,28.9,29
2012/09,22.2,24.2,25.3,23,23.5,25.9,23.8
2012/10,17.5,19.7,17.8,19,20,20,18.7
2012/11,9.6,10.1,12.6,12.3,11.5,12.9,11.6
2012/12,4.3,4,5.3,5.8,5.7,4.4,6.5
2013/01,2,3.4,5,4,4.1,2.8,3.6
2013/02,4.2,4.9,5.9,5,4.9,6.2,4.1
2013/03,10.5,10.1,9.1,12.2,10.2,8.1,10
2013/04,13.9,13,13.6,14.5,13.9,13.7,13.3
2013/05,20,20.2,21.6,22.1,20.5,24.8,20
2013/06,24.2,25.5,26.1,24.9,25.8,25.8,24.2
2013/07,26.5,27.2,27.9,27.1,27.8,29.4,28.2
2013/08,28.2,28.7,31.8,29.8,29.8,32.1,30
2013/09,23.5,25.5,26,25.3,25.6,26.7,25
