yyyymm,Woochi,Gwangju1,Gwangju2,Gwangsan,Naju,Yeongsanpo,Hampyeong
2000/01,129,182,350,260,305,305,410
2000/02,123,149,270,230,318,240,240
2000/03,0,188,230,380,350,180,230
2000/04,211,230,558,539,416,360,350
2000/05,208,318,624,595,483,440,490
2000/06,185,240,160,300,344,272,273
2000/07,150,160,245,235,300,260,230
2000/08,168,163,250,250,311,200,170
2000/09,122,151,240,260,172,80,90
2000/10,140,165,300,280,253,290,260
2000/11,289,230,450,460,299,400,360
2000/12,198,254,360,250,334,330,310
2001/01,203,223,260,300,300,220,190
2001/02,130,165,240,220,230,240,260
2001/03,155,183,255,205,404,210,240
2001/04,278,280,540,500,392,330,310
2001/05,240,303,200,330,350,500,720
2001/06,319,250,450,390,360,180,180
2001/07,177,150,250,210,156,157,184
2001/08,257,205,265,235,241,296,200
2001/09,308,282,450,345,334,300,240
2001/10,225,208,315,330,245,300,400
2001/11,173,205,180,160,343,450,400
2001/12,229,274,530,450,429,315,409
2002/01,258,315,548,482,453,390,420
2002/02,173,286,370,270,309,280,240
2002/03,198,210,470,450,308,390,380
2002/04,271,243,210,180,308,210,170
2002/05,210,198,310,250,275,220,220
2002/06,212,248,390,350,328,340,320
2002/07,270,215,290,240,253,250,210
2002/08,210,235,200,140,245,200,215
2002/09,170,190,480,410,207,254,218
2002/10,184,194,295,245,239,250,220
2002/11,274,267,450,436,359,272,353
2002/12,276,307,450,420,455,432,476
2003/01,307,339,580,550,539,388,453
2003/02,260,285,395,460,589,375,281
2003/03,196,215,359,280,243,250,250
2003/04,201,244,448,353,326,340,390
2003/05,215,186,327,263,269,206,206
2003/06,205,215,317,270,319,249,197
2003/07,145,138,165,94,150,150,120
2003/08,108,144,177,168,176,165,182
2003/09,132,147,209,152,163,108,111
2003/10,162,183,467,393,222,373,261
2003/11,220,259,504,461,371,426,388
2003/12,248,309,553,557,420,464,429
2004/01,264,406,464,461,452,182,430
2004/02,240,329,467,451,406,385,413
2004/03,214,348,576,484,346,278,396
2004/04,218,348,619,597,530,512,396
2004/05,294,247,453,402,356,225,293
2004/06,257,267,344,337,346,334,337
2004/07,187,161,409,319,184,100,95
2004/08,152,176,339,285,238,195,218
2004/09,144,149,374,305,180,266,218
2004/10,183,195,426,399,240,274,268
2004/11,222,231,497,438,361,366,343
2004/12,275,286,580,471,327,414,362
2005/01,302,353,610,548,465,492,481
2005/02,320,365,582,542,478,479,484
2005/03,254,309,403,447,454,489,465
2005/04,258,254,609,521,333,409,345
2005/05,198,221,215,153,282,141,144
2005/06,158,156,155,151,183,149,144
2005/07,183,193,205,166,233,162,150
2005/08,219,191,224,232,184,141,143
2005/09,204,184,327,228,189,214,190
2005/10,313,202,260,277,359,143,223
2005/11,222,213,431,142,171,165,154
2005/12,258,295,247,264,361,591,251
