year,month,flow,temp,pH,DO,BOD,COD,SS,EC,T_N,DTN,NO3_N,NH3_N,T_P,DTP,PO4_P,Chl_a,TOC,TC,FC
2010,1,,2.3,7,13.3,2.2,4,3.8,339,3.321,3.181,2.736,0.268,0.077,0.059,0.049,5.2,3,3100,99
2010,2,,5.3,7.3,12.6,2.2,4.7,4.9,331,2.986,2.932,2.538,0.227,0.071,0.056,0.044,7.1,3.7,3275,259
2010,3,,9,7.2,11,2.3,5.3,7.3,275,2.787,2.716,2.253,0.192,0.073,0.055,0.043,5.4,3.8,3830,151
2010,4,,13.2,7.5,10,3.1,6.3,11.3,268,1.811,1.634,1.176,0.075,0.06,0.024,0.012,25.6,4.4,5760,129
2010,5,,19,7.3,8.1,2.9,5.8,11.3,207,1.978,1.816,1.003,0.183,0.086,0.048,0.03,18.8,4.2,24900,157
2010,6,,24,7.2,6.8,3.6,7.9,8.4,230,2.317,2.152,1.13,0.191,0.125,0.077,0.057,13,6.8,36520,167
2010,7,,25.3,7.2,7.1,3.1,7.2,16.9,177,2.658,1.947,1.481,0.142,0.102,0.065,0.044,6.3,4.9,13600,950
2010,8,,26.7,7.3,6.9,3.6,5.9,14.1,183,1.909,1.739,0.78,0.159,0.102,0.074,0.053,11.9,3.4,12000,1189
2010,9,,23.2,7.4,7.9,3.3,6.1,23,289,2.221,1.709,1.322,0.116,0.104,0.058,0.045,7.4,3.9,14200,2513
2010,10,,17.5,7.3,9,2.9,6,11,269,2.321,2.207,1.677,0.112,0.084,0.058,0.037,6,4.5,3300,875
2010,11,,10.8,7.6,9.8,4,8,6.9,334,2.319,2.137,1.825,0.069,0.07,0.044,0.027,9.2,5.8,8258,711
2010,12,,5.2,7.5,12.7,3.9,7.8,9.9,366,3.192,3.01,2.615,0.078,0.103,0.059,0.05,19.3,5.1,5967,1872
2011,1,2.113,2,7.3,13.3,2.6,4.9,7.4,362,3.207,2.937,2.653,0.22,0.114,0.09,0.083,5.9,3.8,500,68
2011,2,2.097,5,7.8,13,3,5,12.7,336,3.009,2.95,2.642,0.198,0.105,0.079,0.069,16.2,4.4,325,59
2011,3,3.615,8,7.8,12.3,3.5,7.3,26.6,337,2.576,2.264,1.874,0.173,0.103,0.047,0.032,16.5,5.7,1350,117
