PO4-P,Rain,Flow
0.019,47.5,4.897
0.02,22.3,4.571
0.009,36.4,2.509
0.02,141,5.934
0.046,46.8,5.461
0.067,101.7,4.959
0.04,167,9.366
0.045,139.8,6.264
0.034,59.8,4.607
0.046,95.2,4.505
0.064,120.2,5.923
0.029,61.4,6.722
0.018,51.2,3.479
0.031,43.5,7.489
0.024,58.4,6.155
0.022,185.6,9.168
0.039,105.5,7.687
0.063,106.7,7.129
0.058,287.8,8.753
0.035,86.3,6.257
0.048,243.1,16.274
0.057,207.3,14.034
0.048,32.4,3.671
0.02,45.3,3.439
0.029,13.6,3.23
0.041,43.8,3.538
0.014,9.6,2.81
0.006,21.2,2.707
0.01,30.6,2.093
0.026,69.9,3.473
0.047,210.8,10.418
0.064,252.6,31.665
0.041,94.2,12.089
0.03,75.3,3.39
0.006,7.8,2.222
0.005,30.4,2.623
0.012,44.4,2.826
0.012,35.2,2.31
0.028,114.1,11.389
0.023,115.7,6.176
0.058,117,7.879
0.05,190.1,5.507
0.074,127.6,26.962
0.05,360.8,32.126
0.036,118,11.455
0.03,111.9,6.158
0.038,41,2.32
0.034,27.6,3.693
0.014,13.9,2.649
0.028,31.5,2.677
0.014,28.8,2.001
0.02,72,2.843
0.041,67,5.198
0.053,134.4,5.329
0.064,206,13.018
0.04,55.1,6.699
0.057,141,10.641
0.024,127.5,6.811
0.026,19.4,3.572
0.025,26.9,3.814
