SS,T-P,PO4-P,Rain,Flow
15.1,0.085,0.013,45,38.474
17,0.081,0.004,24.6,25.326
19.5,0.096,0.008,35.7,20.012
17.8,0.103,0.02,150.7,43.103
20,0.1,0.027,59.4,48.581
19.6,0.085,0.012,104.1,50.842
19.2,0.129,0.04,162.6,57.82
19.4,0.183,0.054,125.9,57.917
18.3,0.121,0.02,71.4,46.262
19.9,0.11,0.025,88.4,23.138
14.6,0.1,0.018,116.3,27.262
9.8,0.116,0.051,62.9,35.164
15.2,0.088,0.007,60.7,24.477
19.2,0.129,0.033,43.5,45.833
19.2,0.109,0.012,55.1,40.739
14,0.099,0.02,187.6,45.568
23.7,0.116,0.038,110.2,64.289
22.4,0.123,0.028,122.5,53.891
27.9,0.15,0.066,282.2,154.334
21.3,0.141,0.059,58.7,48.273
13.5,0.134,0.069,231.6,57.882
34.1,0.275,0.155,211.7,68.15
14.5,0.111,0.039,42.6,31.71
9.6,0.08,0.017,45.3,24.266
9,0.097,0.027,12.5,26.541
22.4,0.102,0.008,38.4,33.811
12,0.068,0.015,6.1,27.675
10.2,0.078,0.01,7.9,24.79
10.8,0.059,0.011,22.6,19.795
26.7,0.096,0.011,37.1,48.527
29.6,0.13,0.057,184.6,61.922
22.2,0.148,0.072,246.9,49.217
14.8,0.101,0.055,109,55.976
15.1,0.085,0.026,77,21.409
13.7,0.059,0.01,1.8,21.937
9.5,0.067,0.012,34.7,17.711
15.3,0.119,0.013,45.9,28.58
12.9,0.107,0.015,28.4,14.642
9.7,0.102,0.019,129.4,34.235
17.9,0.098,0.025,142.7,108.369
14.9,0.081,0.022,86.8,66.894
15.9,0.085,0.021,200.2,33.6
27.2,0.118,0.035,78.3,55.787
26.7,0.168,0.056,341.5,17.23
20.4,0.108,0.048,137.7,176.091
17.7,0.109,0.03,130.1,118.054
11.5,0.099,0.037,48.6,14.486
13.1,0.092,0.028,34.6,20.713
17.4,0.103,0.013,15.3,16.01
18.2,0.132,0.012,34.3,19.421
11,0.108,0.027,35.6,19.783
11.8,0.152,0.022,85.3,21.241
13.5,0.134,0.033,95,26.601
19.1,0.117,0.023,163.3,34.232
18.4,0.121,0.05,214.5,53.368
16,0.119,0.058,94.3,54.18
17.7,0.128,0.086,200.2,60.086
11.2,0.082,0.034,153.3,30.764
12.3,0.047,0.017,19.8,13.34
7.4,0.055,0.025,35,13.058
