date,pH,DO,BOD,COD,SS,T_N, T_P,TOC,WT,EC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
2010-01-11,7,12.7,2,3.5,2.3,3.43,0.069,2.7,3,330,3200,0.199,0.044,4.4,118,2.257,9.1
2010-01-18,7.2,13.9,1.4,3.8,3.7,3.194,0.071,3.1,2,370,2400,0.204,0.045,4.5,60,2.119,4.3
2010-01-26,6.8,13.2,3.3,4.6,5.4,3.338,0.09,3.2,2,317,3700,0.401,0.059,6.8,120,2.166,11.9
2010-02-01,7.4,12.2,2.1,4.9,5.2,2.866,0.069,4,5,373,3000,0.24,0.04,12.9,196,2.677,11.8
2010-02-09,7.4,13.1,2,4.3,4.3,2.841,0.067,3.2,6,340,5800,0.175,0.039,4.2,415,2.382,7.6
2010-02-17,7.1,13.4,2.7,5.1,4.9,3.286,0.084,3.8,3,296,3600,0.292,0.056,3.3,345,3.555,44
2010-02-24,7.1,11.5,2,4.5,5.1,2.951,0.062,3.7,7,313,700,0.199,0.04,8,80,2.443,2.7
2010-03-05,7,10.9,2.4,6,9.1,3.132,0.086,4.4,10,317,7800,0.298,0.062,1.5,375,6.318,93.7
2010-03-11,7.5,11.3,2,5.4,5.5,2.952,0.072,3.8,7,275,1700,0.205,0.045,3.9,115,6.587,19.3
2010-03-18,7.2,11.5,2.9,4.6,7,2.576,0.073,3.5,9,227,3300,0.194,0.039,5.6,60,6.856,17
2010-03-25,7,10.4,2,5,7.5,2.487,0.06,3.5,10,280,2520,0.072,0.025,10.6,55,3.151,5
2010-04-01,7.3,11,2.9,5.5,12.2,2.285,0.072,3.7,11,254,4300,0.147,0.026,16.3,400,6.237,22.5
2010-04-07,7.1,10.6,2.5,5.3,10.2,1.512,0.059,3.7,12,280,2600,0.026,0.011,14.5,55,3.576,17.5
2010-04-13,7.6,9.5,3.1,6.2,11.2,1.786,0.05,4.1,14,275,6100,0.102,0.006,34.7,15,3.543,10.5
