BOD,COD,T-N,TOC,NH3-N,Chl-a
4,5.7,5.134,4.3,1.457,51.4
4.6,6.6,5.714,4.8,1.809,73.4
5.6,8.3,6.029,5.8,2.214,87.5
5.5,7.5,4.748,5.6,1.872,42.1
3.6,6.5,3.242,5,0.854,24.9
5.5,8.2,3.725,6.7,1.261,44.6
3.9,7.5,2.928,5.4,0.497,31.4
4.2,8.2,3.431,5.8,0.729,28.5
3.5,6.7,2.514,4.9,0.347,25.3
4,6.5,2.841,5.1,0.409,38.9
4.3,6.5,3.945,5.2,0.673,32.3
2.9,5.5,4.364,2.8,0.861,18.1
4.7,8.1,5.226,7.5,0.3,133
4.1,6.5,5.067,5.6,1.062,51.6
5,7.7,4.042,5.8,0.678,53.1
4.5,6.3,3.852,5.4,0.735,27.8
4.1,6.5,2.573,5.5,0.259,41.9
4.9,8.6,3.751,7.3,0.985,49.2
3,6.9,2.459,5.6,0.323,28.7
5.1,11.3,2.578,7.9,0.576,46.5
3.2,7.3,2.502,5.5,0.444,20.7
3.3,6.4,3.037,4.8,0.502,15.8
3.4,5.8,4.027,4.7,0.538,23.9
3.4,6.1,4.594,5,0.843,38
3.4,6.7,4.325,5,0.724,42.5
6.5,11.5,5.665,7.6,0.809,132.1
5,8.9,5.857,6.6,1.943,35.6
6,9.8,5.697,7.9,2.073,80.9
4.3,10.1,4.327,7.5,1.112,24
5.2,14.2,3.892,10.2,1.182,56.1
4.3,8.8,3.168,7.3,1.111,20.8
4.4,8.6,3.01,6.3,0.914,32.5
3.6,7.7,2.183,5.8,0.176,40.4
3.5,7.1,2.886,5.4,0.545,32
3.3,7.5,4.581,5.9,0.998,26.1
2.6,7.2,5.655,5.7,1.297,17.7
7.2,13,6.551,9.7,2.274,155.4
5.7,10.4,7.818,8.2,4.195,68.2
4,7.9,7.502,6.6,4.24,24.3
4.4,8.2,4.374,6.1,1.529,56.5
4.9,8.9,4.07,6.9,1.658,61.8
4.6,12.2,3.717,9.1,1.135,44.2
4.9,9.4,3.009,6.7,0.459,41.3
4.5,12.4,2.745,8.9,0.804,48.2
4.2,7.4,2.585,5.8,0.251,35.8
3.7,7.6,2.898,6.9,0.219,54.6
5.1,9.7,4.147,8.1,0.95,112.2
5.1,10.6,4.971,9.1,1.212,111.1
5.2,10.9,7.118,9.6,1.624,117.5
6.2,13.4,6.277,10.4,2.434,136.5
5.3,10.6,6.171,8.2,2.785,58.1
4.4,9.3,4.295,8.3,1.758,66.4
3.7,8.5,4.093,6.5,2.031,31.2
4.6,11.1,2.939,8.8,0.995,51.7
3.7,8.9,2.494,8.1,0.38,30.8
3.4,8.5,2.069,8.1,0.499,45.8
3.2,7.1,2.399,5,0.176,23.3
2.6,5.2,3.255,4,0.206,28.8
4.7,7.9,4.056,7.1,0.362,49.3
3.6,7.3,5.492,5.8,1.965,21.1
