date,pH,DO,BOD,COD,SS,TN,TP,TOC,WT,EC,TC,NH3N,PO4P,Chla,FC,Flow,Rain,time
2020-01-06,7.5,13.5,6,9.6,14.5,7.74,0.088,8.6,7.5,439,2500,3.465,0,69.7,210,9.763,15.5,3657
2020-01-13,7.3,11,4,7.2,10.5,5.089,0.103,5.4,7,280,27000,1.369,0.037,16.9,430,12.415,0,3664
2020-01-20,7.2,10.3,4,7.4,7.4,6.702,0.094,5.9,6.8,364,2700,2.484,0.03,20.9,50,10.533,0,3671
2020-01-28,7.2,9.8,4.8,7.8,8.3,7.077,0.113,6.3,9.2,362,35000,3.665,0.032,21.4,2200,18.003,0,3679
2020-02-03,7.2,12.9,5.7,8.9,11.1,6.618,0.105,7.3,8.6,380,3800,2.97,0.063,28.3,210,13.2,0,3685
2020-02-10,7.3,12.1,5.5,8.5,7.3,7.367,0.08,6.9,6.9,393,2200,3.027,0.014,24,5,7.83,0,3692
2020-02-18,7.4,10.2,6.8,12.9,15.2,6.728,0.27,7.4,7.7,365,100000,3.502,0.11,45.3,12000,0,0,3700
2020-02-24,7.5,9.2,6.5,12,14.5,6.446,0.303,8.7,10.2,437,80000,3.259,0.152,57.4,7900,23.341,0.9,3706
2020-03-02,7.6,11.2,5,7.9,13.6,4.507,0.109,6,10.2,317,3800,2.012,0.029,27.9,210,18.777,0,3713
2020-03-09,7.1,10.5,6,9,12.5,7.135,0.15,7.4,11.3,382,32000,3.58,0.011,31.5,4100,15.254,4.5,3720
2020-03-16,7.6,13.6,6.6,12.6,19,6.951,0.131,8.4,11.1,392,2700,3.531,0.005,88.4,120,10.424,0,3727
2020-03-23,8.2,14.6,6.5,13.7,19.6,7.233,0.106,8.1,14.7,431,1500,3.121,0.004,107.3,60,7.231,0,3734
2020-03-30,7.3,10.1,8.7,12.5,18.4,4.772,0.237,9.7,13.2,335,21000,2.287,0.01,121.6,1800,13.2,0,3741
2020-04-06,8.8,16.3,8.7,15.8,23.7,6.354,0.119,9.6,14.4,419,1200,2.62,0.004,120.9,49,8.863,0,3748
2020-04-13,7.3,10.7,6.8,12.9,14,8.776,0.089,8.1,14.6,469,900,4.866,0.013,61.4,30,10.6,0,3755
2020-04-20,6.8,3.4,7.6,13.2,18.5,7.305,0.28,9,15,326,25000,4.933,0.145,19.6,11000,33.639,0,3762
2020-04-27,7.9,13.7,7.5,14.8,16.4,7.056,0.107,8.9,16.5,412,2200,3.393,0.005,60.9,110,10.6,0,3769
2020-05-04,6.7,1.6,8.2,12.1,16.8,6.655,0.231,9.5,19.9,340,70000,4.595,0.098,14,7000,19.83,0,3776
2020-05-11,7,4.2,6.3,11.4,7.9,3.739,0.209,7.1,19.4,290,13000,2.374,0.108,26.3,3600,20.745,0,3783
2020-05-18,6.8,6,6.7,12.1,11.5,3.762,0.139,7.9,21.2,293,3900,1.927,0.04,66.5,540,22.787,14.3,3790
2020-05-25,6.9,6.8,6.5,10.2,17.6,5.273,0.115,7.1,21.6,347,4900,2.527,0.028,58.5,2000,19.356,0,3797
