date,BOD,COD,SS,TN,TP,TOC,TC,NH3N,PO4P,Chla,FC,Flow,Rain,time
2013-01-04,3.1,6.4,4.6,6.424,0.159,4.2,6200,2.578,0.112,4.1,280,15.764,14.3,3
2013-01-10,3,6.5,3,7.325,0.123,4.6,3800,3.473,0.083,4.9,24,12.694,0,9
2013-01-15,3.6,7.2,4.5,7.663,0.133,4.7,1400,3.612,0.086,12.1,32,12.528,0,14
2013-01-23,4.1,8.2,10.4,7.319,0.172,5.6,13200,3.977,0.107,17.3,1100,25.75,14,22
2013-01-28,3.7,8.5,6.5,5.817,0.112,4.8,6200,2.518,0.078,23,114,16.792,3.4,27
2013-02-06,4.9,5.9,16,4.813,0.168,5.3,74000,1.863,0.125,5.8,7400,56.59,35.1,36
2013-02-12,4.1,7.2,8.4,5.59,0.152,4.4,15000,2.679,0.109,2.6,1500,20.486,7.5,42
2013-02-18,2.2,5.8,4.5,5.937,0.131,4,10400,2.963,0.085,4.1,60,26.243,0.5,48
2013-02-25,1.8,5.7,4,4.445,0.09,3.8,4800,2.083,0.056,5.5,6,20.458,6,55
2013-03-07,5.7,10.5,11.3,6.29,0.208,6.5,1300,3.452,0.013,96.4,10,10.118,4,65
2013-03-12,6.5,12.9,11.2,8.265,0.18,7,9200,4.13,0.009,80.7,360,9.5,1,70
2013-03-19,6.7,11.3,37,3.866,0.169,5.7,76000,1.128,0.1,23.6,18000,93.5,52.5,77
2013-03-27,3.9,6.9,8,5.522,0.113,5.3,1400,2.874,0.048,46.9,132,15.521,18,85
2013-04-01,5.5,9.4,13,7.772,0.074,6,680,4.561,0.008,64,26,11.896,0.4,90
2013-04-10,5.4,8.9,12.5,6.291,0.118,5.7,4900,3.538,0.037,77.4,520,15.924,18.6,99
2013-04-17,5.9,12.2,11.9,7.963,0.071,5.5,130,4.079,0.004,84.9,2,10.493,0.3,106
2013-04-30,3.6,8.1,2.9,6.978,0.138,5.4,19000,4.046,0.082,7.7,3100,20.597,24.4,119
2013-05-07,5.1,11.8,7.8,5.416,0.054,6,450,2.892,0.006,48.8,52,10.931,3,126
2013-05-14,7.6,14.7,12,5.801,0.162,6.5,10000,3.281,0.077,96.1,550,4.778,21.5,133
2013-05-22,6.5,12,13.1,5.975,0.316,7.4,9400,3.73,0.228,101,1400,20.764,2,141
2013-05-27,6.2,12.1,11.2,6.853,0.435,6.7,14600,4.78,0.387,40.7,2200,90.5,0,146
2013-06-03,5.8,11.7,12.5,5.311,0.149,6.1,11200,2.027,0.087,87.3,1850,23.375,51,153
2013-06-10,5.3,10.7,11.8,5.578,0.151,6.2,5400,2.83,0.063,61.7,1700,22.16,0,160
2013-06-17,5.4,11.6,12.1,4.955,0.143,6.4,42000,2.427,0.031,88.7,19500,38.444,6.7,167
