date,BOD,COD,SS,TN,TP,TOC,TC,NH3N,PO4P,Chla,FC,Flow,Rain,time
2020-01-06,6,9.6,14.5,7.74,0.088,8.6,2500,3.465,0,69.7,210,9.763,15.5,2561
2020-01-13,4,7.2,10.5,5.089,0.103,5.4,27000,1.369,0.037,16.9,430,12.415,0,2568
2020-01-20,4,7.4,7.4,6.702,0.094,5.9,2700,2.484,0.03,20.9,50,10.533,0,2575
2020-01-28,4.8,7.8,8.3,7.077,0.113,6.3,35000,3.665,0.032,21.4,2200,18.003,0,2583
2020-02-03,5.7,8.9,11.1,6.618,0.105,7.3,3800,2.97,0.063,28.3,210,13.2,0,2589
2020-02-10,5.5,8.5,7.3,7.367,0.08,6.9,2200,3.027,0.014,24,5,7.83,0,2596
2020-02-18,6.8,12.9,15.2,6.728,0.27,7.4,100000,3.502,0.11,45.3,12000,0,0,2604
2020-02-24,6.5,12,14.5,6.446,0.303,8.7,80000,3.259,0.152,57.4,7900,23.341,0.9,2610
2020-03-02,5,7.9,13.6,4.507,0.109,6,3800,2.012,0.029,27.9,210,18.777,0,2617
2020-03-09,6,9,12.5,7.135,0.15,7.4,32000,3.58,0.011,31.5,4100,15.254,4.5,2624
2020-03-16,6.6,12.6,19,6.951,0.131,8.4,2700,3.531,0.005,88.4,120,10.424,0,2631
2020-03-23,6.5,13.7,19.6,7.233,0.106,8.1,1500,3.121,0.004,107.3,60,7.231,0,2638
2020-03-30,8.7,12.5,18.4,4.772,0.237,9.7,21000,2.287,0.01,121.6,1800,13.2,0,2645
2020-04-06,8.7,15.8,23.7,6.354,0.119,9.6,1200,2.62,0.004,120.9,49,8.863,0,2652
2020-04-13,6.8,12.9,14,8.776,0.089,8.1,900,4.866,0.013,61.4,30,10.6,0,2659
2020-04-20,7.6,13.2,18.5,7.305,0.28,9,25000,4.933,0.145,19.6,11000,33.639,0,2666
2020-04-27,7.5,14.8,16.4,7.056,0.107,8.9,2200,3.393,0.005,60.9,110,10.6,0,2673
2020-05-04,8.2,12.1,16.8,6.655,0.231,9.5,70000,4.595,0.098,14,7000,19.83,0,2680
2020-05-11,6.3,11.4,7.9,3.739,0.209,7.1,13000,2.374,0.108,26.3,3600,20.745,0,2687
2020-05-18,6.7,12.1,11.5,3.762,0.139,7.9,3900,1.927,0.04,66.5,540,22.787,14.3,2694
2020-05-25,6.5,10.2,17.6,5.273,0.115,7.1,4900,2.527,0.028,58.5,2000,19.356,0,2701
2020-06-01,6,10.1,10.7,4.879,0.116,6.4,47000,2.502,0.026,38.1,210,26.277,0,2708
2020-06-08,6.8,13.1,17.8,5.22,0.15,7.3,1400,2.208,0.01,90.7,390,16.972,0,2715
2020-06-15,6.9,10.8,24.2,3.173,0.196,7.1,62000,0.92,0.129,8.2,41000,57.43,0,2722
2020-06-22,5.6,10.1,12.2,3.683,0.128,6.3,2200,0.708,0.023,57.4,2000,31.5,0,2729
2020-07-01,6,9.9,11.1,3.282,0.198,7.6,79000,1.025,0.119,20.1,31000,29.735,0,2738
2020-07-06,5.5,8.4,10.5,4.065,0.11,6.2,13000,1.411,0.055,25.7,9000,20.491,0.3,2743
2020-07-15,3.6,6.9,25.7,2.998,0.17,5,70000,0.52,0.116,5.7,32000,166.562,9.8,2752
2020-07-21,3.5,6.3,11,3.496,0.126,4.6,21000,1.132,0.083,18.6,5900,57.513,9.4,2758
2020-07-27,3.1,5.9,8,2.769,0.14,3.5,30000,0.612,0.1,6,10000,93.862,8.9,2764
2020-08-03,3.9,5.7,13.7,3.169,0.154,4.2,22000,0.759,0.131,5.2,5400,73.294,0,2771
2020-08-19,4.3,7.8,5.7,3.472,0.18,4.5,41000,1.073,0.102,57.5,4300,35.363,0,2787
2020-08-24,4.7,8.2,8.7,4.24,0.11,5,45000,1.658,0.038,45.3,27000,26.385,0,2792
2020-09-01,4.8,8,50.2,2.511,0.218,5.2,78000,0.54,0.101,24.1,10000,101.789,0.1,2800
2020-09-08,3.7,6.4,28.7,2.218,0.172,4,68000,0.378,0.11,4.2,10000,139.753,0,2807
2020-09-14,3.1,5.4,9.8,2.545,0.144,3.3,59000,0.489,0.1,6,27000,81.35,0,2813
2020-09-21,4.5,8.3,12.1,2.948,0.091,4.7,20000,0.365,0.03,71.5,11000,35.561,0,2820
2020-09-28,6.8,13.5,22.9,4.192,0.083,7,5400,1.247,0.002,230.8,1200,17.855,0,2827
2020-10-05,5.4,11.7,22.1,4.236,0.094,5.7,500,1.137,0.005,184.4,420,17.341,0,2834
2020-10-12,4.5,12.9,24.7,4.549,0.113,4.6,2300,1.105,0.007,204.7,900,16.995,0,2841
2020-10-19,4.4,11.5,17.4,4.308,0.093,4.7,1600,1.018,0.001,143.3,400,12.33,0,2848
2020-10-26,4.6,11.8,15.8,5.857,0.109,5.2,2400,2.375,0.004,116.2,1200,11.913,0,2855
