date,BOD,COD,SS,TN,TP,TOC,TC,NH3N,PO4P,Chla,FC,Flow,Rain,time
2013-01-04,1,4.3,5.3,3.781,0.051,3.7,400,0.128,0.034,2.7,70,3.327,14.3,3
2013-01-10,2.8,4.8,4.1,3.531,0.067,3.1,240,0.39,0.035,3.9,73,3.582,0,9
2013-01-15,1.7,3.5,4.3,2.946,0.044,2.9,85,0.099,0.03,6.5,40,4.409,0,14
2013-01-23,1.9,4.6,3.8,2.919,0.067,3.4,4600,0.248,0.044,10.8,560,6.456,14,22
2013-01-28,2.3,4.7,5,3.335,0.051,3.9,220,0.484,0.038,3,38,5.45,3.4,27
2013-02-06,1.8,5.4,5.2,2.336,0.055,3.7,4600,0.237,0.043,3.8,570,15.883,35.1,36
2013-02-12,1.1,3.4,2.4,3.03,0.039,2.3,7800,0.18,0.026,3.5,380,6.51,7.5,42
2013-02-18,1.2,3.3,4,2.885,0.079,2.7,720,0.162,0.031,8.7,310,5.157,0.5,48
2013-02-25,2,4.3,11.1,2.978,0.04,3.2,610,0.174,0.027,14.9,375,3.421,6,55
2013-03-07,2.8,7.5,7.4,2.765,0.071,5.8,300,0.101,0.021,27.3,28,2.278,4,65
2013-03-13,5.2,8.8,31.3,2.649,0.087,5.8,8600,0.364,0.038,89.1,980,14.973,1,71
2013-03-19,3.5,7.1,31.9,2.572,0.113,4.9,10000,0.341,0.077,20.2,1160,21.949,52.5,77
2013-03-27,1.7,4.5,7.7,2.329,0.072,3.6,260,0.162,0.031,11.5,6,4.393,18,85
2013-04-01,3.3,6,6.7,2.188,0.048,3.7,120,0.036,0.01,35.7,16,3.438,0.4,90
2013-04-10,3.8,6.6,15.1,1.859,0.048,3.8,120,0.024,0.009,34.8,30,1.915,18.6,99
2013-04-17,4.8,8.8,8.8,2.431,0.075,6.5,2000,0.234,0.008,56.9,34,1.92,0.3,106
2013-04-22,3.3,7,10.2,1.458,0.049,4.5,85,0.09,0.015,22.1,22,1.988,9.6,111
2013-04-30,4.4,8.1,20.5,2.143,0.081,5,5000,0.224,0.038,44.9,340,6.603,24.4,119
2013-05-07,3,6.7,11.6,0.986,0.034,4.2,270,0.986,0.007,18.7,52,2.79,3,126
2013-05-13,2.4,6.8,7.4,1.654,0.066,5.3,207,0.348,0.047,7.7,52,2.218,21.5,132
2013-05-20,4,6.9,18.7,1.759,0.075,5.6,2400,0.415,0.059,18.2,290,4.928,2,139
2013-05-28,5.1,8.9,44.4,2.636,0.13,5.9,51000,0.642,0.099,5.5,3600,50.986,0,147
2013-06-03,4,7.4,20.2,3.093,0.098,5.1,390,0.578,0.082,5.6,105,7.381,51,153
2013-06-11,4.5,10.7,14.3,2.197,0.103,6.9,510,0.293,0.079,9.5,102,7.038,0,161
2013-06-17,3.2,8.7,11.1,2.131,0.089,5.8,440,0.126,0.059,8.2,84,7.133,6.7,167
2013-06-26,3.3,8.9,9.6,2.363,0.086,6.7,5000,0.219,0.051,25.4,410,11.441,69.5,176
2013-07-02,2.4,8.2,6.8,1.589,0.117,5.9,580,0.124,0.054,16.1,100,4.289,7.5,182
2013-07-08,1.6,6,27.4,2.142,0.135,4.4,13000,0.147,0.06,4.5,1600,92.938,245,188
2013-07-16,2.6,7.1,7.1,2.079,0.079,5.3,4400,0.037,0.031,37.8,540,7.743,38.6,196
2013-07-22,2.9,7.4,10,1.453,0.088,5.3,2200,0.055,0.038,39.9,170,6.764,0,202
2013-07-30,2.1,6.8,7.5,2.073,0.086,4.8,10000,0.156,0.057,11.7,4000,9.457,33.5,210
2013-08-05,3,7.5,40.5,1.919,0.194,5,47000,0.151,0.08,12.8,17600,36.604,36,216
2013-08-12,2.5,6.6,6.1,1.131,0.088,5.2,670,0.061,0.037,19.5,110,5.94,19.5,223
2013-08-20,5.2,12.1,11.4,1.024,0.109,8.2,530,0.011,0.032,36.9,255,7.002,0,231
2013-08-26,1.5,6.4,12,2.242,0.113,4.1,8000,0.124,0.074,2.7,2000,22.668,155.6,237
2013-09-03,1.8,6.5,6.2,1.737,0.067,4.9,1300,0.041,0.034,10.2,310,7.287,106.1,245
2013-09-09,3.5,8.8,14.6,1.546,0.071,5.9,680,0.016,0.01,43.8,360,5.18,12.5,251
2013-09-16,2.5,6.1,6.8,1.805,0.112,4.4,4000,0.118,0.079,3,700,10.153,61,258
2013-09-24,2.4,6.1,9.5,1.546,0.083,3.4,700,0.074,0.017,26.7,420,5.289,0,266
2013-10-01,2.6,6.5,6.7,1.534,0.069,4.5,540,0.049,0.023,18.3,310,4.517,4,273
