date,BOD,COD,SS,TN,TP,TOC,TC,NH3N,PO4P,Chla,FC,Flow,Rain,time
2020-01-06,1.8,4.5,6.7,3.123,0.104,4.3,1600,0.217,0.061,7.1,380,2.108,15.5,2561
2020-01-13,1.4,5.4,4.8,3.315,0.093,4.4,2500,0.068,0.07,3.4,330,5.104,0,2568
2020-01-20,0.9,4.8,3.7,3.085,0.074,4.1,1400,0.037,0.048,2.9,350,2.522,0,2575
2020-01-28,1.6,5.2,4.9,2.516,0.075,4.1,2900,0.137,0.049,8.4,400,3.758,0,2583
2020-02-03,1.8,5.1,3.7,2.175,0.08,4.3,2900,0.192,0.043,34.3,750,6.495,0,2589
2020-02-14,2.1,5.7,8.5,2.537,0.072,4.6,520,0.069,0.035,16.7,120,4.805,0,2600
2020-02-19,2,5.4,5.2,2.586,0.09,4,2300,0.123,0.048,5.4,180,4.574,0,2605
2020-02-24,2.2,5.6,8.9,2.533,0.075,4.7,1400,0.163,0.036,14.4,110,4.502,0.9,2610
2020-03-02,1.3,5,5.7,2.881,0.079,4.7,2900,0.372,0.05,3.4,750,4.559,0,2617
2020-03-09,2.2,5,6.6,2.631,0.074,4.8,1300,0.194,0.029,13.5,440,2.897,4.5,2624
2020-03-16,2.5,5.7,8.1,2.511,0.088,4,3000,0.011,0.031,12.9,80,2.819,0,2631
2020-03-23,4,9.1,18.1,1.886,0.147,6.5,400,0.006,0.009,54.6,220,1.818,0,2638
2020-03-30,4.6,8.2,14.4,1.722,0.145,6.6,400,0.062,0.012,92.7,20,2.644,0,2645
2020-04-06,4.7,9.4,16.6,1.088,0.099,5.8,80,0.005,0.012,56.1,33,1.8,0,2652
2020-04-13,4.5,8.4,11.8,1.132,0.086,5.2,800,0.027,0.034,26.8,50,1.692,0,2659
2020-04-20,3.6,8.3,11.8,1.431,0.1,5.2,5900,0.083,0.04,24.4,2700,7.703,0,2666
2020-04-27,6.2,12.6,17.5,1.182,0.141,7.1,1100,0.01,0.011,62.2,70,1.58,0,2673
2020-05-04,2.8,8,9.3,1.312,0.095,5.8,5300,0.123,0.042,19.7,1100,3.428,0,2680
2020-05-11,2.8,7.7,10.3,1.349,0.094,5.2,3700,0.146,0.039,18.8,740,6.826,0,2687
2020-05-18,2.5,8.7,11,1.945,0.114,5.7,700,0.344,0.046,30.1,350,2.161,14.3,2694
2020-05-25,2.7,8.6,19.6,1.744,0.121,6.2,3200,0.187,0.044,26.2,680,6.544,0,2701
2020-06-01,3.7,9.9,13.6,2.351,0.144,6.8,4700,0.447,0.066,14.6,1000,6.714,0,2708
2020-06-08,2.4,10.5,16.7,1.881,0.142,7.5,1000,0.147,0.076,12.5,540,6.586,0,2715
2020-06-15,2.9,11.8,19.3,2.62,0.185,7.2,10000,0.299,0.123,7.7,3200,15.555,0,2722
2020-06-22,2.5,8.9,15,2.142,0.138,6.1,9000,0.185,0.084,6,2400,10.242,0,2729
2020-07-02,1.3,8.6,7.2,2.268,0.127,6.2,3300,0.152,0.094,10.4,760,6.938,0,2739
2020-07-06,1.2,7.5,6.7,2.044,0.109,5.2,3100,0.132,0.076,6.6,580,5.402,0.3,2743
2020-07-16,1.4,6,14.7,2.142,0.109,3.6,3900,0.164,0.079,3.9,3800,0,9.8,2753
2020-07-21,1.4,4.7,6.3,2.593,0.098,3.4,9000,0.128,0.07,6.1,570,13.844,9.4,2758
2020-08-03,0.8,4.7,8.9,2.253,0.091,3.2,4200,0.076,0.062,3.9,4100,31.802,0,2771
2020-08-18,1.7,5.1,12.4,2.097,0.063,3.4,2100,0.119,0.029,22.2,300,17.809,0,2786
2020-08-24,2.9,6.2,4.5,2.008,0.065,3.9,3100,0.036,0.02,29.1,2900,9.391,0,2792
2020-09-01,1.3,5.6,12.5,1.789,0.094,3.2,3800,0.061,0.059,9.6,1200,12.49,0.1,2800
2020-09-08,1,6.1,31.9,1.645,0.118,3.3,30000,0.072,0.069,3.8,8000,34.267,0,2807
2020-09-14,0.9,4.6,14.4,1.803,0.087,2.8,15000,0.062,0.056,3.4,5600,32.816,0,2813
2020-09-21,1.2,4.8,7.1,1.832,0.073,2.9,4300,0.004,0.032,23.4,2300,11.242,0,2820
2020-10-05,3.7,7.5,9.7,1.699,0.084,3.8,1000,0.017,0.007,82.2,540,4.656,0,2834
2020-10-12,1.2,5.3,5.7,1.641,0.058,2.8,3900,0.034,0.01,40.7,2500,7.1,0,2841
2020-10-19,2.1,4.9,5.6,1.615,0.05,2.5,490,0.019,0.005,26.2,250,3.214,0,2848
2020-10-26,2.8,6.5,9.1,2.044,0.07,3,300,0.085,0,36.7,70,2.973,0,2855
