Flow,Rain,Day,Speed,WT,DO,BOD,COD,TOC,TN,NO3N,NH3N,TP,PO4P,Chla,time
17.32,0,6.9,0.02,7.7,11.8,2.3,4.9,4.5,5.535,3.889,1.432,0.081,0.024,16.9,3
17.07,0,6.8,0.02,7.5,12.7,2.9,5.5,5.1,6.618,4.347,1.356,0.161,0.066,36.9,10
20.69,4.3,6.9,0.02,7,13.6,2.9,6,5.8,7.88,4.714,1.884,0.14,0.033,38.9,17
30.42,11.5,6.1,0.03,4.2,13.1,2.4,5,5.7,7.099,4.432,2.014,0.114,0.021,21.2,27
23.68,0,4.4,0.02,4.2,11.3,4.2,6.5,5.6,4.747,2.729,1.387,0.232,0.125,13.3,32
17.85,0,5,0.02,6.3,13.2,2.6,5.1,5.9,6.908,3.807,2.569,0.101,0.029,14.7,41
25.22,4.2,3.1,0.02,8.8,10.2,3.8,6,6.1,4.372,2.087,1.383,0.167,0.07,16,45
22.83,0,4.8,0.02,7.8,11.5,2.2,5.6,4.8,5.504,3.114,1.895,0.119,0.069,13.1,52
18.27,2.8,5.8,0.02,7.3,13.9,4.5,5.9,5,5.608,3.216,1.575,0.149,0.067,44.5,59
62.78,0,1.8,0.06,12.1,8.3,5.9,7.5,6.3,3.295,1.779,0.636,0.204,0.055,5.7,66
20.25,0,5.2,0.02,8.3,12.6,2.6,6.1,5.1,4.76,2.63,1.393,0.18,0.086,15.6,73
18.25,0,7.3,0.02,12.8,8.6,4.5,7.3,5.7,5.455,3.238,1.462,0.156,0.028,59.8,80
15.1,0,7.1,0.02,13,12.2,6.3,8.7,7.1,5.908,3.113,1.753,0.164,0.014,104.5,87
17.2,0.8,9.7,0.02,15.7,13.6,7.1,9.1,6.3,5.853,3.396,1.592,0.08,0.014,82.1,94
15.08,0,5.7,0.01,16.3,10,6.6,9.2,6.5,3.405,1.842,0.693,0.162,0.026,107,101
46.15,0,1.8,0.04,16.2,8.4,5,7.5,6.2,2.704,1.626,0.568,0.19,0.038,36.7,108
31.49,0,3.8,0.03,18,7.9,2.7,5.6,4.4,3.369,2.303,0.701,0.116,0.022,31.2,115
37.66,0,3.4,0.04,19.1,8.5,3.6,7,5.5,3.454,1.95,0.787,0.127,0.034,39,122
21.07,0,4.4,0.02,19.4,8.3,3.4,6.3,5.5,4.222,2.131,1.181,0.134,0.049,49,129
25.77,5.3,3.6,0.03,21.2,13.2,5.9,8.6,7,4.405,2.027,1.17,0.165,0.01,139.2,136
18.78,0,4.9,0.02,23.8,10.9,4.6,7.7,5.7,4.273,2.113,1.479,0.149,0.059,51.5,143
21.43,0,4.7,0.02,23.3,6.2,4.9,8.2,6.5,4.081,1.361,1.927,0.124,0.074,50.3,150
31.31,3.7,3.6,0.03,22.4,5.9,3.8,7.3,7.2,4.041,1.561,1.409,0.133,0.065,22.7,158
28.14,0,5.2,0.03,24.6,10.1,5.4,7.3,6.9,4.522,1.947,1.644,0.147,0.052,73.7,164
