하천명,WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Flowrate
반변천,15.8,7.8,195,10.6,1.3,5.6,5,2.147,0.021,3.9,8.147
미천,16.3,7.8,339,10.8,1.2,4.7,5.6,3.303,0.026,3,2.288
내성천,15.9,7.8,268,10.9,0.9,3.5,12.2,3.363,0.051,1.9,15.912
금천,15.6,7.8,227,11.6,1.3,4.5,8.3,1.98,0.048,2.7,2.576
영강,16.4,7.7,300,10.9,1.4,4,6.2,2.431,0.025,2.2,11.581
병성천,17,7.8,280,11,1.7,5.3,14.2,2.854,0.066,3.4,5.309
위천,17.4,8.1,288,10.9,2.2,6.6,7.3,2.453,0.037,4.4,9.526
감천,17,7.7,315,9.9,1.3,4.6,13.3,3.908,0.069,2.8,9.45
금호강,17.9,8.2,714,11.6,3.8,8.8,10.8,6.301,0.099,6.3,33.921
회천,19.1,8.2,221,11.8,1.5,4.4,6.1,1.971,0.034,2.6,13.696
황강,15.2,7.8,136,10.4,0.8,3.6,17.1,1.833,0.031,2,28.512
남강,17.4,8.1,193,10.9,2.4,5.7,12.2,2.269,0.05,3.4,63.242
밀양강,17.3,8,217,11,2.2,5,8.5,2.431,0.043,3,14.713
송야천,16.2,7.8,417,10.5,1,6.5,92.9,4.462,0.099,3.4,0.663
풍산천,15.3,7.7,266,11.5,1.5,5.4,5.8,4.56,0.053,3.4,0.253
광산천,16.9,7.9,305,11.3,1.3,5.1,12.1,4.935,0.041,3.2,1.024
한천,17.4,7.6,1242,9.8,1.8,6.8,7.5,4.131,0.085,4.4,1.487
백천,15.3,7.6,315,9.8,2.1,5.7,19.7,2.764,0.11,3.6,3.521
하빈천,16.8,7.9,410,11.4,3.5,8.9,19.1,2.324,0.124,6.3,0.598
차천,20.3,7.6,1188,9.1,2.3,11.9,15.9,5.939,0.085,8.4,1.007
신반천,17.2,8,264,10.2,1.9,5.2,13,2.781,0.054,3.1,2.172
토평천,16.4,7.7,384,9.2,4.4,10.9,28.7,2.567,0.152,7.4,2.01
계성천,15.5,7.5,347,9.4,3.4,8.6,16.2,4.178,0.181,5.6,1.044
광려천,17.2,8.1,403,10.9,2.7,6.6,11.9,2.704,0.066,4.2,4.119
청도천,16.3,7.7,210,10.1,2.3,4.6,11,2.487,0.051,2.6,1.828
주천강,17.4,7.6,463,9.1,4.9,9.9,31.5,4.042,0.123,6.7,2.188
회포천,16.2,7.7,414,9.2,4.3,8.6,43.1,3.774,0.142,5.8,3.385
양산천,17.3,7.8,430,10.6,3.7,7.5,13.2,4.647,0.101,4.6,3.671
