WT,pH,EC,DO,BOD,COD,SS,TN,TP,TOC,Flowrate,
5.9 ,8.3 ,360 ,13.4 ,1.6 ,3.8 ,14.6 ,5.615 ,0.091 ,2.0 ,3.121 ,
6.8 ,8.2 ,360 ,13.2 ,1.2 ,3.9 ,9.7 ,5.198 ,0.067 ,2.1 ,2.758 ,
8.3 ,8.1 ,309 ,12.9 ,1.7 ,3.9 ,11.6 ,4.875 ,0.071 ,2.0 ,4.536 ,
6.0 ,8.0 ,237 ,12.9 ,2.1 ,4.3 ,22.7 ,4.302 ,0.092 ,2.6 ,12.312 ,
7.8 ,8.1 ,287 ,12.9 ,1.4 ,3.7 ,16.6 ,4.880 ,0.066 ,2.0 ,4.497 ,
8.6 ,8.0 ,316 ,12.4 ,0.9 ,3.5 ,7.7 ,5.346 ,0.075 ,2.0 ,3.757 ,
4.8 ,8.2 ,318 ,12.9 ,1.2 ,3.6 ,6.6 ,5.013 ,0.107 ,2.0 ,3.806 ,
16.7 ,8.7 ,339 ,12.4 ,1.1 ,4.7 ,15.1 ,4.132 ,0.068 ,2.2 ,4.025 ,
11.9 ,7.6 ,249 ,11.4 ,8.4 ,15.5 ,142.0 ,4.641 ,0.199 ,4.0 ,13.038 ,
16.5 ,7.9 ,279 ,11.3 ,1.6 ,4.5 ,5.7 ,4.715 ,0.062 ,1.9 ,5.427 ,
17.1 ,8.0 ,285 ,11.7 ,0.7 ,2.9 ,5.0 ,4.380 ,0.056 ,1.6 ,3.917 ,
11.8 ,7.9 ,253 ,11.2 ,0.8 ,2.9 ,11.8 ,6.703 ,0.082 ,2.0 ,5.402 ,
10.7 ,7.9 ,268 ,12.3 ,0.9 ,3.0 ,6.8 ,4.840 ,0.048 ,1.9 ,3.862 ,
12.2 ,7.8 ,281 ,10.8 ,1.4 ,3.3 ,7.8 ,4.035 ,0.075 ,2.2 ,4.692 ,
17.1 ,7.9 ,266 ,10.3 ,0.7 ,3.4 ,3.8 ,3.781 ,0.047 ,1.8 ,4.500 ,
29.6 ,7.9 ,320 ,8.7 ,1.6 ,4.2 ,5.8 ,3.957 ,0.065 ,2.1 ,3.154 ,
21.4 ,7.8 ,262 ,9.2 ,1.1 ,4.6 ,13.8 ,3.419 ,0.072 ,2.2 ,4.908 ,
21.2 ,7.6 ,236 ,8.4 ,5.3 ,10.0 ,80.8 ,4.213 ,0.269 ,5.6 ,18.860 ,
23.4 ,7.8 ,311 ,8.8 ,0.5 ,3.2 ,5.4 ,3.625 ,0.092 ,1.9 ,3.500 ,
24.3 ,8.3 ,393 ,9.2 ,1.2 ,4.2 ,4.8 ,3.381 ,0.079 ,2.4 ,1.921 ,
25.7 ,8.0 ,391 ,9.0 ,1.0 ,4.4 ,4.0 ,3.954 ,0.094 ,3.0 ,1.746 ,
27.6 ,7.9 ,340 ,8.1 ,1.2 ,4.3 ,9.0 ,3.151 ,0.173 ,2.8 ,3.706 ,
28.7 ,7.8 ,381 ,8.0 ,1.2 ,3.9 ,2.8 ,2.676 ,0.090 ,2.8 ,2.283 ,
31.1 ,7.4 ,212 ,7.3 ,1.3 ,4.9 ,20.8 ,3.457 ,0.122 ,2.7 ,18.204 ,
25.8 ,7.3 ,283 ,7.9 ,1.0 ,3.9 ,7.2 ,3.259 ,0.093 ,2.3 ,6.801 ,
27.1 ,8.0 ,359 ,8.9 ,2.3 ,6.6 ,14.2 ,3.356 ,0.126 ,3.1 ,3.623 ,
32.8 ,8.4 ,375 ,9.3 ,1.4 ,3.9 ,4.4 ,2.709 ,0.070 ,3.0 ,1.407 ,
28.3 ,7.7 ,262 ,7.6 ,0.9 ,3.7 ,12.8 ,2.768 ,0.108 ,2.2 ,8.052 ,
26.6 ,7.6 ,322 ,7.7 ,0.4 ,2.9 ,4.0 ,2.775 ,0.083 ,2.0 ,4.789 ,
28.6 ,8.2 ,383 ,8.3 ,1.6 ,3.8 ,3.6 ,2.836 ,0.089 ,2.4 ,2.343 ,
23.9 ,7.5 ,361 ,8.2 ,0.5 ,3.3 ,2.6 ,3.298 ,0.090 ,2.2 ,3.283 ,
21.3 ,7.6 ,359 ,8.5 ,0.7 ,3.3 ,5.8 ,3.330 ,0.104 ,2.0 ,4.422 ,
18.5 ,7.3 ,268 ,9.7 ,0.7 ,3.2 ,7.4 ,3.301 ,0.124 ,2.1 ,8.850 ,
18.5 ,7.6 ,325 ,9.3 ,2.0 ,3.2 ,4.8 ,3.879 ,0.078 ,2.4 ,4.352 ,
14.7 ,7.4 ,358 ,10.5 ,0.8 ,3.5 ,2.4 ,3.834 ,0.110 ,1.9 ,2.974 ,
15.1 ,7.6 ,355 ,10.7 ,1.0 ,3.6 ,2.4 ,4.145 ,0.089 ,2.0 ,3.424 ,
8.8 ,7.6 ,351 ,13.1 ,0.9 ,4.0 ,7.0 ,4.019 ,0.104 ,2.1 ,3.769 ,
9.1 ,7.8 ,403 ,11.7 ,0.9 ,3.9 ,9.4 ,4.492 ,0.090 ,2.5 ,3.025 ,
10.1 ,7.5 ,361 ,11.1 ,8.3 ,13.6 ,123.2 ,6.153 ,0.567 ,9.7 ,4.819 ,
9.2 ,7.7 ,361 ,11.4 ,0.8 ,3.4 ,5.2 ,4.815 ,0.076 ,2.2 ,3.877 ,
7.3 ,7.4 ,368 ,12.4 ,0.3 ,3.1 ,3.0 ,4.301 ,0.069 ,2.0 ,3.208 ,
3.7 ,7.6 ,398 ,14.2 ,1.2 ,4.1 ,4.4 ,5.241 ,0.080 ,2.5 ,2.061 ,
2.2 ,7.8 ,201 ,14.7 ,0.8 ,4.6 ,15.0 ,2.722 ,0.079 ,3.0 ,11.234 ,
