year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chlorophyll-a
2005,2.1,5,3.31,2.739,2.226,0.163,0.126,0.09,0.06,28.2
2006,2,5.1,3.206,2.924,2.495,0.112,0.127,0.079,0.06,32.8
2007,1.9,4.7,3.093,2.89,2.43,0.12,0.122,0.076,0.062,35.2
2008,2,5,2.984,2.807,2.291,0.148,0.119,0.084,0.066,36.6
2009,2.2,5.6,3.028,2.812,2.327,0.127,0.146,0.104,0.084,39
2010,1.6,5.4,3.057,2.868,2.402,0.159,0.118,0.069,0.055,19.4
2011,1.6,5.5,3.11,2.916,2.487,0.125,0.113,0.058,0.048,19.4
2012,1.9,5.6,2.911,2.687,2.369,0.088,0.07,0.041,0.026,21.8
2013,2,5.2,2.732,2.591,2.138,0.12,0.05,0.027,0.015,23.8
2014,2.2,5.5,3.011,2.872,2.31,0.149,0.044,0.026,0.012,23.6
2015,2,6,2.496,2.343,1.755,0.129,0.032,0.039,0.009,20.1
2016,2.1,6.6,2.922,2.792,2.25,0.131,0.04,0.025,0.013,20.4
2017,2,6.1,2.687,2.532,1.932,0.093,0.033,0.018,0.008,19.4
2018,2.1,6.8,3.03,2.866,2.253,0.103,0.043,0.025,0.014,23.6
2019,1.9,6.2,2.661,2.522,1.997,0.083,0.038,0.023,0.01,20.9
