BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
3.3,5.5,10.1,5.335,0.092,4.1,1.648,0.031,37.2,41.9
5,7.2,13.5,6.035,0.101,5.2,2.221,0.006,84,25.3
5.2,8.2,16.2,6.218,0.091,6,2.593,0.006,83.8,37
4.7,7.4,9.9,5.008,0.109,5.6,2.079,0.033,47.2,153.8
2.9,7.1,10.2,3.289,0.099,5.1,1.062,0.04,28.7,67.5
3.8,8.8,11.3,3.855,0.095,6.7,1.412,0.02,45,98.9
3.1,7.7,11,2.966,0.122,5.7,0.57,0.043,32.5,179.5
3.6,7.7,8.9,3.023,0.133,6.1,0.647,0.052,37.5,145.9
2.9,6.9,9.9,2.776,0.103,5.2,0.459,0.035,42.2,66.7
3.2,6.2,10.4,2.916,0.104,4.9,0.52,0.038,28.1,87.6
3.4,6.1,6.1,4.355,0.099,5.1,0.956,0.042,30.9,112.5
2.7,5.5,6.7,4.391,0.14,2.9,0.84,0.052,22.9,58
4.2,7,12.1,4.95,0.093,6.3,0.418,0.004,107.8,52.3
3.8,6.2,12.7,4.708,0.13,5.6,0.946,0.042,51.2,46.2
4.1,6.6,15.5,4.281,0.114,5.5,0.887,0.013,44.5,63.3
3.8,6.7,7.7,4.03,0.099,5.2,0.885,0.019,31.1,194.1
3.7,7.2,10.8,2.901,0.096,5.5,0.445,0.024,45.9,111.9
3.3,8.2,11.1,3.753,0.12,6.8,1.157,0.037,35.1,122.8
2.5,6.1,12.5,2.488,0.131,5.3,0.475,0.065,16.6,277.4
2.8,8.2,7.4,2.528,0.128,6.8,0.785,0.078,14.9,71
3.1,7.4,9.1,2.82,0.141,6,0.672,0.082,31.9,244.7
2.9,6,12.9,2.841,0.17,4.3,0.622,0.098,11.2,211.6
3.5,6.1,8.9,4.171,0.098,4.4,0.622,0.019,31.8,43.6
3,5.9,6.4,5.176,0.082,4.9,0.974,0.017,27.5,47
3.9,7.8,12.6,4.934,0.104,5.7,0.777,0.017,70.6,11.8
6.3,10.9,21.5,6.062,0.111,7.6,1.212,0.012,98.2,39.5
4.9,9.2,11.2,5.89,0.092,6.6,1.932,0.017,31,10.1
5.2,9.2,8.7,5.514,0.094,7,2.329,0.016,61.1,22.8
3.5,10.4,7.1,4.829,0.07,7.5,1.515,0.02,20.2,80.3
5.9,14.8,12.9,3.992,0.079,10.4,1.02,0.007,34,48.2
3.1,8.9,11.6,3.294,0.145,7,1.163,0.079,14.4,229.7
4.3,10.2,16.3,2.368,0.134,7.6,0.517,0.065,21,231.1
4.9,10.1,19.9,2.228,0.147,6.4,0.12,0.046,50,83.8
3.8,7.3,13.7,3.108,0.081,5.6,0.677,0.015,35.1,66
3.6,8.3,14.4,4.797,0.093,6.5,1.147,0.019,16.5,7.7
4.1,8.4,11.4,6.218,0.077,6.3,1.854,0.01,27.6,29.9
6.5,11.8,19.2,6.771,0.137,9,2.66,0.021,102.7,49
5.5,10.3,12.4,7.686,0.111,7.7,4.539,0.015,48.3,44.5
5,9.8,27.3,6.632,0.152,7.3,3.478,0.038,24.7,120.4
4.8,8.6,18.6,4.52,0.1,6.3,1.629,0.023,53.3,108.2
5.2,9.6,18,3.909,0.104,7,1.546,0.026,59.7,135.8
4,11.8,10.4,3.897,0.085,8.6,1.318,0.023,26.2,168.6
5.3,10.9,22.9,2.975,0.125,7.7,0.515,0.066,41.9,150.2
3.9,12,29.9,2.8,0.188,8.3,0.991,0.082,30.3,358.6
4.6,9.8,14,2.537,0.101,6.6,0.256,0.046,51.7,106.4
3.8,7.7,21,2.975,0.116,6.8,0.206,0.034,53.9,107.4
5.5,10.8,32.3,4.056,0.176,8.6,0.88,0.028,82.9,37.8
5,11.6,26,5.522,0.176,8.9,1.429,0.028,92,25.2
5.3,11.1,25.2,7.198,0.145,8.9,1.775,0.013,93.6,12.5
7.1,15.4,31.2,6.292,0.197,11.5,2.299,0.014,134.2,28.1
6.8,14.2,24,6.492,0.192,9.2,2.755,0.013,90.4,26.3
4.5,9.7,9,4.441,0.156,7.1,2.08,0.029,46.4,65.2
4.2,10,13.3,3.878,0.149,7.2,2.154,0.044,36,62.7
6.3,13.3,19.9,2.811,0.132,9.1,1.181,0.017,59,122.2
3.8,9.4,21.1,2.46,0.118,8.5,0.421,0.053,25.5,182.7
3.7,9.7,23.7,2.128,0.142,8.7,0.347,0.065,53.7,53.7
3.8,7.2,13.8,2.608,0.137,4.9,0.339,0.07,30.2,132
3.5,6.2,8.9,3.111,0.068,4.6,0.181,0.024,34.1,115.7
4.9,8.3,14.5,4.537,0.062,7.5,0.597,0.023,58.3,17.1
3.6,7.4,5.1,5.832,0.088,6.3,1.843,0.049,20.6,24.7
