BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
1.7,5.7,3.8,5.856,0.068,2.7,2.11,0.043,11.6,41.9
3.9,6.8,8.4,6.947,0.098,3.8,2.936,0.044,39,25.3
6.2,9.8,13.6,6.171,0.119,4.5,2.744,0.039,96.9,37
5.1,8.8,8.5,5.165,0.102,4.7,2.464,0.041,38.5,153.8
6.4,10.9,11.6,3.813,0.082,4.6,1.226,0.017,66.7,67.5
5.9,10.8,13.6,4.153,0.073,6,1.602,0.011,45.1,98.9
3.8,8.9,9.2,3.044,0.114,4.9,0.712,0.067,24.4,179.5
6,10.6,12.4,2.783,0.117,4.2,0.842,0.069,79.4,145.9
4.7,8.3,9.9,2.826,0.086,4.2,0.54,0.038,67.6,66.7
4.4,9,9.8,3.388,0.064,4.1,0.561,0.024,59.9,87.6
3.4,8.5,7.9,4.555,0.123,3.8,1.242,0.092,27.5,112.5
2.5,5.8,5,4.416,0.139,3.1,1.055,0.109,11.1,58
3.6,5.8,7.1,5.413,0.064,3,0.824,0.029,44.9,52.3
3.3,6.8,7.1,4.67,0.124,3.3,1.267,0.082,18.6,46.2
4.1,7.7,15.8,4.157,0.109,3.9,0.852,0.049,45.3,63.3
4.5,7.2,13.3,3.177,0.127,5.2,0.594,0.026,41.5,194.1
5.6,8,13.4,2.951,0.139,5.2,0.414,0.048,88.7,111.9
4.3,8.7,9.7,3.651,0.125,6.4,1.05,0.053,42.9,122.8
4.7,7.5,15.9,2.869,0.156,5.3,0.501,0.065,55.2,277.4
5.7,11.9,15.8,2.829,0.185,7.6,0.63,0.07,84.2,71
4,7.6,9.1,3.005,0.133,5.7,0.586,0.065,62,244.7
2.5,5.8,10.6,2.63,0.165,4,0.525,0.096,7,211.6
4,6.5,7.5,4.601,0.136,4.4,1.033,0.05,57.7,43.6
4.6,7.1,8.2,5.861,0.108,5.5,1.319,0.025,57.1,47
4.1,6.9,8.5,5.527,0.115,5.3,1.166,0.021,68.6,11.8
5.8,8.8,13.9,6.399,0.142,6.9,2.049,0.015,97,39.5
7.1,10,12.7,6.833,0.122,7.4,2.948,0.01,99.1,10.1
7.1,10.2,9.4,5.17,0.149,7.5,1.971,0.034,92.7,22.8
7.1,13.5,11.9,6.118,0.137,8.6,2.333,0.053,57.5,80.3
7.6,15.1,14.1,4.408,0.105,10.9,1.263,0.018,67.3,48.2
3.9,9.1,12.2,2.964,0.165,6.7,0.959,0.098,21.8,229.7
3.3,8.4,12.7,3.362,0.147,6.2,1.427,0.084,40.5,231.1
4.7,7.9,10.6,2.674,0.089,6.1,0.46,0.037,65.3,83.8
4.2,7.2,7.5,4.097,0.078,5.1,1.08,0.025,49.6,66
5,8.7,13.2,5.516,0.086,6.7,1.439,0.016,84.2,7.7
5.9,10.2,17.3,7.135,0.147,7.9,3.026,0.019,71.8,29.9
6.9,11.5,15,7.06,0.134,8.4,3.091,0.018,115.6,49
6.9,12.5,16.9,9.613,0.169,9.4,6.366,0.019,132.4,44.5
5.9,10.7,25.5,5.919,0.193,7.7,2.933,0.05,59.4,120.4
4.8,8.3,19,5.105,0.128,6.3,2.179,0.03,71.6,108.2
4.8,9.9,19.6,3.761,0.147,6.6,1.383,0.037,78.2,135.8
8.1,15.3,16.8,4.245,0.125,10,1.3,0.024,124.8,168.6
7.3,12.4,16,4.454,0.156,8.2,1.672,0.056,94.2,150.2
6.4,13.2,33.8,3.563,0.181,8.9,1.264,0.063,61.4,358.6
4.2,8,10.8,3.203,0.106,5.5,0.576,0.052,56.1,106.4
4,7.4,9.9,3.558,0.145,6.3,0.755,0.056,50.9,107.4
5.6,8.3,14.6,4.909,0.166,7.2,1.756,0.04,56.3,37.8
4.4,8.7,21.3,5.626,0.135,7.2,1.513,0.04,65.6,25.2
4.2,9.2,14.2,7.469,0.126,7.4,2.345,0.021,61.7,12.5
6.4,13.6,21.8,6.43,0.174,10.1,2.569,0.033,106.7,28.1
5.6,12.3,25.8,5.814,0.183,8.7,2.738,0.029,76.2,26.3
4.4,9.4,14.1,5.298,0.194,7.1,2.896,0.03,46.9,65.2
5.8,13.2,12.9,3.962,0.184,8.9,1.938,0.041,56.3,62.7
5.9,12.5,14.6,3.317,0.15,8.1,1.516,0.025,70.8,122.2
3.5,8.3,12.8,2.78,0.124,6.4,0.751,0.067,24.7,182.7
3.8,13.1,31,3.215,0.16,9.5,1.074,0.056,63.6,53.7
4.2,6.9,9.2,3.222,0.128,5.3,0.811,0.053,42.4,132
4,6.9,10.6,3.441,0.075,4.9,0.551,0.03,49.4,115.7
4.8,7.6,7.8,5.353,0.08,6.5,1.583,0.029,41.4,17.1
6.2,10.2,16,6.336,0.095,7.7,2.046,0.012,70.7,24.7
