BOD,COD,TOC,Chl-a
3.9,5.6,4.2,55
4.5,6.9,4.5,80.5
5.5,8.4,5.8,76.4
5.3,7.6,5.6,54.6
4.2,6.5,5.1,22.2
4.5,7.9,6.7,35.9
4,7.3,5.5,31.1
5,7.8,6,36
3.6,6.7,4.9,24.9
4.4,6.2,5.1,18
4.1,6.2,5.2,26
3.4,5.3,2.8,15.6
4.9,7.6,7,118.9
4.1,7,6,58.6
5.1,7.5,5.9,45.7
3.9,6.4,5.4,23.7
4,6.7,5.5,39.7
4.6,8.1,7.3,41.4
2.9,7.2,5.8,26.4
3.7,8.9,7.2,29.1
3.5,7.4,5.7,24.7
3.4,8.1,5.5,15.8
3,5.5,4.4,20.1
3.5,6,5.1,37.2
2.9,6.8,5,45.8
6.5,11,7.4,128.5
3.9,7.9,6.2,18.4
5.6,9.4,7.3,54.7
3.3,8.9,7,16.1
3.9,12.5,8.9,32.3
4,9.5,7.3,15.7
3.8,7.9,6.2,20.8
2.9,6.9,5.2,28.4
3.5,6.4,5.1,23.8
3.3,7.2,5.7,33.1
2.6,6.7,5.5,17.5
5.7,11.1,8.4,105.6
5.2,10,7.7,57.6
3,7.9,6.2,17.5
3.9,7.9,5.9,32.8
3.6,8.2,6.3,31.4
4.3,11.9,9,32.5
4.7,10.5,7.1,37.8
5.2,14.5,9.7,40.4
3.6,7.4,5.2,27.6
3,7.3,6.3,22.1
3.6,7.5,6.9,30.5
4.2,10.1,8.1,67.6
4.7,10.1,8.6,100.7
6.1,13.1,9.7,104.4
3.9,8.3,6.9,35.8
4.4,9.2,8.1,59.4
4,8.6,6.5,32.2
4.7,11.2,8.1,40.9
3.8,9.6,8.8,27.7
3.8,8.6,8,36.1
2.8,6.9,5.1,14.1
2.4,5.3,3.8,12
3.5,7,6.3,34.8
3.6,7.1,6,23.8
