pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,NH3_N,PO4_P,Chl_a,log TC,log FC
7.2,13.9,4.3,279,1.6,3.8,4.6,2.619,0.044,3,0.151,0.019,4.9,3.1004,2.143
7.1,12.7,4.8,315,2,3.6,4.6,2.589,0.051,3,0.145,0.02,6.5,3.4158,2.8949
7.6,12.2,8.3,376,4.4,7.8,12.2,2.085,0.075,5.8,0.077,0.009,47,2.9025,2.1987
7.6,10,15.4,285,4.3,7.5,20.2,1.819,0.119,4.9,0.158,0.02,54.3,3.8997,2.6128
7.2,7.8,19.7,255,3.4,7,12.1,1.724,0.119,5.5,0.306,0.046,22.6,3.0682,2.2122
7,7.8,23.3,268,3.6,9.1,13,2.624,0.134,6.8,0.323,0.067,10,3.3842,2.7259
7.2,7.7,26,237,2,6.4,8,2.241,0.125,5,0.074,0.04,17.6,3.5746,2.7243
7,7.7,26.2,231,2,5.4,7.6,1.403,0.11,4.3,0.063,0.045,7.9,3.6532,2.786
7.2,8.4,21.8,290,1.3,5.1,4.2,1.276,0.086,4.3,0.062,0.034,4.9,3.382,2.5977
7.1,9,18.2,298,1.7,5.7,5.7,1.596,0.09,5.8,0.126,0.046,5.4,3.9506,3.1608
7,9.7,13.5,294,2.3,6.2,5.2,2.306,0.113,5.1,0.304,0.064,10.1,4.0086,3.1316
7,12.3,7.3,301,1.5,4.2,2.3,2.745,0.066,2,0.183,0.029,3.1,3.8376,2.4014
7.5,12.3,4.7,317,1.5,3.5,4.1,3.025,0.059,3.8,0.236,0.018,5.1,3.3979,2.0792
7.1,13.5,4.7,271,2.1,4.5,8.6,2.744,0.073,4.3,0.248,0.031,6.7,3.9071,2.6702
7.2,12,9,287,2.7,5.6,15.1,2.506,0.096,4.8,0.181,0.024,14.9,3.8414,2.5159
7.3,10.1,16,255,3,6.6,16.9,1.907,0.108,5.1,0.14,0.022,31.6,3.541,2.8722
7.1,11.2,19.8,264,1.9,5.6,11.3,1.773,0.092,4.6,0.121,0.039,13.1,3.6508,2.574
6.9,6.9,23.5,243,2.6,8,12.6,2.377,0.119,7,0.249,0.063,7.7,3.6721,2.4713
7.1,7.9,26.1,204,2.4,5.7,11.8,1.852,0.119,5.4,0.089,0.058,20.7,4.0531,3.1116
7,7.3,27.8,286,2.4,7.1,8.2,1.152,0.109,5.7,0.071,0.035,19.4,3.3122,2.3838
7.3,8.2,22.9,204,1.8,6.4,8.7,1.725,0.098,4.8,0.162,0.048,7.9,4.0364,3.2923
7.3,8.7,18.7,190,1.2,5.2,8.6,2.114,0.097,3.9,0.076,0.057,3.8,4.301,3.1614
7.6,10.6,11.8,323,1.4,4.4,3.9,2.209,0.094,3.9,0.06,0.048,9.6,4.0406,2.1461
