pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
7.5,15.4,7.3,412,2.2,6.4,3.2,8.761,0.067,3.4,53500,4.415,0.034,4.7,11250,47.2
7.5,9.7,8.5,468,3.7,8.4,5.6,10.932,0.147,4.4,100500,6.85,0.081,7.3,6250,23.9
7.5,10.7,12,483,5.5,10.1,12.2,10.242,0.114,5.2,84800,6.249,0.014,63.3,3680,36.5
7.3,8.1,17.5,418,6.7,11.6,13.9,8.951,0.182,5.4,212500,5.049,0.082,46.2,20800,145.5
8,10.8,23.8,376,8.1,12.7,12.5,7.332,0.084,5.7,17750,3.186,0.012,59.5,1575,48.6
7.8,10.5,25.4,333,7.6,13,15.7,6.937,0.151,6.5,124000,3.493,0.057,50.2,14675,96.1
7.6,6.6,25.8,284,6.6,9.6,11.2,5.811,0.238,5.5,274500,2.853,0.154,26.9,67250,164.3
7.5,7.8,28,285,5.8,10.1,11.6,4.643,0.152,4.5,44000,1.874,0.055,66.7,14250,148.9
7.8,9.9,25.5,326,5.4,9.9,10.3,4.66,0.116,4.5,38500,1.573,0.053,98,10000,66.6
7.4,10.6,21.1,385,5.3,9.8,9.5,6.932,0.077,4.7,17250,1.882,0.03,59.8,4900,90.9
7.4,9,16.1,377,3.9,8.6,7.6,5.911,0.176,4.1,31900,2.275,0.118,25,10150,121.9
7.2,10.7,10.9,414,2,6.3,4.7,6.597,0.146,3.4,77500,1.961,0.102,2.9,19000,59.2
7.3,12.6,7.4,467,2.3,6.3,3.9,9.137,0.098,3.5,6250,3.414,0.056,6.7,2100,49.9
7.5,12.8,7.3,394,3.1,7.4,6.7,6.839,0.132,3.6,36250,2.485,0.07,8.2,11650,45.2
7.2,10.6,12.3,382,4.7,9.2,16.9,7.869,0.196,4.5,45920,3.352,0.097,33.1,8120,55.2
8,11,19.1,297,7.4,11.3,17,6.931,0.175,5,21250,1.887,0.051,80,4200,185
7.5,9.8,21.9,329,5.3,8.1,8.9,5.656,0.149,4.5,28750,2.084,0.074,41.8,3570,104.5
7.6,9.3,25.8,317,9.5,11.3,14.9,6.225,0.201,5.6,20640,2.346,0.048,120.1,2600,116.1
7.8,10.6,27.8,272,4.8,8.4,11.1,5.307,0.143,4.2,52000,1.774,0.085,35.5,10150,301.4
8.3,9.4,29.9,322,8.6,11.8,15.5,4.636,0.15,5.4,8300,1.473,0.071,88.6,7012,81
7.6,8.2,25.2,247,4.5,8,9.6,4.028,0.196,4.3,82750,1.563,0.127,16.4,21000,251.3
7,8.1,20,269,4,7.1,8.5,5.482,0.357,4,208200,2.383,0.249,3,93500,216.7
7.5,10.1,14.5,342,4.6,6.9,8.6,8.822,0.204,4.5,153200,3.849,0.106,35.5,57600,31.5
7.5,12,11,493,4.5,7.4,8.2,9.259,0.217,4.6,86500,3.439,0.091,25.5,32750,44.9
7.5,12.8,7.8,465,3.2,7.2,5.7,9.09,0.146,4,10600,3.477,0.07,13.4,4825,11.7
7.4,11.3,8.8,456,4.6,7.9,10.3,11.508,0.247,5.5,162800,6.22,0.122,30.5,62000,41.9
7.6,10.9,12.3,453,6.8,12,18.9,11.999,0.269,7.3,232500,7.117,0.125,70.6,32050,7.8
7.9,12.3,18.7,404,7.8,12.2,18.2,9.085,0.207,6.8,235500,4.256,0.092,117.1,53500,8.9
8.3,14.2,24.3,477,7.6,14.3,18.8,10.442,0.203,8.3,7600,4.971,0.062,116.5,923,28.1
8.2,13,25.5,348,8.2,15.1,21,8.115,0.184,7.2,118975,3.81,0.066,105.3,16055,42.1
7.5,6.1,27.9,283,6.4,11,13.5,5.742,0.516,6.1,101000,2.923,0.364,19,47900,211.7
7.6,7.4,28.1,211,5.3,8,25.8,4.591,0.216,4.8,392500,2.064,0.134,45.9,294500,273.8
7.6,9.5,24.7,330,3.6,8.4,19.8,5.081,0.101,4.6,41375,1.734,0.038,70.3,35325,108.8
7.6,10.5,20.7,410,4.7,8.1,10.1,7.089,0.113,4.7,9700,2.235,0.021,70.4,4150,85.4
7.3,10.8,13.9,518,5.3,9.2,10.9,9.258,0.1,5.4,23350,3.908,0.01,68.4,7425,2.1
7.4,11.5,8.4,539,8.4,10.7,19.2,10.065,0.196,6.1,335750,5.974,0.032,57.5,207550,28.5
7.3,12.3,8.5,489,4.5,10.5,14.7,10.623,0.113,5.7,101000,5.629,0.016,66.1,22200,38.8
7.6,12.4,8.5,465,4.1,11.2,11.3,13.092,0.161,6,123500,9.924,0.057,41,54800,22
7,9.5,13.3,329,7,11.5,26.9,8.196,0.257,6.1,265250,5.222,0.107,41.1,52210,115.8
7.3,10.3,16.4,336,7.1,10.7,41.7,7.347,0.162,4.8,184000,4.216,0.051,47.5,54200,127.4
7.4,11.6,21.4,334,6.2,9.2,33.8,5.893,0.132,4.8,107000,3.525,0.043,61.8,39025,85.4
7.3,11.5,25.7,342,4.5,10,26.2,7.381,0.153,5.7,17700,4.754,0.053,52.7,4300,222.4
7.1,9,26.5,320,5.6,9.3,24.9,7.084,0.172,5.2,53250,4.855,0.091,41.7,26506,84.5
7.6,9.9,29.1,351,5.6,10.2,23.1,7.556,0.181,5.2,102000,5.148,0.094,59.4,54650,397.1
7.2,8.6,24.8,253,2.1,5.9,13.1,3.956,0.148,3.4,24667,1.887,0.08,41.4,16133,129.7
7.3,11.3,18.6,397,4.7,7.3,10.3,7.284,0.176,4.3,28586,3.738,0.097,36.2,12540,125.2
7.5,10.4,14.1,433,7.1,8,11.4,8.897,0.233,5.6,62600,5.302,0.093,59.2,24463,47.2
7.3,8.2,9.5,485,5.5,7.5,9.9,10.973,0.122,4.8,141350,5.465,0.03,45,21413,32.4
7.3,12.7,8.5,496,5.5,7.2,9,9.617,0.102,5.3,5875,5.488,0.016,59.1,825,16.4
7,11.8,8.8,473,6.3,10.1,15.1,11.121,0.127,5.2,13800,7.307,0.009,81.4,1507,37
7.4,10,12.8,398,7.6,12,16.6,12.329,0.345,6.6,200550,7.752,0.164,60,35595,33.9
7.3,9.1,15.4,434,7,11.5,15.1,11.365,0.301,6.1,185920,7.563,0.132,16.7,66676,84.7
7.4,8.9,19.7,387,6.3,10.3,11.9,8.55,0.208,5.8,53350,5.852,0.115,12.6,19285,78.8
7.5,8.4,23.6,377,7,11.7,11.7,9.042,0.243,6.4,62650,5.68,0.112,22.6,29350,158
7.1,7,25.1,264,5.8,9.7,16.6,6.302,0.175,5.1,154600,3.53,0.111,17.6,40450,242.2
7.2,7.4,27.4,321,5.3,8.7,13.7,6.871,0.137,5.5,82190,3.824,0.066,32.6,58160,64.8
7.2,7.8,23.9,294,4.3,7.6,8.4,6.367,0.179,4.3,202500,3.518,0.106,14,98150,165.8
7.3,10.7,19.2,318,2.8,6.7,7.2,6.96,0.072,3.9,18350,2.819,0.027,20.4,4000,149.9
7.3,10.3,15,423,6.4,10.2,16.3,9.148,0.146,5,31300,4.589,0.083,31,12375,22.8
7.3,12.7,10.3,452,7.6,11,18.6,9.071,0.321,5,200900,4.343,0.197,86.5,101915,31.6
