BOD,COD,SS,T-N,T-P,TOC,NH3-N,Chl-a
1.6,3.8,4.6,2.619,0.044,3,0.151,4.9
2,3.6,4.6,2.589,0.051,3,0.145,6.5
4.4,7.8,12.2,2.085,0.075,5.8,0.077,47
4.3,7.5,20.2,1.819,0.119,4.9,0.158,54.3
3.4,7,12.1,1.724,0.119,5.5,0.306,22.6
3.6,9.1,13,2.624,0.134,6.8,0.323,10
2,6.4,8,2.241,0.125,5,0.074,17.6
2,5.4,7.6,1.403,0.11,4.3,0.063,7.9
1.3,5.1,4.2,1.276,0.086,4.3,0.062,4.9
1.7,5.7,5.7,1.596,0.09,5.8,0.126,5.4
2.3,6.2,5.2,2.306,0.113,5.1,0.304,10.1
1.5,4.2,2.3,2.745,0.066,2,0.183,3.1
1.5,3.5,4.1,3.025,0.059,3.8,0.236,5.1
2.1,4.5,8.6,2.744,0.073,4.3,0.248,6.7
2.7,5.6,15.1,2.506,0.096,4.8,0.181,14.9
3,6.6,16.9,1.907,0.108,5.1,0.14,31.6
1.9,5.6,11.3,1.773,0.092,4.6,0.121,13.1
2.6,8,12.6,2.377,0.119,7,0.249,7.7
2.4,5.7,11.8,1.852,0.119,5.4,0.089,20.7
2.4,7.1,8.2,1.152,0.109,5.7,0.071,19.4
1.8,6.4,8.7,1.725,0.098,4.8,0.162,7.9
1.2,5.2,8.6,2.114,0.097,3.9,0.076,3.8
1.4,4.4,3.9,2.209,0.094,3.9,0.06,9.6
1.3,3.9,3.3,2.573,0.056,3.5,0.077,8.6
1.5,4.3,4.2,2.898,0.079,3.3,0.224,7.3
1.8,4.5,5.6,2.929,0.086,3.5,0.222,8.5
4,6.6,13.4,2.255,0.091,5.8,0.062,42.5
5.9,11,18.1,1.422,0.109,7.8,0.024,110.6
5.8,13.4,21.2,1.626,0.138,9.1,0.124,71.4
3.9,12.7,12.9,2.142,0.121,9.5,0.286,32
2.3,8.4,10.3,1.971,0.118,6.2,0.162,14.1
2.5,7.1,21.5,1.404,0.112,5.3,0.091,20.4
1.7,5.8,6.7,1.412,0.08,4.5,0.038,10.7
1.6,5.5,3.7,1.813,0.071,4.2,0.092,17.9
4.1,7.3,9.9,1.917,0.07,6,0.192,77.5
3.3,5.9,7.5,2.72,0.067,5,0.269,49.1
2.9,5.6,6.7,2.627,0.072,4.5,0.246,34.1
3.2,5.8,7.7,2.659,0.095,4.5,0.075,46.8
3.5,7.4,15.6,2.59,0.108,5.5,0.202,34.2
2.5,6.6,9.2,2.231,0.094,5,0.064,35.7
2.7,7.2,11.6,2.233,0.131,5.9,0.252,15.9
2.9,10.8,8.7,1.858,0.115,8.5,0.12,13.9
3.6,9.6,13.8,1.626,0.125,6.8,0.039,29.7
2.5,8.4,9.4,1.399,0.112,6.4,0.028,17.8
2.1,5.3,7.4,1.922,0.082,4.5,0.031,18.5
2,5.8,5.6,1.969,0.078,5.3,0.032,13.8
1.8,5.8,5.5,2.035,0.088,5.8,0.013,18.1
1.8,4.3,4.5,2.509,0.071,4.9,0.078,18.5
1.7,4.3,4.6,2.71,0.073,4.3,0.092,16.6
2.8,6.6,8.5,2.502,0.1,5.6,0.13,41.1
4.4,9,17,1.753,0.17,7.3,0.036,77
4.3,9.5,13.5,1.404,0.161,7,0.165,52.8
3.7,8.9,16.3,1.501,0.156,6.9,0.272,40.6
3.5,9.8,10.5,1.82,0.144,7.9,0.177,17
2.6,7.5,10.5,1.856,0.102,6.5,0.103,9.2
2.6,7.9,6.7,1.13,0.089,7,0.039,20.6
1.6,5.7,4.2,1.729,0.077,4.4,0.037,6.5
1.3,4.6,4.1,1.968,0.048,3.3,0.031,10.1
3.4,7,11.4,1.974,0.077,6.5,0.05,50.2
2.9,5.1,6,2.557,0.055,4.9,0.077,28
2.5,5,6.4,6.382,0.115,4.5,3.178,7.1
4.3,6.5,6.7,7.327,0.11,5.3,4.068,27.9
6.9,10,13.4,7.658,0.147,7,4.521,99.8
5.6,8.9,12.5,5.658,0.162,6.5,2.966,56
6.3,8.4,11.5,5.195,0.14,6.2,2.582,56.3
5.3,8.3,13.2,4.456,0.126,6.3,1.874,44.6
4.2,8.3,9.6,3.352,0.137,5.9,0.953,57
4.3,7.6,10.6,4.168,0.19,5.8,1.283,60
4.4,7.1,8.7,4.487,0.153,5.2,1.428,38.1
4.3,7.1,9.4,4.514,0.118,5.9,1.064,38.8
4.2,6.6,5.9,5.011,0.202,5.3,1.801,23
2.3,5.2,3.3,4.916,0.169,2.6,1.234,7.5
2.6,5.4,5.1,6.783,0.124,5.3,1.672,28.5
3.5,5.8,8.6,5.428,0.154,5.5,1.762,20.3
4.8,7.4,19.5,4.855,0.176,6.1,1.311,46.4
5.4,7.9,12.8,3.833,0.137,5.9,0.889,64.3
4.5,7.6,10.1,4.087,0.14,6,1.309,65.8
4,7.8,7,4.023,0.146,7,1.365,42.4
3.9,6.9,10.7,3.277,0.166,6.2,1.072,36.7
4.5,8.6,9.7,3.845,0.204,7.3,1.669,61
4.1,7,9.1,3.613,0.152,5.7,1.076,49.5
3,5.9,11.8,3.153,0.192,4.6,0.807,8.4
3.8,6.6,8.7,5.604,0.163,5.4,1.577,48.2
4.1,7.3,10,6.097,0.122,6.1,1.738,46.5
4,7.2,9,6.447,0.114,5.7,1.892,42.9
