BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
1.9,4.5,4.5,2.814,0.052,2.4,0.275,0.023,7.3,47.2
3.1,5.6,5.7,2.557,0.081,2.7,0.299,0.047,13.2,23.9
5.1,8.8,14.3,2.151,0.122,3.8,0.296,0.019,62.1,36.5
5.1,10.2,15.6,2.059,0.162,4.6,0.392,0.073,51.9,145.5
4.8,10.1,26.4,1.753,0.105,4.5,0.198,0.039,38.8,48.6
3.5,9.8,14.7,2.493,0.09,5.6,0.427,0.033,25.7,96.1
3.3,8.1,18.6,2.106,0.114,5,0.191,0.063,17.2,164.3
3.2,7.6,15.8,1.428,0.107,3.8,0.269,0.064,24.6,148.9
1.7,6,7.5,0.879,0.056,3.4,0.045,0.033,16.7,66.6
3.6,7.5,9.7,1.069,0.051,3.6,0.047,0.012,34.4,90.9
2.6,7.8,8.3,1.864,0.093,3.7,0.17,0.048,19.8,121.9
1.8,5.3,6.7,2.634,0.071,2.9,0.185,0.038,4.8,59.2
1.9,4.5,4.4,2.642,0.056,2.3,0.198,0.026,7.5,49.9
2.6,6.1,7.8,2.932,0.073,2.8,0.246,0.032,10.5,45.2
3.6,7.6,21.2,2.471,0.098,3.5,0.223,0.029,27.6,55.2
4.6,10.2,16.5,2.104,0.106,4.2,0.102,0.02,54.7,185
3,7.5,10.7,1.65,0.068,4.1,0.061,0.02,25.7,104.5
2.8,9.2,11.8,2.234,0.077,5.2,0.188,0.032,25.1,116.1
2.2,7.3,9.3,2.145,0.09,3.6,0.127,0.056,17.5,301.4
2.9,7.6,9.4,1.111,0.098,4.1,0.074,0.049,35.1,81
2.1,7.1,6.9,1.548,0.082,3.8,0.078,0.045,14.6,251.3
2.4,6.3,9.4,2.05,0.123,3.7,0.128,0.084,5.7,216.7
3.6,5.1,7,2.234,0.074,4,0.057,0.02,45.3,31.5
3.5,4.9,9.5,2.767,0.095,3.1,0.312,0.026,26.8,44.9
2.8,4.9,7.8,2.876,0.078,2.8,0.255,0.039,9.2,11.7
3.6,5.9,13.3,2.727,0.077,3.7,0.168,0.018,22.8,41.9
5.7,9.4,20.9,1.926,0.106,5.5,0.087,0.036,120.6,7.8
8.1,12.4,28.3,1.799,0.152,6.7,0.172,0.046,117.7,8.9
4.8,11.3,20.1,1.591,0.123,6.9,0.283,0.038,32.8,28.1
5,12.3,19.1,2.192,0.102,6.9,0.266,0.029,53.7,42.1
3.1,9.1,13.7,2.301,0.156,5.1,0.378,0.095,14.2,211.7
2.9,8.4,30.7,1.697,0.138,4.4,0.237,0.081,24.1,273.8
1.9,6.7,15.3,1.082,0.079,3.8,0.043,0.04,37.4,108.8
3,6.2,7.8,1.412,0.067,3.3,0.049,0.022,46.3,85.4
4.6,7.5,9.3,2.115,0.103,4.1,0.402,0.018,58.2,2.1
4.1,7.4,8.4,2.832,0.11,4.4,0.227,0.018,43.1,28.5
4.6,7.3,10.7,2.902,0.092,3.8,0.174,0.012,53.8,38.8
3.6,7.4,9.3,2.453,0.073,3.6,0.129,0.013,40.2,22
3.6,8.5,19.8,2.838,0.122,4.8,0.329,0.03,49.9,115.8
3.5,8.1,21.7,2.285,0.115,4.2,0.126,0.032,55.6,127.4
3.5,8.8,31.6,2.297,0.124,5.1,0.191,0.059,51,85.4
3.2,10.2,22.2,1.731,0.105,5.8,0.118,0.027,66,222.4
2.7,9.1,31,1.676,0.139,4.5,0.067,0.073,55.9,84.5
2.6,7.9,17,1.054,0.14,4.4,0.047,0.078,47.4,397.1
0.8,4.8,7.3,1.855,0.101,2.9,0.061,0.05,35.9,129.7
2.8,6,9.6,1.893,0.1,3.6,0.082,0.032,42.7,125.2
3.3,6.1,9.4,1.993,0.104,3.8,0.078,0.02,47.5,47.2
2.9,5.3,6.8,2.922,0.102,3,0.191,0.038,29.1,32.4
3,5.6,5.5,2.539,0.086,3.2,0.1,0.021,28,16.4
4.1,8.8,12.3,2.396,0.116,3.6,0.087,0.012,57.7,37
6.1,10,20.7,2.158,0.145,5.4,0.247,0.024,95.3,33.9
6.1,10.6,17,2.63,0.153,5.5,0.606,0.022,52.9,84.7
4.7,10.5,23.7,1.827,0.144,5.5,0.285,0.031,32,78.8
3.3,10.3,13.3,2.04,0.095,6,0.169,0.04,31.3,158
2.6,9.2,16.5,2.075,0.12,5.2,0.187,0.062,23.7,242.2
2.9,8.8,31.2,1.685,0.144,5.5,0.115,0.082,26.3,64.8
1.2,6.7,5.9,1.805,0.117,3.6,0.077,0.071,12,165.8
1.6,5.6,7.2,2.095,0.078,3.3,0.065,0.037,18.9,149.9
2.9,8.5,18.3,2.508,0.118,4.3,0.414,0.046,17.3,22.8
5.9,9.5,22.5,2.439,0.133,4.3,0.113,0.022,100.1,31.6
