T-N,NH3-N
2.619,0.151
2.589,0.145
2.085,0.077
1.819,0.158
1.724,0.306
2.624,0.323
2.241,0.074
1.403,0.063
1.276,0.062
1.596,0.126
2.306,0.304
2.745,0.183
3.025,0.236
2.744,0.248
2.506,0.181
1.907,0.14
1.773,0.121
2.377,0.249
1.852,0.089
1.152,0.071
1.725,0.162
2.114,0.076
2.209,0.06
2.573,0.077
2.898,0.224
2.929,0.222
2.255,0.062
1.422,0.024
1.626,0.124
2.142,0.286
1.971,0.162
1.404,0.091
1.412,0.038
1.813,0.092
1.917,0.192
2.72,0.269
2.627,0.246
2.659,0.075
2.59,0.202
2.231,0.064
2.233,0.252
1.858,0.12
1.626,0.039
1.399,0.028
1.922,0.031
1.969,0.032
2.035,0.013
2.509,0.078
2.71,0.092
2.502,0.13
1.753,0.036
1.404,0.165
1.501,0.272
1.82,0.177
1.856,0.103
1.13,0.039
1.729,0.037
1.968,0.031
1.974,0.05
2.557,0.077
2.814,0.275
2.557,0.299
2.151,0.296
2.059,0.392
1.753,0.198
2.493,0.427
2.106,0.191
1.428,0.269
0.879,0.045
1.069,0.047
1.864,0.17
2.634,0.185
2.642,0.198
2.932,0.246
2.471,0.223
2.104,0.102
1.65,0.061
2.234,0.188
2.145,0.127
1.111,0.074
1.548,0.078
2.05,0.128
2.234,0.057
2.767,0.312
2.876,0.255
2.727,0.168
1.926,0.087
1.799,0.172
1.591,0.283
2.192,0.266
2.301,0.378
1.697,0.237
1.082,0.043
1.412,0.049
2.115,0.402
2.832,0.227
2.902,0.174
2.453,0.129
2.838,0.329
2.285,0.126
2.297,0.191
1.731,0.118
1.676,0.067
1.054,0.047
1.855,0.061
1.893,0.082
1.993,0.078
2.922,0.191
2.539,0.1
2.396,0.087
2.158,0.247
2.63,0.606
1.827,0.285
2.04,0.169
2.075,0.187
1.685,0.115
1.805,0.077
2.095,0.065
2.508,0.414
2.439,0.113
8.417,4.182
9.795,5.869
10.757,6.915
8.068,4.006
6.933,3.373
5.847,2.969
3.482,1.219
4.637,2.118
4.47,1.372
6.371,1.86
5.647,1.743
6.283,1.505
7.986,2.403
7.365,3.088
8.296,3.339
6.496,2.19
4.834,1.77
6.267,2.91
4.403,1.588
5.729,2.185
4.198,1.672
4.29,1.158
7.694,2.517
8.209,2.823
9.673,4.036
11.091,6.001
9.863,6.093
7.39,3.024
10.628,5.755
7.221,3.318
4.371,1.908
5.23,2.715
5.886,2.389
6.957,3.205
8.074,3.185
7.947,4.105
10.486,5.766
11.501,8.594
8.14,5.037
7.026,3.789
5.548,3.31
5.33,3.187
6.915,4.75
7.542,5.504
5.072,2.862
7.143,3.638
9.608,6.539
11.538,5.954
9.384,6.281
11.656,8.402
10.815,7.551
9.274,6.071
7.874,5.367
6.385,3.942
5.356,2.642
6.017,3.341
5.499,2.948
5.346,2.249
9.085,5.656
7.204,3.474
8.761,4.415
10.932,6.85
10.242,6.249
8.951,5.049
7.332,3.186
6.937,3.493
5.811,2.853
4.643,1.874
4.66,1.573
6.932,1.882
5.911,2.275
6.597,1.961
9.137,3.414
6.839,2.485
7.869,3.352
6.931,1.887
5.656,2.084
6.225,2.346
5.307,1.774
4.636,1.473
4.028,1.563
5.482,2.383
8.822,3.849
9.259,3.439
9.09,3.477
11.508,6.22
11.999,7.117
9.085,4.256
10.442,4.971
8.115,3.81
5.742,2.923
4.591,2.064
5.081,1.734
7.089,2.235
9.258,3.908
10.065,5.974
10.623,5.629
13.092,9.924
8.196,5.222
7.347,4.216
