pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Rain
7,14.2,4.6,393,3.3,5.5,10.1,5.335,0.092,4.1,101,1.648,0.031,37.2,20,41.1
7.5,16.1,5.3,387,5,7.2,13.5,6.035,0.101,5.2,414,2.221,0.006,84,23,25.7
8.2,14.4,9.3,385,5.2,8.2,16.2,6.218,0.091,6,109,2.593,0.006,83.8,4,34.4
7.6,9.7,15.4,326,4.7,7.4,9.9,5.008,0.109,5.6,1942,2.079,0.033,47.2,32,159.6
7.3,6.8,20.1,233,2.9,7.1,10.2,3.289,0.099,5.1,187,1.062,0.04,28.7,20,77.8
7.4,6.9,24.1,306,3.8,8.8,11.3,3.855,0.095,6.7,160,1.412,0.02,45,17,117.8
7.8,8,25.7,210,3.1,7.7,11,2.966,0.122,5.7,1852,0.57,0.043,32.5,279,159.6
8.1,7.7,28,261,3.6,7.7,8.9,3.023,0.133,6.1,58,0.647,0.052,37.5,13,86.5
7.6,8.8,24.3,258,2.9,6.9,9.9,2.776,0.103,5.2,45,0.459,0.035,42.2,13,79.5
7.4,8.6,19.9,217,3.2,6.2,10.4,2.916,0.104,4.9,87,0.52,0.038,28.1,40,84.2
7,7.5,15.6,342,3.4,6.1,6.1,4.355,0.099,5.1,505,0.956,0.042,30.9,92,106.8
6.8,9.9,9,298,2.7,5.5,6.7,4.391,0.14,2.9,1504,0.84,0.052,22.9,210,69.3
8.1,15.7,5.3,362,4.2,7,12.1,4.95,0.093,6.3,158,0.418,0.004,107.8,6,79.2
7.4,13.9,5.7,339,3.8,6.2,12.7,4.708,0.13,5.6,526,0.946,0.042,51.2,101,40.5
7.2,11.6,10.5,275,4.1,6.6,15.5,4.281,0.114,5.5,850,0.887,0.013,44.5,121,54.9
7.3,9.6,16.2,297,3.8,6.7,7.7,4.03,0.099,5.2,380,0.885,0.019,31.1,92,192
7.7,10.1,21.1,225,3.7,7.2,10.8,2.901,0.096,5.5,552,0.445,0.024,45.9,33,119.9
7.4,7.9,24.3,283,3.3,8.2,11.1,3.753,0.12,6.8,304,1.157,0.037,35.1,30,133.6
7,6.3,25.6,182,2.5,6.1,12.5,2.488,0.131,5.3,3209,0.475,0.065,16.6,147,249.2
7.3,4.7,29.4,283,2.8,8.2,7.4,2.528,0.128,6.8,164,0.785,0.078,14.9,19,20.4
7.2,7.4,24.1,224,3.1,7.4,9.1,2.82,0.141,6,1360,0.672,0.082,31.9,463,197.8
6.6,7.5,19.5,194,2.9,6,12.9,2.841,0.17,4.3,12525,0.622,0.098,11.2,2600,203.1
7,10.7,13.5,306,3.5,6.1,8.9,4.171,0.098,4.4,400,0.622,0.019,31.8,54,61.5
6.9,11.2,7.4,379,3,5.9,6.4,5.176,0.082,4.9,535,0.974,0.017,27.5,39,45.9
7.3,13.5,5.1,360,3.9,7.8,12.6,4.934,0.104,5.7,126,0.777,0.017,70.6,20,13.9
7.7,15.4,5.3,424,6.3,10.9,21.5,6.062,0.111,7.6,350,1.212,0.012,98.2,3,32.3
7.7,13.5,9.2,382,4.9,9.2,11.2,5.89,0.092,6.6,230,1.932,0.017,31,5,3.1
7.1,10.9,15.5,358,5.2,9.2,8.7,5.514,0.094,7,48,2.329,0.016,61.1,2,6.2
7.4,9.4,20.7,379,3.5,10.4,7.1,4.829,0.07,7.5,93,1.515,0.02,20.2,1,13.3
7.4,8.3,24.2,374,5.9,14.8,12.9,3.992,0.079,10.4,6,1.02,0.007,34,1,28.5
6.7,5.5,27.1,251,3.1,8.9,11.6,3.294,0.145,7,386,1.163,0.079,14.4,143,138.2
7,7.3,27.8,203,4.3,10.2,16.3,2.368,0.134,7.6,23002,0.517,0.065,21,1197,200.8
7.4,10.3,23.9,189,4.9,10.1,19.9,2.228,0.147,6.4,8403,0.12,0.046,50,219,109.4
7.2,8.7,18.9,283,3.8,7.3,13.7,3.108,0.081,5.6,315,0.677,0.015,35.1,35,62.7
7.5,10,11.8,405,3.6,8.3,14.4,4.797,0.093,6.5,155,1.147,0.019,16.5,17,1.4
7.6,13.1,5.4,531,4.1,8.4,11.4,6.218,0.077,6.3,108,1.854,0.01,27.6,26,45.3
8.1,15.1,4.3,490,6.5,11.8,19.2,6.771,0.137,9,292,2.66,0.021,102.7,9,58
