number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
1,영산포-1,Jan-15,7.4,14.3,4.5,383,4,5.7,15.9,5.134,0.099,4.3,53,1.457,0.017,51.4,40,32.249,41.1
2,영산포-1,Feb-15,7.3,13.9,4.4,356,4.6,6.6,14.3,5.714,0.096,4.8,237,1.809,0.007,73.4,2,22.295,25.7
3,영산포-1,Mar-15,7.7,13.2,9.1,377,5.6,8.3,20.5,6.029,0.103,5.8,42,2.214,0.006,87.5,8,18.668,34.4
4,영산포-1,Apr-15,7.5,8.9,15.1,319,5.5,7.5,16.6,4.748,0.11,5.6,700,1.872,0.03,42.1,55,38.066,159.6
5,영산포-1,May-15,7.2,8.1,20.4,233,3.6,6.5,21.2,3.242,0.109,5,187,0.854,0.03,24.9,24,42.229,77.8
6,영산포-1,Jun-15,7,6.7,24.1,278,5.5,8.2,25.6,3.725,0.103,6.7,48,1.261,0.016,44.6,16,45.66,117.8
7,영산포-1,Jul-15,7.4,6.9,25.8,201,3.9,7.5,21.9,2.928,0.139,5.4,640,0.497,0.044,31.4,12,51.774,159.6
8,영산포-1,Aug-15,7.3,5.3,27.7,285,4.2,8.2,21.6,3.431,0.19,5.8,1060,0.729,0.068,28.5,680,47.29,86.5
9,영산포-1,Sep-15,7.3,7.1,25,214,3.5,6.7,16.7,2.514,0.135,4.9,540,0.347,0.034,25.3,73,41.411,79.5
10,영산포-1,Oct-15,7.3,8.5,19.7,217,4,6.5,17.6,2.841,0.117,5.1,480,0.409,0.031,38.9,70,21.357,84.2
11,영산포-1,Nov-15,7,8.8,15.4,347,4.3,6.5,13.1,3.945,0.098,5.2,95,0.673,0.016,32.3,2,24.514,106.8
12,영산포-1,Dec-15,6.8,9.5,9.6,313,2.9,5.5,9.5,4.364,0.129,2.8,460,0.861,0.062,18.1,70,32.197,69.3
13,영산포-1,Jan-16,8.4,14.5,3.6,369,4.7,8.1,15.9,5.226,0.104,7.5,60,0.3,0.007,133,4,21.65,79.2
14,영산포-1,Feb-16,7.3,14.2,5.3,358,4.1,6.5,15,5.067,0.139,5.6,940,1.062,0.041,51.6,100,39.941,40.5
15,영산포-1,Mar-16,7.5,13.3,10.3,273,5,7.7,19.6,4.042,0.118,5.8,6000,0.678,0.019,53.1,540,36.155,54.9
16,영산포-1,Apr-16,7.2,9.5,16.4,294,4.5,6.3,12.8,3.852,0.096,5.4,40,0.735,0.024,27.8,1,40.966,192
17,영산포-1,May-16,7.3,9.3,19.9,202,4.1,6.5,22,2.573,0.097,5.5,3900,0.259,0.026,41.9,750,96.209,119.9
18,영산포-1,Jun-16,7.1,6.7,24.4,289,4.9,8.6,22.8,3.751,0.135,7.3,200,0.985,0.035,49.2,14,46.652,133.6
19,영산포-1,Jul-16,6.9,6.9,26.6,185,3,6.9,20.9,2.459,0.138,5.6,15000,0.323,0.067,28.7,2400,136.889,249.2
20,영산포-1,Aug-16,7.2,5.6,29.5,280,5.1,11.3,23.2,2.578,0.181,7.9,100,0.576,0.074,46.5,30,44.865,20.4
21,영산포-1,Sep-16,6.9,7.3,23.7,190,3.2,7.3,11.6,2.502,0.135,5.5,540,0.444,0.073,20.7,95,54.21,197.8
22,영산포-1,Oct-16,7.1,8.4,19.8,182,3.3,6.4,27.5,3.037,0.196,4.8,9000,0.502,0.102,15.8,600,61.176,203.1
23,영산포-1,Nov-16,7.4,10,13.2,302,3.4,5.8,11.6,4.027,0.102,4.7,700,0.538,0.034,23.9,90,27.86,61.5
24,영산포-1,Dec-16,7,11.2,8.1,350,3.4,6.1,7.7,4.594,0.091,5,200,0.843,0.029,38,20,22.245,45.9
25,영산포-1,Jan-17,7.3,13.1,5.4,332,3.4,6.7,6.9,4.325,0.094,5,65,0.724,0.016,42.5,20,24.514,13.9
26,영산포-1,Feb-17,8,13.9,5,403,6.5,11.5,23.6,5.665,0.111,7.6,60,0.809,0.008,132.1,1,31.762,32.3
27,영산포-1,Mar-17,7.7,11.7,9.2,398,5,8.9,12,5.857,0.085,6.6,40,1.943,0.017,35.6,1,26.073,3.1
28,영산포-1,Apr-17,7.2,10.9,15.6,359,6,9.8,11,5.697,0.134,7.9,120,2.073,0.057,80.9,5,22.668,6.2
29,영산포-1,May-17,7.5,10.5,21.2,373,4.3,10.1,12.1,4.327,0.066,7.5,110,1.112,0.012,24,22,17.923,13.3
30,영산포-1,Jun-17,7.4,6.8,24,386,5.2,14.2,20.1,3.892,0.092,10.2,300,1.182,0.005,56.1,100,35.164,28.5
31,영산포-1,Jul-17,7,5.2,27.3,252,4.3,8.8,17.1,3.168,0.135,7.3,600,1.111,0.064,20.8,100,45.476,138.2
32,영산포-1,Aug-17,7.3,6.7,27.5,220,4.4,8.6,22.8,3.01,0.159,6.3,1000,0.914,0.07,32.5,50,111.683,200.8
33,영산포-1,Sep-17,6.9,7.6,24,180,3.6,7.7,12.8,2.183,0.1,5.8,100,0.176,0.052,40.4,50,46.315,109.4
34,영산포-1,Oct-17,7.4,8.8,18.8,272,3.5,7.1,11.8,2.886,0.078,5.4,300,0.545,0.019,32,30,19.645,62.7
35,영산포-1,Nov-17,7.7,10.5,11.7,397,3.3,7.5,12.5,4.581,0.073,5.9,100,0.998,0.008,26.1,1,21.103,1.4
36,영산포-1,Dec-17,8.1,10.9,6,496,2.6,7.2,7.8,5.655,0.071,5.7,36,1.297,0.011,17.7,3,16.96,45.3
37,영산포-1,Jan-18,8.3,14.6,4.1,489,7.2,13,20.3,6.551,0.159,9.7,110,2.274,0.017,155.4,7,26.607,58
38,영산포-1,Feb-18,8.5,14.9,4.4,483,5.7,10.4,13.6,7.818,0.12,8.2,25,4.195,0.02,68.2,1,13.41,39.3
39,영산포-1,Mar-18,7.6,9.1,10.3,415,4,7.9,8.6,7.502,0.118,6.6,800,4.24,0.019,24.3,100,29.906,152.7
40,영산포-1,Apr-18,7.6,9,15.4,274,4.4,8.2,19.2,4.374,0.1,6.1,130,1.529,0.021,56.5,10,97.752,169
41,영산포-1,May-18,7.7,7.5,21.1,301,4.9,8.9,15.7,4.07,0.097,6.9,900,1.658,0.024,61.8,110,55.849,89.3
42,영산포-1,Jun-18,7.8,5,25.7,338,4.6,12.2,14.4,3.717,0.097,9.1,300,1.135,0.032,44.2,2,26.872,162
43,영산포-1,Jul-18,8,5.9,27.5,233,4.9,9.4,19,3.009,0.116,6.7,4000,0.459,0.043,41.3,1900,48.904,67.6
44,영산포-1,Aug-18,7.9,6.1,30.5,304,4.5,12.4,16.4,2.745,0.154,8.9,400,0.804,0.07,48.2,5,15.464,246.2
45,영산포-1,Sep-18,7.3,7.5,24.3,194,4.2,7.4,18.7,2.585,0.095,5.8,1900,0.251,0.049,35.8,200,155.253,151.4
46,영산포-1,Oct-18,8,9.9,18.4,253,3.7,7.6,16.7,2.898,0.128,6.9,130,0.219,0.03,54.6,10,113.241,138.4
47,영산포-1,Nov-18,8.2,12.3,12.5,351,5.1,9.7,18,4.147,0.136,8.1,840,0.95,0.033,112.2,160,12.627,51.1
48,영산포-1,Dec-18,8.8,14.8,7.2,404,5.1,10.6,23.1,4.971,0.159,9.1,2000,1.212,0.032,111.1,340,16.621,38.3
49,영산포-1,Jan-19,8.5,16.3,5,455,5.2,10.9,20.9,7.118,0.13,9.6,140,1.624,0.021,117.5,20,14.324,13.3
50,영산포-1,Feb-19,8.9,16.6,5.4,407,6.2,13.4,18.6,6.277,0.157,10.4,300,2.434,0.014,136.5,10,16.909,29.6
51,영산포-1,Mar-19,8.2,9.3,10.9,410,5.3,10.6,15.5,6.171,0.127,8.2,500,2.785,0.024,58.1,2,18.053,38.5
52,영산포-1,Apr-19,8.7,10.1,14.4,327,4.4,9.3,17.9,4.295,0.16,8.3,40,1.758,0.022,66.4,3,19.123,86.3
