number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
1,公救1,Jan-15,8,18.6,4.8,378,3.4,6.6,15.6,4.894,0.055,2.9,150,0.877,0.005,51.9,18,38.474,41.1
2,公救1,Feb-15,8.1,14.5,5.1,361,4.9,8.2,21,4.658,0.063,4,88,0.957,0.007,101.3,6,25.326,25.7
3,公救1,Mar-15,8.3,11.8,9.2,373,5.1,8.3,21.1,5.189,0.06,3.8,124,1.377,0.007,67.7,9,20.012,34.4
4,公救1,Apr-15,8.3,11,15.7,334,5.3,8.4,13,4.755,0.065,4.8,128,1.521,0.012,57.6,17,43.103,159.6
5,公救1,May-15,7.8,8.5,20.7,290,3.9,8.1,10.8,3.741,0.061,4.4,3243,1.051,0.022,23.4,12,48.581,77.8
6,公救1,Jun-15,8.3,9.5,24.9,326,3.8,10.4,12.5,2.923,0.044,5.1,290,0.564,0.007,29.3,3,50.842,117.8
7,公救1,Jul-15,7.7,6.8,25.1,234,4.2,8.2,16.1,3.259,0.094,5.3,1245,0.786,0.053,22,42,57.82,159.6
8,公救1,Aug-15,7.8,6.5,28.4,232,4.3,8,20.6,2.157,0.092,4.1,280,0.176,0.043,34.2,30,57.917,86.5
9,公救1,Sep-15,7.7,7.2,25.3,229,3.1,7.6,15,2.087,0.054,3.9,32,0.091,0.019,21.7,13,46.262,79.5
10,公救1,Oct-15,7.9,8.5,20.1,245,3.9,8.1,22.2,2.753,0.053,3.8,125,0.322,0.014,35.1,24,23.138,84.2
11,公救1,Nov-15,7.6,9.6,14.8,299,4.2,7.8,22.7,3.07,0.064,3.6,128,0.433,0.02,30.2,47,27.262,106.8
12,公救1,Dec-15,7.3,11.6,7.9,353,3,6.7,12.8,4.263,0.091,3.5,308,0.761,0.062,17.6,93,35.164,69.3
13,公救1,Jan-16,8.7,15.7,5.1,336,4.9,8.1,17.6,3.671,0.041,3.2,9,0.087,0.005,85.6,2,24.477,79.2
14,公救1,Feb-16,8.4,14.9,5.1,380,5.2,9.8,29.7,4.546,0.065,3.7,239,0.527,0.014,98.2,75,45.833,40.5
15,公救1,Mar-16,8.1,11.6,10.5,297,3.8,8.2,18.1,4.231,0.065,3.5,162,0.769,0.011,59.8,46,40.739,54.9
16,公救1,Apr-16,8,10.9,16.5,261,3.7,7,8.1,3.912,0.067,3.9,51,0.569,0.017,20.2,21,45.568,192
17,公救1,May-16,8,9.7,20.7,214,2.9,7.4,12,2.829,0.069,3.9,50,0.183,0.02,44.9,18,64.289,119.9
18,公救1,Jun-16,7.9,8.6,24.9,275,4.6,9.6,18.2,2.945,0.073,4.9,75,0.481,0.017,49.4,37,53.891,133.6
19,公救1,Jul-16,8.1,10.9,27.7,215,3.6,8.6,22.8,2.44,0.105,4.1,133,0.144,0.064,39.2,85,154.334,249.2
20,公救1,Aug-16,8.4,7.7,30.4,265,3.8,11.1,19.8,1.701,0.098,4.6,154,0.053,0.055,45.6,120,48.273,20.4
21,公救1,Sep-16,8.1,9.5,25.9,207,4.2,9.3,16.8,2.334,0.126,4.9,179,0.139,0.067,21.8,131,57.882,197.8
22,公救1,Oct-16,7.3,9.6,19.4,172,2.6,6.3,16.3,3.037,0.167,3.8,795,0.393,0.111,11.7,406,68.15,203.1
23,公救1,Nov-16,7.9,11.2,13.3,208,2.9,5.6,25,3.406,0.074,3.8,340,0.215,0.033,27.3,108,31.71,61.5
24,公救1,Dec-16,8,14.1,8.2,308,3.1,5.9,9.5,4.436,0.063,4,158,0.297,0.004,47.7,27,24.266,45.9
25,公救1,Jan-17,7.9,13.8,5.4,411,3.8,6.6,11.7,5.529,0.059,3.8,64,0.698,0.021,33.1,24,26.541,13.9
26,公救1,Feb-17,8.4,14.2,5.2,346,4.4,7.9,19,4.777,0.064,4.8,35,0.223,0.001,65.7,7,33.811,32.3
27,公救1,Mar-17,7.9,12,9.1,523,4.6,7.2,23.3,6.496,0.086,4.8,104,1.462,0.038,31.3,24,27.675,3.1
28,公救1,Apr-17,7.9,11,15.9,442,4.4,8.2,18,5.017,0.072,5.2,89,1.222,0.013,47.1,21,24.79,6.2
29,公救1,May-17,8.3,11.1,23.2,409,3,8.5,10.1,3.631,0.061,5.8,138,0.551,0.011,27.8,19,19.795,13.3
30,公救1,Jun-17,8.2,10.6,25.9,410,3.8,12.8,13.3,3.371,0.078,6.7,217,0.579,0.01,50,12,48.527,28.5
31,公救1,Jul-17,7.6,6.9,28.4,272,3.9,10.2,20.8,3.882,0.149,5.6,193,1.205,0.081,41.3,54,61.922,138.2
32,公救1,Aug-17,8,7.9,29.6,163,4.2,9.5,25.1,2.504,0.13,4.6,1460,0.311,0.055,46.8,1090,49.217,200.8
33,公救1,Sep-17,7.9,8.2,24.8,172,2,7.2,20.7,2.316,0.117,4.3,1310,0.253,0.066,34.8,1140,55.976,109.4
34,公救1,Oct-17,8,10.7,19.8,251,4.1,8.6,22.8,2.655,0.083,4.3,185,0.394,0.017,68.4,105,21.409,62.7
35,公救1,Nov-17,7.9,11.4,12.5,314,1.7,6.7,14.7,3.134,0.053,4.2,112,0.235,0.009,36.3,41,21.937,1.4
36,公救1,Dec-17,7.8,13.1,5.5,439,2.5,6.8,9.5,4.709,0.056,4.1,93,0.541,0.007,29.4,33,17.711,45.3
