T-N,T-P,NH3-N,PO4-P,Rain
2.619,0.044,0.151,0.019,47.5
2.589,0.051,0.145,0.02,22.3
2.085,0.075,0.077,0.009,36.4
1.819,0.119,0.158,0.02,141
1.724,0.119,0.306,0.046,46.8
2.624,0.134,0.323,0.067,101.7
2.241,0.125,0.074,0.04,167
1.403,0.11,0.063,0.045,139.8
1.276,0.086,0.062,0.034,59.8
1.596,0.09,0.126,0.046,95.2
2.306,0.113,0.304,0.064,120.2
2.745,0.066,0.183,0.029,61.4
3.025,0.059,0.236,0.018,51.2
2.744,0.073,0.248,0.031,43.5
2.506,0.096,0.181,0.024,58.4
1.907,0.108,0.14,0.022,185.6
1.773,0.092,0.121,0.039,105.5
2.377,0.119,0.249,0.063,106.7
1.852,0.119,0.089,0.058,287.8
1.152,0.109,0.071,0.035,86.3
1.725,0.098,0.162,0.048,243.1
2.114,0.097,0.076,0.057,207.3
2.209,0.094,0.06,0.048,32.4
2.573,0.056,0.077,0.02,45.3
2.898,0.079,0.224,0.029,13.6
2.929,0.086,0.222,0.041,43.8
2.255,0.091,0.062,0.014,9.6
1.422,0.109,0.024,0.006,21.2
1.626,0.138,0.124,0.01,30.6
2.142,0.121,0.286,0.026,69.9
1.971,0.118,0.162,0.047,210.8
1.404,0.112,0.091,0.064,252.6
1.412,0.08,0.038,0.041,94.2
1.813,0.071,0.092,0.03,75.3
1.917,0.07,0.192,0.006,7.8
2.72,0.067,0.269,0.005,30.4
2.627,0.072,0.246,0.012,44.4
2.659,0.095,0.075,0.012,35.2
2.59,0.108,0.202,0.028,114.1
2.231,0.094,0.064,0.023,115.7
2.233,0.131,0.252,0.058,117
1.858,0.115,0.12,0.05,190.1
1.626,0.125,0.039,0.074,127.6
1.399,0.112,0.028,0.05,360.8
1.922,0.082,0.031,0.036,118
1.969,0.078,0.032,0.03,111.9
2.035,0.088,0.013,0.038,41
2.509,0.071,0.078,0.034,27.6
2.71,0.073,0.092,0.014,13.9
2.502,0.1,0.13,0.028,31.5
1.753,0.17,0.036,0.014,28.8
1.404,0.161,0.165,0.02,72
1.501,0.156,0.272,0.041,67
1.82,0.144,0.177,0.053,134.4
1.856,0.102,0.103,0.064,206
1.13,0.089,0.039,0.04,55.1
1.729,0.077,0.037,0.057,141
1.968,0.048,0.031,0.024,127.5
1.974,0.077,0.05,0.026,19.4
2.557,0.055,0.077,0.025,26.9
2.814,0.052,0.275,0.023,47.2
2.557,0.081,0.299,0.047,23.9
2.151,0.122,0.296,0.019,36.5
2.059,0.162,0.392,0.073,145.5
1.753,0.105,0.198,0.039,48.6
2.493,0.09,0.427,0.033,96.1
2.106,0.114,0.191,0.063,164.3
1.428,0.107,0.269,0.064,148.9
0.879,0.056,0.045,0.033,66.6
1.069,0.051,0.047,0.012,90.9
1.864,0.093,0.17,0.048,121.9
2.634,0.071,0.185,0.038,59.2
2.642,0.056,0.198,0.026,49.9
2.932,0.073,0.246,0.032,45.2
2.471,0.098,0.223,0.029,55.2
2.104,0.106,0.102,0.02,185
1.65,0.068,0.061,0.02,104.5
2.234,0.077,0.188,0.032,116.1
2.145,0.09,0.127,0.056,301.4
1.111,0.098,0.074,0.049,81
1.548,0.082,0.078,0.045,251.3
2.05,0.123,0.128,0.084,216.7
2.234,0.074,0.057,0.02,31.5
2.767,0.095,0.312,0.026,44.9
2.876,0.078,0.255,0.039,11.7
2.727,0.077,0.168,0.018,41.9
1.926,0.106,0.087,0.036,7.8
1.799,0.152,0.172,0.046,8.9
1.591,0.123,0.283,0.038,28.1
2.192,0.102,0.266,0.029,42.1
2.301,0.156,0.378,0.095,211.7
1.697,0.138,0.237,0.081,273.8
1.082,0.079,0.043,0.04,108.8
1.412,0.067,0.049,0.022,85.4
2.115,0.103,0.402,0.018,2.1
2.832,0.11,0.227,0.018,28.5
2.902,0.092,0.174,0.012,38.8
2.453,0.073,0.129,0.013,22
2.838,0.122,0.329,0.03,115.8
2.285,0.115,0.126,0.032,127.4
2.297,0.124,0.191,0.059,85.4
1.731,0.105,0.118,0.027,222.4
1.676,0.139,0.067,0.073,84.5
1.054,0.14,0.047,0.078,397.1
1.855,0.101,0.061,0.05,129.7
1.893,0.1,0.082,0.032,125.2
1.993,0.104,0.078,0.02,47.2
2.922,0.102,0.191,0.038,32.4
2.539,0.086,0.1,0.021,16.4
2.396,0.116,0.087,0.012,37
2.158,0.145,0.247,0.024,33.9
2.63,0.153,0.606,0.022,84.7
1.827,0.144,0.285,0.031,78.8
2.04,0.095,0.169,0.04,158
2.075,0.12,0.187,0.062,242.2
1.685,0.144,0.115,0.082,64.8
1.805,0.117,0.077,0.071,165.8
2.095,0.078,0.065,0.037,149.9
2.508,0.118,0.414,0.046,22.8
2.439,0.133,0.113,0.022,31.6
8.417,0.088,4.182,0.048,47.2
9.795,0.116,5.869,0.065,23.9
10.757,0.103,6.915,0.012,36.5
8.068,0.164,4.006,0.053,145.5
6.933,0.081,3.373,0.015,48.6
5.847,0.085,2.969,0.02,96.1
3.482,0.142,1.219,0.079,164.3
4.637,0.162,2.118,0.096,148.9
4.47,0.081,1.372,0.048,66.6
6.371,0.119,1.86,0.071,90.9
5.647,0.1,1.743,0.057,121.9
6.283,0.071,1.505,0.044,59.2
7.986,0.078,2.403,0.042,49.9
7.365,0.114,3.088,0.064,45.2
8.296,0.197,3.339,0.096,55.2
6.496,0.195,2.19,0.09,185
4.834,0.147,1.77,0.07,104.5
6.267,0.156,2.91,0.088,116.1
4.403,0.153,1.588,0.106,301.4
5.729,0.137,2.185,0.072,81
4.198,0.121,1.672,0.078,251.3
4.29,0.198,1.158,0.139,216.7
7.694,0.082,2.517,0.028,31.5
8.209,0.132,2.823,0.029,44.9
9.673,0.14,4.036,0.068,11.7
11.091,0.164,6.001,0.06,41.9
9.863,0.197,6.093,0.032,7.8
7.39,0.115,3.024,0.027,8.9
10.628,0.153,5.755,0.047,28.1
7.221,0.113,3.318,0.022,42.1
4.371,0.175,1.908,0.099,211.7
5.23,0.223,2.715,0.149,273.8
5.886,0.128,2.389,0.067,108.8
6.957,0.094,3.205,0.034,85.4
8.074,0.089,3.185,0.006,2.1
7.947,0.119,4.105,0.007,28.5
10.486,0.136,5.766,0.034,38.8
11.501,0.106,8.594,0.021,22
8.14,0.191,5.037,0.079,115.8
7.026,0.166,3.789,0.09,127.4
5.548,0.236,3.31,0.136,85.4
5.33,0.114,3.187,0.038,222.4
6.915,0.208,4.75,0.133,84.5
7.542,0.187,5.504,0.11,397.1
5.072,0.166,2.862,0.095,129.7
7.143,0.192,3.638,0.11,125.2
9.608,0.255,6.539,0.138,47.2
11.538,0.344,5.954,0.229,32.4
9.384,0.122,6.281,0.026,16.4
11.656,0.142,8.402,0.01,37
10.815,0.164,7.551,0.031,33.9
9.274,0.172,6.071,0.04,84.7
7.874,0.114,5.367,0.04,78.8
6.385,0.112,3.942,0.046,158
5.356,0.194,2.642,0.128,242.2
6.017,0.194,3.341,0.111,64.8
5.499,0.13,2.948,0.073,165.8
5.346,0.071,2.249,0.03,149.9
9.085,0.266,5.656,0.167,22.8
7.204,0.148,3.474,0.005,31.6
8.761,0.067,4.415,0.034,47.2
10.932,0.147,6.85,0.081,23.9
10.242,0.114,6.249,0.014,36.5
8.951,0.182,5.049,0.082,145.5
7.332,0.084,3.186,0.012,48.6
6.937,0.151,3.493,0.057,96.1
5.811,0.238,2.853,0.154,164.3
4.643,0.152,1.874,0.055,148.9
4.66,0.116,1.573,0.053,66.6
6.932,0.077,1.882,0.03,90.9
5.911,0.176,2.275,0.118,121.9
6.597,0.146,1.961,0.102,59.2
9.137,0.098,3.414,0.056,49.9
6.839,0.132,2.485,0.07,45.2
7.869,0.196,3.352,0.097,55.2
6.931,0.175,1.887,0.051,185
5.656,0.149,2.084,0.074,104.5
6.225,0.201,2.346,0.048,116.1
