,TC,FC,Discharge,WT,pH,DO,BOD,SS,EC,TP,TOC,Precpitation
16_1,875,60,15.677 ,6.6 ,7.2 ,12.8 ,2.6 ,5.1 ,417 ,0.124 ,5.3 ,49.9 
16_2,5561,462,23.339 ,6.9 ,7.1 ,12.0 ,3.5 ,8.6 ,355 ,0.154 ,5.5 ,45.2 
16_3,3675,258,26.807 ,11.6 ,7.2 ,10.4 ,4.8 ,19.5 ,317 ,0.176 ,6.1 ,55.2 
16_4,5775,1314,29.265 ,16.6 ,7.2 ,10.0 ,5.4 ,12.8 ,284 ,0.137 ,5.9 ,185.0 
16_5,8700,1864,26.044 ,21.4 ,6.9 ,9.4 ,4.5 ,10.1 ,287 ,0.140 ,6.0 ,104.5 
16_6,11250,1360,24.420 ,24.3 ,6.9 ,7.2 ,4.0 ,7.0 ,288 ,0.146 ,7.0 ,116.1 
16_7,27275,7305,59.187 ,26.2 ,6.9 ,6.5 ,3.9 ,10.7 ,230 ,0.166 ,6.2 ,301.4 
16_8,10192,2456,22.217 ,29.0 ,6.8 ,4.3 ,4.5 ,9.7 ,317 ,0.204 ,7.3 ,81.0 
16_9,12250,2175,36.609 ,24.0 ,7.0 ,6.8 ,4.1 ,9.1 ,276 ,0.152 ,5.7 ,251.3 
16_10,36000,8050,42.963 ,19.5 ,6.5 ,7.1 ,3.0 ,11.8 ,220 ,0.192 ,4.6 ,216.7 
16_11,6800,1416,16.251 ,13.2 ,7.0 ,10.8 ,3.8 ,8.7 ,371 ,0.163 ,5.4 ,31.5 
16_12,5880,545,15.293 ,8.3 ,7.0 ,10.9 ,4.1 ,10.0 ,428 ,0.122 ,6.1 ,44.9 
17_1,1576,54,12.284 ,6.1 ,7.0 ,13.1 ,4.0 ,9.0 ,432 ,0.114 ,5.7 ,11.7 
17_2,3070,81,16.996 ,7.0 ,7.2 ,13.8 ,5.5 ,14.7 ,473 ,0.154 ,7.8 ,41.9 
17_3,5275,70,4.914 ,11.1 ,7.5 ,14.8 ,6.8 ,16.0 ,428 ,0.121 ,8.8 ,7.8 
17_4,2800,163,13.412 ,16.6 ,6.8 ,10.5 ,7.3 ,9.9 ,369 ,0.159 ,8.7 ,8.9 
17_5,220,81,9.681 ,21.6 ,7.2 ,8.6 ,5.9 ,11.0 ,445 ,0.133 ,9.0 ,28.1 
17_6,100,52,23.248 ,24.1 ,7.1 ,8.0 ,6.9 ,13.7 ,351 ,0.106 ,10.3 ,42.1 
17_7,9775,2865,24.309 ,27.2 ,6.4 ,4.6 ,3.9 ,10.3 ,274 ,0.176 ,7.4 ,211.7 
17_8,23500,11600,94.799 ,27.5 ,6.6 ,3.3 ,3.8 ,13.7 ,262 ,0.181 ,6.8 ,273.8 
17_9,10475,3185,47.595 ,23.7 ,7.0 ,8.4 ,3.7 ,10.5 ,272 ,0.105 ,5.9 ,108.8 
17_10,2075,630,17.424 ,18.9 ,7.1 ,8.4 ,4.9 ,10.1 ,388 ,0.091 ,6.6 ,85.4 
17_11,1311,172,15.681 ,12.1 ,7.6 ,12.3 ,5.3 ,13.7 ,480 ,0.087 ,7.4 ,2.1 
17_12,12125,1225,25.078 ,7.4 ,7.8 ,12.2 ,5.4 ,17.3 ,559 ,0.117 ,7.6 ,28.5 
18_1,3820,176,7.290 ,5.8 ,7.2 ,13.5 ,6.4 ,13.0 ,561 ,0.125 ,8.6 ,38.8 
18_2,1115,144,10.175 ,6.5 ,7.5 ,13.3 ,6.1 ,14.1 ,548 ,0.177 ,8.9 ,22.0 
18_3,13450,3100,38.267 ,11.7 ,7.3 ,7.8 ,6.0 ,25.3 ,386 ,0.199 ,8.7 ,115.8 
18_4,59600,13833,43.437 ,16.6 ,7.4 ,8.2 ,5.7 ,47.7 ,364 ,0.203 ,8.2 ,127.4 
18_5,78500,20125,38.195 ,21.5 ,7.5 ,8.3 ,6.2 ,36.6 ,306 ,0.183 ,8.1 ,85.4 
18_6,7450,1975,33.815 ,26.0 ,7.6 ,7.7 ,6.6 ,24.4 ,382 ,0.128 ,8.9 ,222.4 
18_7,67760,14806,68.392 ,28.7 ,8.0 ,9.2 ,7.0 ,43.6 ,323 ,0.214 ,9.0 ,84.5 
18_8,32800,10315,60.961 ,29.5 ,8.0 ,9.7 ,6.7 ,23.2 ,343 ,0.227 ,8.9 ,397.1 
18_9,100750,57875,17.677 ,24.5 ,7.3 ,6.9 ,4.8 ,10.3 ,294 ,0.190 ,6.7 ,129.7 
18_10,29620,9980,12.864 ,18.4 ,7.3 ,8.7 ,4.9 ,9.5 ,336 ,0.158 ,7.4 ,125.2 
18_11,41175,22395,8.473 ,13.4 ,7.8 ,9.7 ,5.1 ,10.6 ,415 ,0.209 ,8.6 ,47.2 
18_12,16975,3690,12.747 ,8.4 ,7.9 ,11.7 ,4.0 ,9.5 ,466 ,0.140 ,8.1 ,32.4 
19_1,730,34,6.433 ,6.7 ,7.8 ,12.5 ,4.7 ,10.1 ,485 ,0.154 ,8.0 ,16.4 
19_2,8225,1183,7.281 ,7.5 ,7.8 ,12.4 ,6.6 ,19.1 ,434 ,0.195 ,10.5 ,37.0 
19_3,22600,1783,8.799 ,12.0 ,7.8 ,10.4 ,6.0 ,12.2 ,454 ,0.194 ,9.0 ,33.9 
19_4,78900,14434,18.457 ,15.3 ,8.3 ,9.0 ,6.0 ,29.8 ,374 ,0.358 ,9.1 ,84.7 
19_5,63025,19518,16.081 ,20.6 ,7.6 ,8.1 ,4.8 ,13.3 ,349 ,0.197 ,7.7 ,78.8 
19_6,19025,2370,14.614 ,24.4 ,7.9 ,6.5 ,6.4 ,14.3 ,325 ,0.200 ,9.2 ,158.0 
19_7,54880,25288,34.560 ,26.1 ,7.7 ,5.7 ,4.1 ,14.9 ,257 ,0.163 ,9.3 ,242.2 
19_8,54900,23030,51.418 ,28.1 ,7.6 ,7.6 ,4.0 ,19.7 ,273 ,0.181 ,8.6 ,64.8 
19_9,51880,16658,42.173 ,24.5 ,7.4 ,7.8 ,3.8 ,8.8 ,243 ,0.129 ,4.9 ,165.8 
19_10,3250,883,24.889 ,19.6 ,7.8 ,10.2 ,3.9 ,10.3 ,291 ,0.063 ,5.2 ,149.9 
19_11,2155,300,19.908 ,14.9 ,7.7 ,10.3 ,5.0 ,8.7 ,419 ,0.086 ,7.7 ,22.8 
19_12,14225,3168,12.570 ,9.0 ,7.7 ,13.1 ,6.1 ,14.0 ,480 ,0.116 ,8.5 ,31.6 
