BOD,COD,TOC,TN,NO3N,NH3N,TP,PO4P,Discharge,Precipitation,TC,FC
1.5,3.5,3.8,3.025,2.447,0.236,0.059,0.018,3.479,51.2,2500,120
2.1,4.5,4.3,2.744,1.956,0.248,0.073,0.031,7.489,43.5,8075,468
2.7,5.6,4.8,2.506,1.916,0.181,0.096,0.024,6.155,58.4,6940,328
3,6.6,5.1,1.907,1.332,0.14,0.108,0.022,9.168,185.6,3475,745
1.9,5.6,4.6,1.773,1.084,0.121,0.092,0.039,7.687,105.5,4475,375
2.6,8,7,2.377,1.156,0.249,0.119,0.063,7.129,106.7,4700,296
2.4,5.7,5.4,1.852,1.298,0.089,0.119,0.058,8.753,287.8,11300,1293
2.4,7.1,5.7,1.152,0.419,0.071,0.109,0.035,6.257,86.3,2052,242
1.8,6.4,4.8,1.725,1.095,0.162,0.098,0.048,16.274,243.1,10875,1960
1.2,5.2,3.9,2.114,1.247,0.076,0.097,0.057,14.034,207.3,20000,1450
1.4,4.4,3.9,2.209,1.539,0.06,0.094,0.048,3.671,32.4,10980,140
1.3,3.9,3.5,2.573,2.068,0.077,0.056,0.02,3.439,45.3,15875,210
1.5,4.3,3.3,2.898,2.256,0.224,0.079,0.029,3.23,13.6,2800,180
1.8,4.5,3.5,2.929,2.453,0.222,0.086,0.041,3.538,43.8,1240,200
4,6.6,5.8,2.255,1.553,0.062,0.091,0.014,2.81,9.6,1150,173
5.9,11,7.8,1.422,0.642,0.024,0.109,0.006,2.707,21.2,8188,150
5.8,13.4,9.1,1.626,0.471,0.124,0.138,0.01,2.093,30.6,610,56
3.9,12.7,9.5,2.142,0.919,0.286,0.121,0.026,3.473,69.9,1158,285
2.3,8.4,6.2,1.971,1.289,0.162,0.118,0.047,10.418,210.8,7050,1378
2.5,7.1,5.3,1.404,0.953,0.091,0.112,0.064,31.665,252.6,15600,2218
1.7,5.8,4.5,1.412,0.977,0.038,0.08,0.041,12.089,94.2,5300,1438
1.6,5.5,4.2,1.813,1.277,0.092,0.071,0.03,3.39,75.3,2500,275
4.1,7.3,6,1.917,1.106,0.192,0.07,0.006,2.222,7.8,895,73
3.3,5.9,5,2.72,2.049,0.269,0.067,0.005,2.623,30.4,2075,558
2.9,5.6,4.5,2.627,1.844,0.246,0.072,0.012,2.826,44.4,7000,574
3.2,5.8,4.5,2.659,1.887,0.075,0.095,0.012,2.31,35.2,1068,361
3.5,7.4,5.5,2.59,1.681,0.202,0.108,0.028,11.389,114.1,11450,1195
2.5,6.6,5,2.231,1.265,0.064,0.094,0.023,6.176,115.7,4640,380
2.7,7.2,5.9,2.233,1.316,0.252,0.131,0.058,7.879,117,6525,433
2.9,10.8,8.5,1.858,0.81,0.12,0.115,0.05,5.507,190.1,2650,278
3.6,9.6,6.8,1.626,0.85,0.039,0.125,0.074,26.962,127.6,5040,1000
2.5,8.4,6.4,1.399,0.83,0.028,0.112,0.05,32.126,360.8,7125,1138
2.1,5.3,4.5,1.922,1.032,0.031,0.082,0.036,11.455,118,8875,1570
2,5.8,5.3,1.969,1.503,0.032,0.078,0.03,6.158,111.9,8820,1136
1.8,5.8,5.8,2.035,1.539,0.013,0.088,0.038,2.32,41,5075,310
1.8,4.3,4.9,2.509,2.044,0.078,0.071,0.034,3.693,27.6,4400,1098
1.7,4.3,4.3,2.71,2.166,0.092,0.073,0.014,2.649,13.9,523,178
2.8,6.6,5.6,2.502,1.879,0.13,0.1,0.028,2.677,31.5,1225,190
4.4,9,7.3,1.753,0.971,0.036,0.17,0.014,2.001,28.8,2550,346
4.3,9.5,7,1.404,0.635,0.165,0.161,0.02,2.843,72,2908,743
3.7,8.9,6.9,1.501,0.624,0.272,0.156,0.041,5.198,67,7875,722
3.5,9.8,7.9,1.82,0.834,0.177,0.144,0.053,5.329,134.4,2900,941
2.6,7.5,6.5,1.856,1.14,0.103,0.102,0.064,13.018,206,17900,3196
2.6,7.9,7,1.13,0.648,0.039,0.089,0.04,6.699,55.1,11975,1813
1.6,5.7,4.4,1.729,1.271,0.037,0.077,0.057,10.594,141,9880,3226
1.3,4.6,3.3,1.968,1.658,0.031,0.048,0.024,6.811,127.5,8325,2930
3.4,7,6.5,1.974,1.442,0.05,0.077,0.026,3.572,19.4,6865,2230
2.9,5.1,4.9,2.557,2.116,0.077,0.055,0.025,3.811,26.9,4600,1008
