BOD,COD,TOC,TN,NO3N,NH3N,TP,PO4P,Discharge,Precpitation,TC,FC
2.6,5.4,5.3,6.783,4.346,1.672,0.124,0.036,15.677,49.9,875,60
3.5,5.8,5.5,5.428,2.991,1.762,0.154,0.072,23.339,45.2,5561,462
4.8,7.4,6.1,4.855,2.69,1.311,0.176,0.046,26.807,55.2,3675,258
5.4,7.9,5.9,3.833,2.292,0.889,0.137,0.025,29.265,185,5775,1314
4.5,7.6,6,4.087,1.916,1.309,0.14,0.045,26.044,104.5,8700,1864
4,7.8,7,4.023,1.709,1.365,0.146,0.068,24.42,116.1,11250,1360
3.9,6.9,6.2,3.277,1.537,1.072,0.166,0.085,59.187,301.4,27275,7305
4.5,8.6,7.3,3.845,1.307,1.669,0.204,0.117,22.217,81,10192,2456
4.1,7,5.7,3.613,1.987,1.076,0.152,0.077,36.609,251.3,12250,2175
3,5.9,4.6,3.153,1.596,0.807,0.192,0.126,42.963,216.7,36000,8050
3.8,6.6,5.4,5.604,3.219,1.577,0.163,0.061,16.251,31.5,6800,1416
4.1,7.3,6.1,6.097,3.227,1.738,0.122,0.023,15.293,44.9,5880,545
4,7.2,5.7,6.447,3.456,1.892,0.114,0.019,12.284,11.7,1576,54
5.5,9.1,7.8,7.673,2.966,3.512,0.154,0.02,16.996,41.9,3070,81
6.8,12.4,8.8,8.267,2.628,4.164,0.121,0.018,4.914,7.8,5275,70
7.3,11.7,8.7,6.152,1.865,3.048,0.159,0.044,13.412,8.9,2800,163
5.9,12.6,9,7.44,2.267,3.606,0.133,0.038,9.681,28.1,220,81
6.9,14.1,10.3,4.55,1.832,1.528,0.106,0.006,23.248,42.1,100,52
3.9,9.1,7.4,3.847,1.475,1.711,0.176,0.101,24.309,211.7,9775,2865
3.8,8.8,6.8,4.244,1.256,2.362,0.181,0.104,94.799,273.8,23500,11600
3.7,7.9,5.9,3.163,1.586,0.858,0.105,0.039,47.595,108.8,10475,3185
4.9,8.3,6.6,5.166,2.243,1.926,0.091,0.031,17.424,85.4,2075,630
5.3,9.8,7.4,6.34,3.181,2.229,0.087,0.008,15.681,2.1,1311,172
5.4,9.2,7.6,7.16,2.728,3.507,0.117,0.007,25.078,28.5,12125,1225
6.4,11.6,8.6,8.883,2.32,5.352,0.125,0.013,7.29,38.8,3820,176
6.1,11.8,8.9,11.563,1.727,8.907,0.177,0.023,10.175,22,1115,144
6,11.1,8.7,7.031,1.53,4.46,0.199,0.034,38.267,115.8,13450,3100
5.7,10.9,8.2,6.849,1.667,3.832,0.203,0.043,43.437,127.4,59600,13833
6.2,10.7,8.1,4.675,1.205,2.27,0.183,0.048,38.195,85.4,78500,20125
6.6,11.6,8.9,5.959,1.406,3.329,0.128,0.026,33.815,222.4,7450,1975
7,12.5,9,5.545,1.805,2.853,0.214,0.096,68.392,84.5,67760,14806
6.7,12.9,8.9,5.043,1.369,2.788,0.227,0.09,60.961,397.1,32800,10315
4.8,8.7,6.7,4.876,1.399,2.516,0.19,0.108,17.677,129.7,100750,57875
4.9,7.9,7.4,4.942,2.12,2.397,0.158,0.07,12.864,125.2,29620,9980
5.1,9.7,8.6,5.688,2.168,2.488,0.209,0.066,8.473,47.2,41175,22395
4,8.4,8.1,6.668,3.237,2.556,0.14,0.038,12.747,32.4,16975,3690
4.7,9,8,9.198,3.67,3.972,0.154,0.024,6.433,16.4,730,34
6.6,14.1,10.5,7.597,2.891,3.777,0.195,0.018,7.281,37,8225,1183
6,12.5,9,8.271,2.648,5.145,0.194,0.027,8.799,33.9,22600,1783
6,12.9,9.1,6.569,1.851,3.919,0.358,0.098,18.457,84.7,78900,14434
4.8,10.3,7.7,5.09,1.92,2.642,0.197,0.045,16.081,78.8,63025,19518
6.4,13.5,9.2,4.433,1.713,2.53,0.2,0.037,14.614,158,19025,2370
4.1,10.2,9.3,4.12,1.657,1.928,0.163,0.079,34.56,242.2,54880,25288
4,10,8.6,3.918,1.959,1.575,0.181,0.063,51.418,64.8,54900,23030
3.8,7.1,4.9,3.411,1.676,1.138,0.129,0.073,42.173,165.8,51880,16658
3.9,6.5,5.2,4.156,2.453,1.075,0.063,0.016,24.889,149.9,3250,883
5,8.5,7.7,6.361,2.643,2.714,0.086,0.053,19.908,22.8,2155,300
6.1,10.5,8.5,7.155,3.194,2.998,0.116,0.032,12.57,31.6,14225,3168
