Flow,BOD,COD,TN,NO3N,NH3N,TP,PO4P,Chla,TOC,TC,FC,Precipitation
15.07,2.3,4.9,5.535,3.889,1.432,0.081,0.024,16.9,4.5,1900,10,0
15.157,2.9,5.5,6.618,4.347,1.356,0.161,0.066,36.9,5.1,370,16,0.3
15.212,2.9,6,7.88,4.714,1.884,0.14,0.033,38.9,5.8,400,14,13
17.269,2.4,5,7.099,4.432,2.014,0.114,0.021,21.2,5.7,830,200,22.4
23.687,4.2,6.5,4.747,2.729,1.387,0.232,0.125,13.3,5.6,13000,1700,9.9
19.949,2.6,5.1,6.908,3.807,2.569,0.101,0.029,14.7,5.9,66,2,0
33.585,3.8,6,4.372,2.087,1.383,0.167,0.07,16,6.1,14000,600,37.9
21.427,2.2,5.6,5.504,3.114,1.895,0.119,0.069,13.1,4.8,500,4,0.5
18.047,4.5,5.9,5.608,3.216,1.575,0.149,0.067,44.5,5,240,4,6.8
59.313,5.9,7.5,3.295,1.779,0.636,0.204,0.055,5.7,6.3,10000,920,40.3
19.616,2.6,6.1,4.76,2.63,1.393,0.18,0.086,15.6,5.1,1900,35,5.2
14.17,4.5,7.3,5.455,3.238,1.462,0.156,0.028,59.8,5.7,2500,65,9.7
14.129,6.3,8.7,5.908,3.113,1.753,0.164,0.014,104.5,7.1,300,10,0
10.836,7.1,9.1,5.853,3.396,1.592,0.08,0.014,82.1,6.3,200,4,3.4
18.359,6.6,9.2,3.405,1.842,0.693,0.162,0.026,107,6.5,5400,570,44.1
60.43,5,7.5,2.704,1.626,0.568,0.19,0.038,36.7,6.2,13000,3700,46.3
27.434,2.7,5.6,3.369,2.303,0.701,0.116,0.022,31.2,4.4,4500,980,27.3
30.885,3.6,7,3.454,1.95,0.787,0.127,0.034,39,5.5,13000,700,82.1
23.409,3.4,6.3,4.222,2.131,1.181,0.134,0.049,49,5.5,6300,1500,18.6
29.049,5.9,8.6,4.405,2.027,1.17,0.165,0.01,139.2,7,18000,5700,42.1
20.929,4.6,7.7,4.273,2.113,1.479,0.149,0.059,51.5,5.7,300,320,0
25.95,4.9,8.2,4.081,1.361,1.927,0.124,0.074,50.3,6.5,5900,1100,25.6
29.292,3.8,7.3,4.041,1.561,1.409,0.133,0.065,22.7,7.2,12000,2300,21.8
20.213,5.4,7.3,4.522,1.947,1.644,0.147,0.052,73.7,6.9,13000,40,0
30.302,3.4,8.7,4.097,1.774,1.453,0.126,0.049,57.5,6.8,4000,600,22.1
17.873,3.3,7.7,3.431,1.555,0.952,0.179,0.105,15.5,7.2,16000,2500,72.2
149.717,3.4,6.6,2.79,1.701,0.498,0.176,0.076,2.3,5.7,85000,22000,234.5
45.49,3.9,7.7,3.116,1.483,0.881,0.195,0.082,59.5,6.1,10000,3400,29.1
26.433,4,5.9,3.496,1.313,1.536,0.144,0.104,39.4,6,14000,3800,36.3
15.109,4.2,7.5,3.704,1.65,1.374,0.15,0.077,45.5,7,100,20,0
16.343,4.7,8.3,4.616,1.895,2.216,0.147,0.082,39.7,7.4,560,120,1.5
35.482,5.4,8.4,3.714,1.197,1.642,0.177,0.121,90.1,6.9,22000,6400,31.5
21.121,4.1,9,3.728,1.295,1.557,0.219,0.13,69.5,7.1,3800,200,0.3
14.17,4.4,9.9,3.535,1.1,1.231,0.193,0.106,53,8.4,7600,560,5.9
23.971,3.8,7.5,3.634,1.046,1.697,0.286,0.144,52.8,6.8,17000,5000,42.2
51.974,5.3,6.8,3.972,2.105,1.356,0.13,0.041,90.4,6.4,7400,1900,7.4
25.412,4.7,7.5,3.884,1.729,1.691,0.135,0.078,31.9,5.5,11000,3500,37.8
48.886,1.8,7.3,2.605,1.726,0.499,0.183,0.129,3.4,5.2,28000,3000,152.5
20.164,4.6,6.4,3.991,2.387,0.759,0.158,0.06,72.2,5.6,2600,300,2
57.136,2.8,6.2,3.32,1.159,1.168,0.27,0.189,10.5,5,15000,6600,78.3
