Flow,pH,DO,BOD,SS,EC,NH3N,TP,PO4P,TOC,TC,FC,Precipitation
3.536,7.5,11.2,1.6,3.4,289,0.278,0.062,0.023,3.4,3400,10,0
3.138,7.3,12.1,1.1,2.5,293,0.127,0.054,0.011,3.4,1300,90,0.3
3.858,7.4,13.1,1.6,3.9,310,0.137,0.049,0.014,4.5,3500,150,14.2
3.382,7.9,12.9,1.8,6.4,377,0.4,0.071,0.025,3.8,1800,230,22.6
5.861,6.7,15.4,1.6,6.7,290,0.37,0.092,0.044,4.5,18000,120,9.3
3.865,7,12.8,1.8,4.9,314,0.187,0.049,0.016,4,600,420,0.1
11.957,7.5,12.4,3.1,14.2,280,0.365,0.112,0.045,5.5,7600,1200,35.2
8.273,7.2,13.3,1.8,8.4,198,0.069,0.038,0.018,3,6100,130,0.6
3.857,7.4,13.3,2.1,5.3,305,0.242,0.054,0.026,3.6,3000,30,7.7
15.634,7.1,10.4,4.8,43.8,181,0.332,0.191,0.058,6.7,24000,1500,43
5.196,6.5,12.1,1.6,8,270,0.184,0.078,0.015,3.8,5100,90,4.5
3.571,7,10.9,1.8,6.9,344,0.111,0.07,0.018,4.1,1800,20,10.9
2.515,8,13.1,3.2,11.3,336,0.037,0.088,0.003,5.7,800,0,0
2.576,8.1,12.1,4.7,14.6,477,0.07,0.066,0.002,5.4,400,10,3.1
4.904,7.7,9.3,2.4,10.1,175,0.067,0.1,0.017,5.3,1400,100,47.3
18.619,6.6,9.6,3.6,32.5,182,0.322,0.195,0.054,6,10000,2500,46.4
10.573,6.8,9.3,1.4,10.4,184,0.1,0.07,0.014,3.5,2100,370,27
8.255,7.1,14.6,1.3,9.9,228,0.063,0.058,0.024,3.5,4800,460,78.5
5.402,6.7,10.3,1.3,7.7,247,0.061,0.054,0.025,3.6,2100,60,18.3
13.159,7.4,9.9,2.6,15.7,277,0.12,0.102,0.043,5.3,9400,860,44.4
3.931,7.2,10.1,2.5,12,303,0.238,0.155,0.064,5.8,1600,120,0
7.231,6.9,6.7,3.2,15.3,255,0.323,0.132,0.079,6.4,1300,320,1.8
10.646,6.9,8.2,2.9,18.1,231,0.282,0.136,0.072,7.4,11000,560,19.9
7.598,6.8,7.1,2.8,9.9,215,0.328,0.111,0.047,6.6,7000,300,0.1
5.833,6.8,6.2,2.2,10.8,261,0.163,0.097,0.052,6.9,1000,100,20.5
