date,a_Chla,b_GLM,c_GAM,d_TVCM,e_XGBoost,f_SVM,g_DNN,h_CNN
2022.01.03,72.3,77.9810406,79.37557962,80.99259903,74.52631,66.74912343,46.18332,54.901394
2022.01.10,97.2,133.9253077,104.1768565,137.7138996,60.612858,57.40870266,45.67694,52.542355
2022.01.17,54.9,64.24296539,61.55117704,44.21368621,73.65756,33.10669289,42.322895,46.041927
2022.01.24,71.9,67.79912937,69.05715022,68.91538217,70.874565,65.76994195,47.426807,50.266968
2022.02.03,71.1,78.7646541,78.8287052,70.09389609,67.35715,78.65306356,49.48491,53.36549
2022.02.07,85.2,91.84373279,83.43691609,87.2136985,91.90443,84.13098887,55.278244,62.27046
2022.02.14,82.1,94.7517946,83.98938038,81.66779715,76.68793,59.0668482,55.643417,60.75415
2022.02.21,71.3,67.38444404,67.38332466,54.03527258,65.824394,61.739645,45.624355,50.06688
2022.02.28,84.1,113.8935462,103.287076,88.68091206,111.43699,91.82469716,64.54826,71.24609
2022.03.07,115,134.3584726,112.49016,115.7417591,131.64368,87.95608555,66.675125,77.35284
2022.03.14,15.4,38.14750398,38.45839281,29.78526134,26.882275,58.86316751,41.99494,46.355827
2022.03.21,5.7,26.13268676,24.35961546,25.02765064,35.75189,48.13865923,32.9963,37.1503
2022.03.28,25.3,29.86920341,36.39246427,23.21998388,75.55092,52.6591326,37.078304,46.137947
2022.04.04,111.6,124.837553,107.8513468,164.0968681,182.65732,143.6447282,72.52266,83.19786
2022.04.11,178,302.5055784,143.3510226,232.7346661,131.38208,72.49592061,80.11233,86.25777
2022.04.18,30.8,82.22980327,55.11497133,73.65127635,58.37984,27.37575727,50.32004,51.70183
2022.04.25,92.8,327.8671453,123.0664351,205.182214,74.880554,65.38974288,62.02635,55.76209
2022.05.02,119.3,206.0861755,120.5902872,180.8880657,33.033985,66.70498726,75.23236,84.71095
2022.05.09,54.7,186.8493542,100.555758,107.1756033,74.8228,43.9881462,67.18948,69.65631
2022.05.16,77.7,379.59087,149.9263027,248.449672,118.555405,64.10547127,77.184654,91.20301
2022.05.23,130.5,732.6519533,270.793682,563.0674403,142.02943,87.29135682,85.81253,103.802124
2022.05.30,95.5,410.2952853,247.992012,374.099012,120.19482,117.9338608,72.32086,87.85455
2022.06.07,18.9,79.95883717,73.84901726,125.6324312,69.63183,84.61852154,46.919033,49.79987
2022.06.13,71.1,138.4593997,99.67667027,142.0285985,88.89545,81.64291954,63.265965,76.691696
2022.06.20,49.4,148.2399266,114.0035906,139.2980876,92.92151,83.55315842,60.52927,77.1744
2022.06.27,23.4,56.05337138,66.5977773,99.91024712,52.974003,69.04199528,61.174416,70.34534
2022.07.04,67.4,167.8018908,170.5083529,240.1159977,64.2177,94.48416065,67.39693,81.007774
2022.07.11,79.3,138.3276829,133.9810066,254.6821892,62.184875,54.39579307,66.219795,69.31919
2022.07.19,11.8,27.81377731,29.70312179,21.68048591,30.446218,35.06341265,9.276346,21.40198
2022.07.25,31.6,37.80057177,39.54486023,47.4496544,46.03933,43.91591283,40.80242,44.932426
2022.08.01,15,38.89789841,38.49503013,37.47470906,31.328312,41.36397667,25.828712,32.222206
2022.08.08,84,341.9974518,324.185728,773.1280044,96.97114,126.8068206,87.72851,87.74448
2022.08.17,21.3,21.33307607,19.39975813,21.2913269,39.06991,45.52889645,29.249657,27.515139
2022.08.22,26.4,48.37642643,55.0816331,88.24688426,55.206345,53.77985472,51.07787,55.899616
2022.08.29,80.7,128.5690937,120.362521,173.1441884,75.595024,124.6351973,65.72323,73.53908
2022.09.05,48.7,99.36485728,41.50018285,213.0751183,63.71001,53.35566403,25.566055,22.643738
2022.09.13,43.7,63.63050268,69.4429271,71.947904,67.69882,59.45724165,54.37947,58.059284
2022.09.19,48.8,57.09423738,55.1120521,91.97232832,57.238426,48.58992002,53.17023,57.784794
2022.09.26,56.8,122.0752417,150.2168469,208.3209536,135.87012,123.6716796,67.29817,80.285194
2022.10.05,17.6,47.78794809,50.84804547,62.8268661,64.39922,66.00206621,49.63377,52.802765
2022.10.11,31.7,85.24662219,87.81328417,89.86548815,81.67506,67.32233888,57.672863,71.97734
2022.10.17,61.3,147.2508796,143.9480783,283.2081646,105.41551,90.46363661,65.30942,84.93664
2022.10.24,60.1,108.6935545,111.8291537,119.4359357,103.003204,75.37388193,62.732937,83.99644
2022.11.01,28.4,70.09179104,64.05374945,75.40870562,49.939106,75.33519397,46.950535,58.547173
2022.11.07,22.3,75.49950456,65.79598564,59.48764737,50.248737,75.31267647,46.44945,56.992016
2022.11.14,18.5,87.92303113,65.9672129,75.02820684,46.146393,56.24558434,41.847958,46.516182
2022.11.21,17.2,39.72216335,38.08577307,44.25448482,42.056065,31.82552968,37.490307,49.651917
2022.11.28,17.1,35.73380914,33.02600671,30.51225012,38.173275,32.04886758,33.532803,42.383274
2022.12.05,11.4,39.2328837,41.57516718,26.72147997,48.471836,52.49271798,34.780067,44.93998
2022.12.12,20.9,61.38188596,59.28621559,42.29595125,51.77171,64.36020876,39.92834,51.51205
