Code,WT,DO,pH,ED,BOD,COD,TOC,SS,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,Toxic CYA,Non-toxic CYA
St 1-1,1.2 ,13.4 ,7.8 ,389 ,0.7,3.8,2.4,33.6,3.886 ,0.171 ,0.114 ,0.9,3.600 ,0.175 ,75 ,85 ,0,0
St 1-2,1.1 ,13.2 ,7.7 ,371 ,0.3,4.1,2.5,28.8,3.847 ,0.162 ,0.101 ,1.6,3.256 ,0.194 ,865 ,96 ,14,0
St 1-3,3.3 ,12.3 ,7.6 ,359 ,0.8,4.9,2.9,58.0,3.367 ,0.183 ,0.102 ,2.3,2.484 ,0.322 ,198 ,57 ,0,0
St 1-4,6.3 ,12.3 ,7.7 ,343 ,0.8,4.2,2.7,43.6,3.225 ,0.194 ,0.109 ,5.6,3.113 ,0.220 ,175 ,29 ,0,0
St 1-5,6.8 ,11.6 ,7.8 ,306 ,1.4,6.2,4.6,94.8,3.969 ,0.176 ,0.066 ,5.6,3.205 ,0.196 ,433 ,122 ,7,0
St 1-6,10.0 ,12.2 ,8.0 ,372 ,1.4,4.8,3.5,31.6,3.544 ,0.157 ,0.086 ,28.3,3.316 ,0.080 ,905 ,210 ,0,0
St 1-7,15.0 ,11.1 ,8.3 ,356 ,2.0,5.2,3.2,30.4,2.804 ,0.127 ,0.048 ,31.6,2.623 ,0.047 ,458 ,96 ,233,0
St 1-8,14.0 ,10.0 ,7.7 ,321 ,2.7,8.7,5.7,157.5,2.794 ,0.226 ,0.065 ,32.1,2.091 ,0.116 ,3610 ,565 ,186,0
St 1-9,15.0 ,8.9 ,7.4 ,128 ,3.7,15.3,11.3,406.0,3.513 ,0.349 ,0.059 ,16.3,3.004 ,0.080 ,7500 ,1415 ,125,0
St 1-10,20.0 ,9.0 ,7.6 ,278 ,1.6,5.3,4.2,56.2,3.236 ,0.130 ,0.054 ,15.5,2.909 ,0.064 ,1287 ,173 ,0,261
St 1-11,22.0 ,8.7 ,8.0 ,212 ,1.1,4.9,3.7,56.0,2.056 ,0.105 ,0.022 ,8.1,1.807 ,0.043 ,715 ,129 ,89,0
St 1-12,26.0 ,11.0 ,8.7 ,229 ,1.9,6.3,4.6,42.4,1.668 ,0.111 ,0.009 ,43.2,1.643 ,0.010 ,495 ,161 ,157,47
St 1-13,26.0 ,7.9 ,7.6 ,164 ,1.2,4.8,3.5,44.4,2.657 ,0.109 ,0.046 ,11.1,2.384 ,0.033 ,11500 ,3025 ,57,0
St 1-14,25.0 ,8.1 ,7.7 ,144 ,1.0,4.8,3.3,46.4,2.697 ,0.140 ,0.067 ,7.1,2.406 ,0.066 ,2700 ,835 ,0,210
St 1-15,23.0 ,7.8 ,7.5 ,115 ,3.2,10.2,7.8,192.0,2.210 ,0.279 ,0.090 ,8.3,1.892 ,0.102 ,58000 ,25450 ,129,0
St 1-16,23.0 ,7.9 ,7.7 ,186 ,1.1,4.3,3.0,32.0,2.448 ,0.101 ,0.056 ,6.9,2.239 ,0.081 ,10950 ,900 ,438,149
St 1-17,26.0 ,12.5 ,8.9 ,227 ,3.0,6.8,5.5,21.6,2.327 ,0.085 ,0.009 ,60.0,1.695 ,0.034 ,1025 ,395 ,1994,1464
St 1-18,22.0 ,8.7 ,7.8 ,209 ,1.2,4.5,3.2,38.7,2.533 ,0.110 ,0.046 ,25.7,2.254 ,0.024 ,435 ,190 ,696,2510
St 1-19,20.0 ,12.8 ,8.5 ,249 ,3.1,5.2,3.4,14.8,2.827 ,0.111 ,0.053 ,38.7,2.317 ,0.028 ,345 ,64 ,194,141
St 1-20,16.0 ,10.4 ,8.0 ,195 ,1.3,4.9,3.2,14.2,2.568 ,0.071 ,0.037 ,11.6,2.412 ,0.036 ,895 ,148 ,33,59
St 1-21,17.0 ,10.3 ,8.0 ,258 ,1.2,4.5,3.1,13.0,2.380 ,0.065 ,0.022 ,16.7,1.994 ,0.031 ,450 ,173 ,73,0
St 1-22,9.0 ,13.7 ,8.0 ,315 ,1.8,5.4,3.1,17.2,2.463 ,0.120 ,0.036 ,61.8,2.221 ,0.015 ,1635 ,380 ,0,0
St 1-23,6.0 ,13.0 ,7.8 ,260 ,1.0,3.8,2.5,13.3,3.324 ,0.074 ,0.054 ,4.3,3.234 ,0.055 ,980 ,80 ,57,0
St 1-24,1.0 ,16.2 ,7.6 ,284 ,0.6,3.1,2.0,10.2,3.076 ,0.077 ,0.047 ,1.1,2.318 ,0.074 ,40 ,9 ,0,0
St 2-1,1.6 ,3.2 ,7.9 ,396 ,0.8,3.6,2.4,26.8,3.996 ,0.118 ,0.067 ,3.5,3.646 ,0.195 ,98 ,0 ,0,0
St 2-2,1.5 ,13.6 ,7.7 ,409 ,0.4,4.1,2.4,32.4,4.067 ,0.142 ,0.075 ,2.7,3.681 ,0.204 ,195 ,7 ,0,0
St 2-3,2.7 ,13.2 ,7.9 ,367 ,0.7,4.2,2.6,28.4,3.647 ,0.138 ,0.067 ,5.8,2.704 ,0.253 ,33 ,2 ,0,0
St 2-4,7.8 ,12.8 ,7.7 ,357 ,0.8,3.9,2.9,32.4,3.319 ,0.167 ,0.094 ,3.5,3.203 ,0.294 ,283 ,0 ,0,0
St 2-5,6.4 ,11.5 ,7.7 ,291 ,1.5,5.4,4.4,73.6,3.694 ,0.156 ,0.053 ,6.2,2.794 ,0.214 ,225 ,55 ,0,7
St 2-6,10.0 ,12.7 ,8.0 ,372 ,2.2,5.9,4.2,43.2,3.678 ,0.145 ,0.049 ,39.9,3.440 ,0.049 ,128 ,0 ,0,0
St 2-7,17.0 ,13.3 ,8.8 ,381 ,2.6,6.3,4.6,19.2,2.982 ,0.085 ,0.004 ,43.8,2.751 ,0.042 ,35 ,0 ,30,0
St 2-8,15.0 ,9.2 ,8.0 ,340 ,2.3,5.3,3.7,42.0,2.480 ,0.118 ,0.022 ,28.2,1.938 ,0.095 ,645 ,102 ,123,0
St 2-9,15.0 ,8.8 ,7.4 ,132 ,2.1,18.4,13.2,552.0,3.764 ,0.356 ,0.015 ,19.5,2.833 ,0.093 ,9100 ,1060 ,51,0
St 2-10,20.0 ,9.0 ,7.9 ,251 ,2.8,8.4,6.6,101.2,3.473 ,0.180 ,0.023 ,36.0,2.612 ,0.058 ,625 ,114 ,35,28
St 2-11,23.0 ,8.4 ,7.9 ,223 ,1.7,5.1,3.7,52.4,2.068 ,0.105 ,0.027 ,5.6,1.903 ,0.053 ,625 ,64 ,0,30
St 2-12,29.0 ,10.5 ,9.0 ,238 ,3.2,8.8,6.5,58.0,1.687 ,0.145 ,0.003 ,69.9,1.510 ,0.017 ,235 ,82 ,78,553
St 2-13,25.0 ,7.8 ,7.6 ,165 ,1.8,5.6,4.2,68.4,3.023 ,0.135 ,0.050 ,10.6,2.348 ,0.041 ,1310 ,510 ,52,0
St 2-14,25.0 ,8.0 ,7.5 ,161 ,1.2,5.0,4.0,48.8,2.694 ,0.128 ,0.058 ,8.5,2.248 ,0.093 ,553 ,438 ,55,580
St 2-15,24.0 ,7.0 ,7.4 ,134 ,3.5,13.2,10.5,326.0,2.405 ,0.373 ,0.075 ,14.1,1.963 ,0.084 ,16600 ,6400 ,0,0
St 2-16,22.0 ,7.9 ,7.8 ,174 ,0.9,5.2,3.6,35.6,2.199 ,0.114 ,0.056 ,7.1,1.995 ,0.079 ,2450 ,1070 ,295,0
St 2-17,29.0 ,9.4 ,8.9 ,228 ,0.8,4.9,3.1,16.3,2.170 ,0.051 ,0.008 ,9.3,1.536 ,0.062 ,1 ,7 ,676,892
St 2-18,23.0 ,7.9 ,7.9 ,197 ,1.0,4.5,3.4,19.8,2.371 ,0.081 ,0.029 ,32.6,2.000 ,0.040 ,175 ,61 ,1324,960
St 2-19,20.0 ,14.6 ,9.0 ,229 ,3.4,6.1,3.8,13.8,2.363 ,0.066 ,0.010 ,41.1,1.923 ,0.049 ,70 ,15 ,823,61
St 2-20,17.0 ,10.3 ,7.9 ,218 ,1.2,4.9,3.2,27.8,2.214 ,0.056 ,0.027 ,10.2,2.046 ,0.046 ,120 ,8 ,0,0
St 2-21,16.0 ,10.1 ,8.0 ,271 ,1.9,5.6,4.1,22.3,2.318 ,0.091 ,0.025 ,20.5,1.965 ,0.055 ,205 ,33 ,74,111
St 2-22,9.0 ,15.9 ,8.6 ,314 ,2.4,6.5,4.0,17.0,2.305 ,0.092 ,0.006 ,119.6,1.956 ,0.016 ,178 ,22 ,164,0
St 2-23,6.0 ,13.4 ,7.8 ,264 ,1.2,4.8,3.3,19.6,3.234 ,0.082 ,0.055 ,10.5,3.123 ,0.037 ,445 ,13 ,52,0
St 2-24,2.0 ,15.6 ,7.5 ,275 ,0.6,2.9,2.1,8.3,3.087 ,0.056 ,0.045 ,9.1,2.195 ,0.029 ,3 ,2 ,42,0
