Code,WT,EC,TOC,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,HRT,Toxic CYA,Non-toxic CYA
St 1-1,5.4,423,3.6,2.698,0.022,0,14.3,1.808,0.221,9,0,32.6,58,0
St 1-2,4.6,433,3.6,2.744,0.025,0,12,1.794,0.158,9,1,41.5,270,90
St 1-3,4,453,3.3,2.97,0.04,0.004,13.1,2.05,0.254,13,1,250.2,185,0
St 1-4,3.6,519,4,3.916,0.029,0.004,14.8,2.565,0.621,17,1,84.4,0,0
St 1-5,4.6,560,4.3,4.313,0.033,0.006,18.1,2.779,0.703,25,1,47.7,0,0
St 1-6,5.3,596,4.5,4.12,0.036,0.004,29.6,2.667,0.554,19,0,64.8,0,0
St 1-7,6.9,543,4.2,4.233,0.023,0.005,22.4,2.781,0.79,683,16,37.9,0,0
St 1-8,7.2,347,3,3.216,0.025,0.003,13.1,2.39,0.144,42,1,9,0,0
St 1-9,8.4,374,3.3,3.615,0.028,0.003,17.3,2.743,0.123,48,2,20.2,0,0
St 1-10,10.7,414,3.7,3.722,0.027,0.003,14.5,2.934,0.072,10,0,35.7,0,0
St 1-11,12,440,3.7,3.36,0.029,0,12.8,2.941,0.063,288,24,54.5,0,0
St 1-12,13.6,368,3.9,3.377,0.028,0,10.8,2.692,0.092,358,12,16.2,35,100
St 1-13,15.2,311,4.6,3.101,0.044,0.009,23.8,2.493,0.072,245,19,8.6,0,122
St 1-14,16.2,277,3.5,2.605,0.037,0,17.3,2.111,0.047,210,10,3.6,97,424
St 1-15,16.9,231,4.3,2.725,0.031,0.003,19.5,2.15,0.031,120,6,4.8,42,1480
St 1-16,18.3,241,4.3,2.601,0.04,0.004,32.8,2.064,0.056,52,2,6.4,164,1330
St 1-17,19.5,268,4.7,2.516,0.027,0,42.1,1.936,0.065,630,14,8.3,29,400
St 1-18,21.2,274,3.8,2.396,0.027,0.003,8.1,1.878,0.048,254,1,10.3,192,54
St 1-19,22.5,303,3.6,2.281,0.02,0,13.9,1.743,0.069,46,0,11.4,7600,1450
St 1-20,23.2,288,3.6,2.148,0.019,0.005,5.3,1.608,0.155,46,0,18.8,19738,1767
St 1-21,24.3,303,3.6,2.09,0.019,0.005,5.8,1.459,0.202,225,5,12.3,7808,2340
St 1-22,25,303,4,1.72,0.022,0,15.1,1.194,0.197,16,0,10.3,2591,1260
St 1-23,25.8,299,3.9,1.587,0.028,0,17.8,1.049,0.176,44,4,9.4,15816,5017
St 1-24,25.1,211,3.7,1.291,0.046,0.023,6.6,0.872,0.176,800,103,6.1,508,780
St 1-25,26.1,219,5.2,3.91,0.058,0.036,13.3,2.672,0.118,560,113,4.2,657,5976
St 1-26,27,265,4.4,3.269,0.034,0.019,3.3,2.666,0.145,90,7,9.6,331,20
St 1-27,28.6,301,4.3,3.096,0.034,0,15.5,2.357,0.122,690,54,11.5,1318,590
St 1-28,29.7,289,4.4,2.547,0.019,0.003,27.2,1.926,0.086,99,4,9.5,5400,1090
St 1-29,30.4,268,4.1,2.332,0.037,0.007,13.8,1.498,0.118,74,19,13.8,790,3225
St 1-30,30.6,309,4.5,2.133,0.034,0,13.4,1.23,0.067,23,10,11.9,1070,5440
St 1-31,27.7,314,4.2,1.71,0.024,0.008,13.1,1.039,0.159,670,49,8.6,230,0
St 1-32,24.7,228,4.4,1.578,0.041,0.011,12.3,1.045,0.134,1560,218,5,401,0
St 1-33,24.9,227,3.7,1.594,0.018,0.005,11.1,1.153,0.128,280,43,6.7,1364,1800
St 1-34,21.9,191,6.9,2.584,0.093,0.066,6,1.943,0.123,5700,450,4.8,150,365
St 1-35,21.4,202,5.9,2.551,0.057,0.039,8,2.036,0.095,470,75,4.9,691,1100
St 1-36,21.4,229,6,2.727,0.047,0.026,12,2.021,0.082,810,153,7.4,339,1200
St 1-37,19.3,201,5.6,2.741,0.095,0.065,6.5,2.174,0.073,5050,490,2.8,111,275
