WT,Chl-a,Toxic CYA,Non-toxic CYA
5.4,14.3,58,0
4.6,12,270,90
4,13.1,185,0
3.6,14.8,0,0
4.6,18.1,0,0
5.3,29.6,0,0
6.9,22.4,0,0
7.2,13.1,0,0
8.4,17.3,0,0
10.7,14.5,0,0
12,12.8,0,0
13.6,10.8,35,100
15.2,23.8,0,122
16.2,17.3,97,424
16.9,19.5,42,1480
18.3,32.8,164,1330
19.5,42.1,29,400
21.2,8.1,192,54
22.5,13.9,7600,1450
23.2,5.3,19738,1767
24.3,5.8,7808,2340
25,15.1,2591,1260
25.8,17.8,15816,5017
25.1,6.6,508,780
26.1,13.3,657,5976
27,3.3,331,20
28.6,15.5,1318,590
29.7,27.2,5400,1090
30.4,13.8,790,3225
30.6,13.4,1070,5440
27.7,13.1,230,0
24.7,12.3,401,0
24.9,11.1,1364,1800
21.9,6,150,365
21.4,8,691,1100
21.4,12,339,1200
19.3,6.5,111,275
18.9,23.3,280,0
18.3,39,143,220
16.5,49,0,0
14,48,0,210
13,10.5,115,1370
12.9,9.9,0,827
9.8,16.2,0,2700
8.2,13.3,0,5890
6.8,11.6,0,1130
5.8,10.6,0,360
5.7,16.4,0,440
5.5,8.1,1890,0
4.8,10.7,1160,0
3,12,48,0
4,15.8,0,0
4.5,17.4,0,0
5,14.1,0,0
6,13.1,0,100
7.1,24.4,0,0
8.5,19,0,0
10.6,11.8,0,0
10.5,12.3,0,0
11.5,13,0,21
14.3,11.3,46,100
15.9,14.7,24,0
16.6,25.5,34,630
18.5,43,211,1780
18.9,20.3,503,750
20.1,4.6,4050,280
21.2,4.7,6200,800
22.1,7.9,3951,740
22.5,7.5,16328,5520
23.5,8.3,4040,1186
25.1,8.4,2921,327
25.4,7.3,3022,260
23,2.2,465,200
25,9.6,554,9350
26.2,11.3,2622,200
27.7,19.8,4618,417
27.8,48.8,5104,180
29.4,7.8,5987,3600
29.3,5.7,1140,1040
27.5,9,1179,0
25.1,16.5,760,30
25.1,25.3,3209,450
22.4,7.1,57,250
21.7,8.2,507,0
21.6,8.5,1059,525
20,7.7,231,0
19,11.4,164,130
18.5,37.3,40,2160
17.2,40.4,0,925
14.5,40.1,55,1430
13.3,12.6,523,790
12.8,7.7,441,0
10.3,17.2,56,3040
8.8,13.2,0,3510
7.2,10.7,0,5780
6.1,10.7,0,3270
5.9,9.8,0,2870
2.4,7,0,0
4,12.8,0,0
5.7,16.3,0,0
5.8,13.7,0,0
6,17.6,0,0
9,11,101,106
8.1,15.9,0,142
11.3,26.7,0,171
12.3,13.3,0,139
14.4,7.7,118,229
14.6,13.8,0,142
15.2,15.5,35,82
16.8,13.9,176,0
17.6,21.7,0,30
18.7,36.9,162,1744
19.7,39.9,120,1040
22.3,20.6,9011,1011
22.9,22.9,15772,5959
23.3,11.9,11090,5060
23.4,10.9,24229,9833
24.6,15.5,23175,7800
24.3,19.4,11381,5750
23.9,16.5,1160,1060
25,10.4,956,333
26.1,26.6,1838,1630
27.5,30.9,5917,1478
29.4,12.9,16654,2900
30.3,27,12953,1217
30.8,27.9,79155,3451
30.8,37.7,204012,3950
27.6,41.2,67067,1130
23.9,18.2,1575,339
24.5,25.1,4491,280
21.4,7.2,1128,787
22.3,20.8,1324,4080
21.9,27.7,828,2500
20,22.1,418,890
18.9,30.3,1042,760
18.6,34.9,1086,560
16.8,52.4,365,4020
14,84.1,0,2060
13.4,32.2,157,1330
13.2,10,1058,30
10.3,9,1158,0
8.3,12.7,4277,110
7.1,6.8,2808,0
5.7,7.7,602,40
7.2,8.2,143,1819
