TOC,TP,TC,FC
2.4,0.171,75,85
2.5,0.162,865,96
2.9,0.183,198,57
2.7,0.194,175,29
4.6,0.176,433,122
3.5,0.157,905,210
3.2,0.127,458,96
5.7,0.226,3610,565
11.3,0.349,7500,1415
4.2,0.13,1287,173
3.7,0.105,715,129
4.6,0.111,495,161
3.5,0.109,11500,3025
3.3,0.14,2700,835
7.8,0.279,58000,25450
3,0.101,10950,900
5.5,0.085,1025,395
3.2,0.11,435,190
3.4,0.111,345,64
3.2,0.071,895,148
3.1,0.065,450,173
3.1,0.12,1635,380
2.5,0.074,980,80
2,0.077,40,9
2.4,0.118,98,0
2.4,0.142,195,7
2.6,0.138,33,2
2.9,0.167,283,0
4.4,0.156,225,55
4.2,0.145,128,0
4.6,0.085,35,0
3.7,0.118,645,102
13.2,0.356,9100,1060
6.6,0.18,625,114
3.7,0.105,625,64
6.5,0.145,235,82
4.2,0.135,1310,510
4,0.128,553,438
10.5,0.373,16600,6400
3.6,0.114,2450,1070
3.1,0.051,1,7
3.4,0.081,175,61
3.8,0.066,70,15
3.2,0.056,120,8
4.1,0.091,205,33
4,0.092,178,22
3.3,0.082,445,13
2.1,0.056,3,2
2.9,0.097,110,0
2.9,0.107,188,16
3.6,0.135,68,6
4.1,0.142,178,1
3.7,0.132,188,14
7.4,0.164,1065,1
5.6,0.15,73,5
4.4,0.113,463,56
12.2,0.353,9100,1200
4.4,0.111,490,80
4.1,0.111,240,18
4.5,0.092,52,22
4.3,0.129,820,350
4.3,0.093,200,100
6.9,0.247,11600,4250
3.3,0.089,2075,815
5.4,0.104,2,9
5.2,0.145,8,5
4.4,0.1,1,0
4.3,0.111,39,5
4.6,0.122,333,71
3.9,0.086,1245,193
5.9,0.124,255,13
5.7,0.12,19,3
