point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,2.184 ,2.371 ,2.446 ,2.227 ,2.103 ,2.226 ,2.377 ,2.232 ,2.280 ,2.387 ,1.744 ,2.522 ,2.238 ,2.641 ,2.158 
b_상주3,2.143 ,2.383 ,2.536 ,2.088 ,2.075 ,2.313 ,2.440 ,2.241 ,2.325 ,2.435 ,1.750 ,2.442 ,2.114 ,2.589 ,2.151 
c_산곡,2.025 ,2.338 ,2.426 ,2.186 ,2.067 ,2.222 ,2.483 ,2.043 ,2.061 ,2.320 ,1.670 ,2.374 ,2.004 ,2.494 ,2.187 
d_강정,2.201 ,2.427 ,2.489 ,2.253 ,2.178 ,2.330 ,2.464 ,2.371 ,2.215 ,2.494 ,1.820 ,2.521 ,2.189 ,2.676 ,2.044 
e_구미,2.896 ,3.276 ,2.750 ,2.531 ,2.857 ,2.690 ,2.811 ,2.693 ,2.605 ,2.867 ,2.268 ,2.799 ,2.463 ,2.819 ,2.369 
f_왜관,2.708 ,2.823 ,2.717 ,2.665 ,2.554 ,2.834 ,2.802 ,2.519 ,2.547 ,2.806 ,2.249 ,2.720 ,2.476 ,2.854 ,2.339 
g_성주,2.622 ,2.745 ,2.604 ,2.708 ,2.442 ,2.740 ,2.829 ,2.449 ,2.382 ,2.747 ,2.085 ,2.498 ,2.216 ,2.701 ,2.387 
h_달성,2.479 ,2.628 ,2.612 ,2.493 ,2.343 ,2.609 ,2.778 ,2.429 ,2.267 ,2.625 ,2.036 ,2.408 ,2.191 ,2.626 ,2.351 
i_화원나루,3.923 ,4.296 ,4.316 ,3.973 ,4.036 ,4.168 ,3.915 ,3.137 ,2.952 ,3.979 ,3.100 ,3.687 ,3.184 ,3.493 ,3.071 
j_고령,3.564 ,3.731 ,3.860 ,3.897 ,3.971 ,3.803 ,3.815 ,3.533 ,3.239 ,3.662 ,3.305 ,3.433 ,3.044 ,3.368 ,3.177 
k_현풍,3.544 ,3.685 ,3.716 ,4.021 ,3.859 ,3.670 ,3.496 ,3.462 ,3.228 ,3.661 ,3.286 ,3.370 ,3.271 ,3.493 ,3.081 
l_창녕,3.256 ,3.347 ,3.153 ,3.199 ,3.703 ,3.517 ,3.496 ,3.208 ,2.924 ,3.121 ,2.823 ,3.086 ,2.893 ,3.047 ,2.828 
m_합천,2.892 ,2.857 ,2.954 ,2.947 ,3.324 ,3.139 ,3.103 ,2.979 ,2.890 ,3.111 ,2.857 ,3.033 ,2.929 ,3.143 ,2.893 
n_남지,2.630 ,2.910 ,2.751 ,2.713 ,2.786 ,2.792 ,2.768 ,2.665 ,2.486 ,2.514 ,2.212 ,2.456 ,2.473 ,2.562 ,2.431 
