point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,8.7 ,9.5 ,10.3 ,10.5 ,9.0 ,7.9 ,5.6 ,11.1 ,25.1 ,17.5 ,15.0 ,15.3 ,16.8 ,18.6 ,20.1 
b_위천,8.4 ,9.5 ,5.4 ,7.8 ,5.0 ,5.9 ,4.6 ,6.7 ,6.5 ,4.8 ,8.6 ,5.6 ,8.0 ,8.5 ,6.6 
c_상주3,8.1 ,9.9 ,9.9 ,5.3 ,13.6 ,8.3 ,8.2 ,14.4 ,19.6 ,14.8 ,12.1 ,12.3 ,18.0 ,16.3 ,18.9 
d_산곡,9.8 ,8.4 ,14.5 ,15.1 ,17.9 ,7.9 ,8.3 ,15.0 ,22.7 ,15.1 ,14.2 ,18.6 ,19.9 ,20.6 ,18.5 
e_감천,5.5 ,9.2 ,9.4 ,10.0 ,8.0 ,5.3 ,4.5 ,2.5 ,3.3 ,4.8 ,9.1 ,7.0 ,6.0 ,5.6 ,5.4 
f_강정,11.1 ,14.9 ,16.2 ,19.2 ,19.3 ,8.9 ,9.2 ,9.8 ,12.9 ,12.2 ,13.8 ,14.6 ,17.0 ,17.0 ,16.4 
g_구미,19.6 ,15.8 ,18.6 ,14.4 ,31.3 ,13.5 ,14.8 ,17.7 ,21.6 ,28.9 ,19.1 ,16.9 ,16.8 ,23.0 ,25.2 
h_왜관,13.4 ,13.3 ,22.1 ,24.8 ,33.6 ,14.8 ,17.8 ,20.0 ,20.2 ,27.4 ,20.4 ,19.3 ,16.8 ,21.9 ,20.1 
i_성주,18.6 ,29.4 ,31.3 ,37.8 ,37.8 ,17.3 ,18.4 ,18.3 ,26.2 ,28.2 ,17.3 ,22.4 ,15.9 ,21.9 ,22.8 
j_달성,26.6 ,30.8 ,36.5 ,35.9 ,46.0 ,16.0 ,19.7 ,22.2 ,23.7 ,27.3 ,17.9 ,23.2 ,16.7 ,20.9 ,20.5 
k_금호강,33.8 ,38.7 ,44.7 ,56.5 ,61.2 ,35.9 ,34.7 ,43.5 ,47.2 ,49.8 ,61.0 ,45.3 ,53.8 ,35.6 ,30.8 
l_화원나루,29.4 ,49.4 ,54.3 ,42.4 ,44.0 ,18.8 ,14.6 ,22.5 ,24.4 ,35.3 ,35.2 ,23.8 ,22.2 ,21.6 ,22.5 
m_고령,32.8 ,41.5 ,46.9 ,56.7 ,64.0 ,25.4 ,27.9 ,28.1 ,31.5 ,32.5 ,34.9 ,32.3 ,22.3 ,25.8 ,27.1 
n_현풍,34.5 ,56.2 ,71.6 ,66.1 ,55.6 ,24.7 ,27.4 ,30.5 ,29.6 ,32.7 ,30.1 ,24.7 ,22.0 ,26.4 ,21.9 
o_회천,7.9 ,9.4 ,9.5 ,11.5 ,12.6 ,7.5 ,4.4 ,7.7 ,7.2 ,6.3 ,7.3 ,6.9 ,9.6 ,10.1 ,6.1 
p_창녕,52.9 ,60.7 ,52.6 ,59.3 ,45.1 ,33.1 ,36.2 ,33.8 ,29.2 ,26.3 ,22.1 ,21.3 ,24.0 ,38.6 ,22.0 
q_황강,1.9 ,3.6 ,2.6 ,1.9 ,3.4 ,3.4 ,3.6 ,3.4 ,2.3 ,4.3 ,2.8 ,3.2 ,2.7 ,3.5 ,2.7 
r_합천,50.8 ,52.1 ,50.9 ,55.1 ,40.3 ,30.6 ,34.6 ,27.1 ,28.0 ,21.0 ,18.5 ,21.0 ,19.1 ,25.2 ,18.7 
s_남강,39.3 ,74.1 ,40.1 ,66.6 ,64.4 ,34.8 ,42.0 ,28.0 ,19.3 ,24.5 ,29.4 ,17.7 ,32.8 ,18.3 ,32.5 
t_남지,63.0 ,60.1 ,57.2 ,64.6 ,74.4 ,35.0 ,31.5 ,34.3 ,30.0 ,26.0 ,22.2 ,25.6 ,28.0 ,37.2 ,24.0 
