point,BOD,COD,TN,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,CHL-A
aa_영강2,1.3,3.2,2.21,2.063,1.639,0.107,0.027,0.017,0.007,4.9
ab_상주1,1.1,4.2,2.416,2.308,2.008,0.084,0.033,0.022,0.015,8
ac_상주2,1.3,4.4,2.43,2.276,1.955,0.081,0.037,0.026,0.013,13.4
ad_위천2,1.4,5,2.651,2.507,2.107,0.097,0.029,0.031,0.009,6.8
ae_상주3,1.3,4.4,2.438,2.268,1.947,0.061,0.042,0.023,0.013,12.6
af_산곡,1.4,4.7,2.324,2.193,1.901,0.086,0.036,0.026,0.013,15.1
ag_감천2,1.2,4.1,3.758,3.59,3.113,0.123,0.111,0.083,0.072,6.4
ah_강정,1.4,4.6,2.445,2.311,1.97,0.083,0.041,0.029,0.015,14.2
ai_구미,1.9,5.4,2.931,2.713,2.204,0.161,0.084,0.053,0.038,19.8
aj_왜관,1.8,5.4,2.814,2.641,2.165,0.176,0.068,0.047,0.03,20.4
ak_성주,2.1,5.7,2.721,2.544,2.066,0.15,0.061,0.041,0.022,24.2
al_달성,2.2,5.8,2.624,2.458,2.013,0.147,0.058,0.038,0.02,25.6
am_금호강6,3.6,8.8,6.532,6.072,5.029,0.269,0.311,0.248,0.219,44.8
an_화원나루,2.7,6.9,3.936,3.682,3.018,0.216,0.155,0.111,0.092,30.7
ao_고령,2.7,6.9,3.773,3.56,2.933,0.198,0.121,0.086,0.068,35.3
ap_현풍,2.6,6.8,3.768,3.523,2.903,0.195,0.119,0.084,0.066,36.9
aq_회천2,1.5,4.2,2.056,1.952,1.623,0.105,0.036,0.026,0.014,8.3
ar_창녕,2.4,6.5,3.453,3.173,2.456,0.098,0.129,0.078,0.059,37.1
as_황강3,0.9,3,1.626,1.494,1.298,0.024,0.04,0.042,0.013,3
at_합천,2.2,6,3.252,3.003,2.346,0.083,0.113,0.067,0.048,32.9
au_남강4,2.5,5.5,2.59,2.308,1.608,0.248,0.086,0.043,0.023,37.6
av_남지,2.3,6.2,2.925,2.61,1.981,0.084,0.11,0.054,0.036,40.9
aw_임해진,2.4,6,2.938,2.641,2.04,0.071,0.097,0.05,0.033,42.5
ax_하남,2.5,6.5,2.931,2.621,1.988,0.071,0.1,0.048,0.03,47.5
ay_밀양강3,2.2,4.8,2.722,2.459,1.886,0.178,0.083,0.043,0.029,25.1
az_삼랑진,2.4,6.2,2.829,2.545,1.955,0.081,0.098,0.047,0.028,40
ba_물금,2.3,6.2,2.839,2.542,2.002,0.081,0.087,0.044,0.029,38.3
bb_금곡,2.4,6.3,2.832,2.549,1.962,0.111,0.089,0.046,0.031,37.7
bc_구포,2.3,6.2,2.849,2.534,1.886,0.102,0.099,0.049,0.03,39.1
