Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
aa_영강2,1.3,2.5,2.277,1.973,1.433,0.042,0.055,0.033,0.016,2.3
aa_영강2,1.1,3.3,2.448,2.312,1.429,0.133,0.022,0.019,0.004,5.7
aa_영강2,0.8,2.9,2.058,1.893,1.315,0.172,0.025,0.012,0.011,6.4
aa_영강2,1.7,3,1.575,1.413,1.232,0.087,0.041,0.027,0.007,4.4
aa_영강2,1.9,3.8,1.787,1.571,0.961,0.106,0.02,0.008,0.001,7.9
aa_영강2,1.9,3.3,1.927,1.796,1.485,0.027,0.032,0.026,0.012,2.9
aa_영강2,1,3,2.546,2.359,2.072,0.211,0.031,0.022,0.008,4.7
aa_영강2,1.3,3,2.307,2.207,1.759,0.098,0.028,0.019,0.01,7
aa_영강2,1.4,2.4,2.135,2.073,1.723,0.052,0.039,0.021,0.008,3.6
aa_영강2,1.2,3.9,2.402,2.278,1.726,0.067,0.024,0.008,0.004,4.9
aa_영강2,1.1,3.5,1.859,1.71,1.616,0.047,0.027,0.02,0.006,5.7
aa_영강2,0.9,3,2.285,2.202,1.942,0.054,0.013,0.009,0.003,5.3
aa_영강2,1.5,3.1,2.392,2.301,2.101,0.099,0.019,0.013,0.004,3.7
aa_영강2,1.2,3.4,2.694,2.532,1.906,0.236,0.017,0.012,0.007,5.3
aa_영강2,1.6,3.2,2.459,2.324,1.884,0.174,0.013,0.008,0.003,4.1
ab_상주1,0.8,3.2,2.594,2.148,1.966,0.073,0.052,0.042,0.014,6
ab_상주1,0.8,3.7,2.522,2.391,2.269,0.05,0.057,0.032,0.021,8.3
ab_상주1,0.7,2.5,2.393,2.335,2.076,0.089,0.037,0.021,0.014,7.2
ab_상주1,0.8,3,2.287,2.232,2.04,0.088,0.029,0.019,0.013,7.1
ab_상주1,0.9,3.8,2.326,2.223,1.962,0.086,0.038,0.027,0.015,8.5
ab_상주1,1,4.2,2.298,2.201,1.984,0.071,0.029,0.019,0.016,6.6
ab_상주1,0.9,4.5,2.409,2.29,1.871,0.069,0.037,0.024,0.019,3.7
ab_상주1,1,4.1,2.392,2.223,2.059,0.078,0.03,0.021,0.012,5.3
ab_상주1,0.9,3.9,2.587,2.54,2.036,0.104,0.038,0.028,0.038,5.1
ab_상주1,1.1,3.7,2.665,2.583,2.247,0.157,0.026,0.018,0.007,6.9
ab_상주1,1.5,4.3,2.02,1.966,1.591,0.096,0.019,0.013,0.007,8
ab_상주1,1.7,5,2.709,2.663,2.468,0.094,0.028,0.019,0.012,13.6
ab_상주1,1.7,5.6,2.16,2.102,1.752,0.073,0.028,0.02,0.012,11.9
ab_상주1,1.8,6.4,2.595,2.49,2.035,0.064,0.031,0.02,0.012,11.7
ab_상주1,1.3,4.8,2.279,2.231,1.765,0.064,0.02,0.014,0.008,10.2
ac_상주2,0.8,3.3,2.629,2.184,2.023,0.055,0.05,0.04,0.013,8.7
ac_상주2,0.8,3.5,2.51,2.371,2.264,0.045,0.057,0.028,0.019,9.5
ac_상주2,0.8,2.9,2.508,2.446,2.279,0.078,0.049,0.027,0.019,10.3
ac_상주2,0.9,3.1,2.316,2.227,2.016,0.085,0.021,0.015,0.011,10.5
ac_상주2,1,3.8,2.246,2.103,1.88,0.08,0.035,0.024,0.015,9
ac_상주2,1,4.1,2.32,2.226,2.05,0.078,0.041,0.021,0.016,7.9
ac_상주2,1,4.3,2.538,2.377,1.904,0.1,0.04,0.023,0.018,5.6
ac_상주2,1.2,4.7,2.384,2.232,2.029,0.093,0.035,0.022,0.013,11.1
ac_상주2,1.9,4.6,2.384,2.28,1.85,0.106,0.043,0.024,0.023,25.1
ac_상주2,1.8,4.6,2.509,2.387,2.065,0.185,0.031,0.018,0.009,17.5
ac_상주2,1.6,5.1,1.888,1.744,1.377,0.11,0.021,0.07,0.006,15
ac_상주2,2,5.7,2.673,2.522,2.064,0.061,0.032,0.019,0.008,15.3
ac_상주2,1.6,5.2,2.433,2.238,1.669,0.038,0.033,0.016,0.006,16.8
ac_상주2,1.9,5.8,2.839,2.641,2.125,0.063,0.041,0.02,0.011,18.6
ac_상주2,1.8,5,2.277,2.158,1.724,0.038,0.03,0.02,0.006,20.1
ad_위천2,1.4,3.9,3.062,2.576,2.373,0.08,0.036,0.029,0.009,8.4
ad_위천2,1.7,4,2.853,2.652,2.486,0.085,0.046,0.022,0.007,9.5
ad_위천2,1.2,3.6,3.11,3.006,2.711,0.063,0.038,0.018,0.012,5.4
ad_위천2,1.6,4.5,2.709,2.556,2.201,0.19,0.026,0.017,0.007,7.8
ad_위천2,1.1,3.7,1.889,1.832,1.583,0.084,0.024,0.018,0.009,5
ad_위천2,1.1,5.2,2.606,2.53,2.107,0.057,0.027,0.019,0.01,5.9
ad_위천2,1,5.5,2.651,2.522,2.104,0.067,0.025,0.018,0.013,4.6
ad_위천2,1.4,5.1,2.636,2.465,2.11,0.082,0.029,0.208,0.004,6.7
ad_위천2,1.5,4.7,2.53,2.466,1.74,0.113,0.021,0.014,0.006,6.5
ad_위천2,1.5,4.5,2.815,2.475,2.347,0.122,0.019,0.015,0.005,4.8
ad_위천2,1.3,5.4,2.369,2.304,1.562,0.146,0.026,0.02,0.009,8.6
ad_위천2,1.4,6.2,2.794,2.758,2.506,0.136,0.035,0.02,0.012,5.6
ad_위천2,1.9,5.5,1.907,1.806,1.432,0.096,0.019,0.013,0.009,8
ad_위천2,2,7.1,3.164,3.064,2.217,0.073,0.038,0.027,0.016,8.5
ad_위천2,1.6,5.7,2.668,2.587,2.128,0.061,0.019,0.013,0.005,6.6
ae_상주3,0.8,3.3,2.575,2.143,1.987,0.062,0.047,0.038,0.012,8.1
ae_상주3,0.7,3.7,2.5,2.383,2.241,0.046,0.05,0.029,0.018,9.9
ae_상주3,0.9,3.1,2.581,2.536,2.184,0.068,0.051,0.032,0.022,9.9
ae_상주3,0.9,3.1,2.205,2.088,1.852,0.054,0.04,0.024,0.016,5.3
ae_상주3,1.1,3.4,2.213,2.075,1.8,0.049,0.042,0.019,0.014,13.6
ae_상주3,1.2,4.5,2.468,2.313,2.042,0.064,0.067,0.03,0.024,8.3
ae_상주3,1.2,4.5,2.555,2.44,2.201,0.062,0.07,0.031,0.024,8.2
ae_상주3,1.3,4.5,2.438,2.241,2.009,0.072,0.044,0.023,0.014,14.4
ae_상주3,1.6,4.7,2.516,2.325,1.991,0.08,0.043,0.021,0.01,19.6
ae_상주3,1.7,5,2.613,2.435,1.946,0.055,0.036,0.018,0.007,14.8
ae_상주3,1.7,5.1,1.894,1.75,1.409,0.057,0.026,0.012,0.004,12.1
ae_상주3,1.6,5.6,2.607,2.442,1.999,0.066,0.03,0.017,0.008,12.3
ae_상주3,1.5,5.4,2.353,2.114,1.666,0.055,0.027,0.013,0.006,18
ae_상주3,1.5,5.6,2.763,2.589,2.121,0.078,0.031,0.018,0.011,16.3
ae_상주3,1.5,5.1,2.293,2.151,1.76,0.054,0.03,0.019,0.007,18.9
af_산곡,0.9,3.4,2.447,2.025,1.88,0.057,0.055,0.045,0.015,9.8
af_산곡,0.7,3.6,2.469,2.338,2.236,0.035,0.054,0.028,0.015,8.4
af_산곡,0.9,3.1,2.486,2.426,2.29,0.07,0.054,0.026,0.017,14.5
af_산곡,0.9,3.3,2.275,2.186,1.917,0.084,0.026,0.017,0.009,15.1
af_산곡,1.1,3.9,2.148,2.067,1.82,0.082,0.031,0.022,0.009,17.9
af_산곡,1,4.4,2.366,2.222,1.935,0.075,0.047,0.029,0.019,7.9
af_산곡,1,4.7,2.57,2.483,2.06,0.079,0.054,0.03,0.024,8.3
af_산곡,1.4,5.2,2.345,2.043,1.991,0.083,0.032,0.019,0.01,15
af_산곡,1.8,4.8,2.185,2.061,1.663,0.118,0.032,0.014,0.02,22.7
