point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
aa_상주1,0.042 ,0.032 ,0.021 ,0.019 ,0.027 ,0.019 ,0.024 ,0.021 ,0.028 ,0.018 ,0.013 ,0.019 ,0.020 ,0.020 ,0.014 
ab_상주2,0.040 ,0.028 ,0.027 ,0.015 ,0.024 ,0.021 ,0.023 ,0.022 ,0.024 ,0.018 ,0.070 ,0.019 ,0.016 ,0.020 ,0.020 
ac_상주3,0.038 ,0.029 ,0.032 ,0.024 ,0.019 ,0.030 ,0.031 ,0.023 ,0.021 ,0.018 ,0.012 ,0.017 ,0.013 ,0.018 ,0.019 
ad_산곡,0.045 ,0.028 ,0.026 ,0.017 ,0.022 ,0.029 ,0.030 ,0.019 ,0.014 ,0.019 ,0.075 ,0.018 ,0.017 ,0.021 ,0.017 
ae_강정,0.042 ,0.038 ,0.029 ,0.018 ,0.019 ,0.026 ,0.030 ,0.019 ,0.033 ,0.026 ,0.066 ,0.022 ,0.016 ,0.026 ,0.020 
af_구미,0.096 ,0.108 ,0.062 ,0.072 ,0.099 ,0.080 ,0.075 ,0.048 ,0.026 ,0.028 ,0.018 ,0.022 ,0.017 ,0.024 ,0.023 
ag_왜관,0.080 ,0.061 ,0.051 ,0.062 ,0.086 ,0.066 ,0.056 ,0.036 ,0.029 ,0.031 ,0.061 ,0.021 ,0.016 ,0.025 ,0.020 
ah_성주,0.069 ,0.048 ,0.028 ,0.039 ,0.067 ,0.059 ,0.049 ,0.035 ,0.027 ,0.031 ,0.076 ,0.022 ,0.018 ,0.025 ,0.020 
ai_달성,0.061 ,0.049 ,0.024 ,0.027 ,0.060 ,0.063 ,0.047 ,0.033 ,0.025 ,0.030 ,0.065 ,0.021 ,0.019 ,0.026 ,0.020 
aj_화원나루,0.249 ,0.216 ,0.220 ,0.179 ,0.231 ,0.172 ,0.130 ,0.064 ,0.033 ,0.031 ,0.026 ,0.035 ,0.020 ,0.028 ,0.030 
ak_고령,0.153 ,0.136 ,0.151 ,0.176 ,0.185 ,0.116 ,0.100 ,0.064 ,0.033 ,0.035 ,0.026 ,0.035 ,0.023 ,0.028 ,0.025 
al_현풍,0.159 ,0.119 ,0.133 ,0.171 ,0.207 ,0.104 ,0.090 ,0.060 ,0.031 ,0.035 ,0.026 ,0.032 ,0.021 ,0.033 ,0.033 
am_창녕,0.122 ,0.116 ,0.119 ,0.163 ,0.212 ,0.105 ,0.083 ,0.056 ,0.029 ,0.030 ,0.027 ,0.032 ,0.020 ,0.030 ,0.028 
an_합천,0.094 ,0.095 ,0.107 ,0.141 ,0.182 ,0.082 ,0.070 ,0.056 ,0.029 ,0.028 ,0.025 ,0.026 ,0.019 ,0.027 ,0.029 
ao_남지,0.079 ,0.089 ,0.094 ,0.111 ,0.120 ,0.067 ,0.049 ,0.047 ,0.023 ,0.022 ,0.021 ,0.027 ,0.018 ,0.023 ,0.023 
ap_임해진,0.071 ,0.076 ,0.086 ,0.111 ,0.107 ,0.057 ,0.047 ,0.045 ,0.023 ,0.021 ,0.022 ,0.025 ,0.018 ,0.022 ,0.025 
aq_하남,0.064 ,0.073 ,0.084 ,0.094 ,0.104 ,0.057 ,0.043 ,0.042 ,0.023 ,0.020 ,0.023 ,0.030 ,0.018 ,0.024 ,0.022 
ar_삼랑진,0.065 ,0.066 ,0.071 ,0.095 ,0.131 ,0.044 ,0.041 ,0.036 ,0.024 ,0.022 ,0.022 ,0.030 ,0.019 ,0.023 ,0.022 
as_물금,0.068 ,0.077 ,0.075 ,0.081 ,0.082 ,0.043 ,0.044 ,0.036 ,0.025 ,0.024 ,0.020 ,0.024 ,0.016 ,0.024 ,0.022 
at_금곡,0.060 ,0.068 ,0.077 ,0.087 ,0.092 ,0.050 ,0.058 ,0.036 ,0.029 ,0.028 ,0.021 ,0.023 ,0.017 ,0.024 ,0.024 
au_구포,0.061 ,0.075 ,0.071 ,0.102 ,0.115 ,0.043 ,0.045 ,0.042 ,0.026 ,0.024 ,0.021 ,0.031 ,0.022 ,0.026 ,0.024 
