point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
aa_상주1,1.966 ,2.269 ,2.076 ,2.040 ,1.962 ,1.984 ,1.871 ,2.059 ,2.036 ,2.247 ,1.591 ,2.468 ,1.752 ,2.035 ,1.765 
ab_상주2,2.023 ,2.264 ,2.279 ,2.016 ,1.880 ,2.050 ,1.904 ,2.029 ,1.850 ,2.065 ,1.377 ,2.064 ,1.669 ,2.125 ,1.724 
ac_상주3,1.987 ,2.241 ,2.184 ,1.852 ,1.800 ,2.042 ,2.201 ,2.009 ,1.991 ,1.946 ,1.409 ,1.999 ,1.666 ,2.121 ,1.760 
ad_산곡,1.880 ,2.236 ,2.290 ,1.917 ,1.820 ,1.935 ,2.060 ,1.991 ,1.663 ,2.009 ,1.266 ,2.123 ,1.612 ,2.011 ,1.708 
ae_강정,1.989 ,2.250 ,2.329 ,1.989 ,1.885 ,1.963 ,2.066 ,2.156 ,1.759 ,2.133 ,1.407 ,2.085 ,1.703 ,2.155 ,1.686 
af_구미,2.358 ,2.819 ,2.284 ,2.108 ,2.239 ,2.239 ,2.490 ,2.353 ,2.119 ,2.258 ,1.687 ,2.118 ,1.863 ,2.230 ,1.890 
ag_왜관,2.249 ,2.535 ,2.319 ,2.260 ,2.086 ,2.334 ,2.291 ,2.272 ,1.996 ,2.264 ,1.645 ,2.211 ,1.882 ,2.219 ,1.907 
ah_성주,2.038 ,2.472 ,2.271 ,1.853 ,2.047 ,2.217 ,2.355 ,2.215 ,1.881 ,2.174 ,1.541 ,2.203 ,1.783 ,2.088 ,1.848 
ai_달성,1.993 ,2.434 ,2.204 ,2.034 ,1.933 ,2.106 ,2.270 ,2.180 ,1.810 ,2.094 ,1.483 ,2.113 ,1.760 ,2.023 ,1.756 
aj_화원나루,3.098 ,3.722 ,3.620 ,3.312 ,3.558 ,3.687 ,3.280 ,2.741 ,2.190 ,3.337 ,2.424 ,2.857 ,2.371 ,2.739 ,2.333 
ak_고령,2.841 ,3.172 ,3.225 ,3.241 ,3.497 ,3.210 ,3.143 ,3.144 ,2.593 ,3.066 ,2.484 ,3.100 ,2.373 ,2.504 ,2.409 
al_현풍,2.704 ,3.263 ,3.166 ,3.210 ,3.413 ,3.244 ,2.932 ,3.066 ,2.557 ,3.048 ,2.422 ,2.784 ,2.485 ,2.773 ,2.481 
am_창녕,2.430 ,2.392 ,2.385 ,2.525 ,2.848 ,2.735 ,3.182 ,2.635 ,2.578 ,2.280 ,2.008 ,2.068 ,2.095 ,2.350 ,2.323 
an_합천,2.167 ,2.042 ,2.199 ,2.272 ,2.488 ,2.511 ,2.780 ,2.490 ,2.626 ,2.291 ,2.066 ,2.288 ,2.181 ,2.489 ,2.293 
ao_남지,1.955 ,1.953 ,2.075 ,2.040 ,1.995 ,2.134 ,2.453 ,2.217 ,2.260 ,1.817 ,1.582 ,1.569 ,1.719 ,1.958 ,1.995 
ap_임해진,1.939 ,1.855 ,1.967 ,1.988 ,1.779 ,2.035 ,2.516 ,2.353 ,2.296 ,1.929 ,1.686 ,1.954 ,2.000 ,2.230 ,2.068 
aq_하남,1.980 ,1.800 ,1.796 ,1.948 ,1.926 ,1.984 ,2.517 ,2.319 ,2.278 ,1.924 ,1.701 ,1.807 ,1.761 ,2.057 ,2.018 
ar_삼랑진,2.024 ,1.852 ,1.927 ,1.906 ,1.841 ,2.048 ,2.461 ,2.213 ,2.208 ,1.819 ,1.628 ,1.775 ,1.644 ,2.036 ,1.940 
as_물금,1.864 ,1.809 ,1.882 ,2.059 ,2.049 ,2.213 ,2.412 ,2.176 ,1.976 ,2.048 ,1.708 ,1.864 ,1.802 ,2.159 ,2.003 
at_금곡,1.897 ,1.791 ,1.876 ,1.956 ,2.212 ,2.049 ,2.313 ,2.165 ,1.857 ,2.048 ,1.677 ,1.777 ,1.765 ,2.108 ,1.945 
au_구포,1.840 ,1.787 ,1.871 ,1.844 ,1.778 ,1.901 ,2.448 ,2.096 ,2.138 ,1.811 ,1.605 ,1.655 ,1.625 ,1.935 ,1.957 
