point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
aa_상주1,2.594 ,2.522 ,2.393 ,2.287 ,2.326 ,2.298 ,2.409 ,2.392 ,2.587 ,2.665 ,2.020 ,2.709 ,2.160 ,2.595 ,2.279 
ab_상주2,2.629 ,2.510 ,2.508 ,2.316 ,2.246 ,2.320 ,2.538 ,2.384 ,2.384 ,2.509 ,1.888 ,2.673 ,2.433 ,2.839 ,2.277 
ac_상주3,2.575 ,2.500 ,2.581 ,2.205 ,2.213 ,2.468 ,2.555 ,2.438 ,2.516 ,2.613 ,1.894 ,2.607 ,2.353 ,2.763 ,2.293 
ad_산곡,2.447 ,2.469 ,2.486 ,2.275 ,2.148 ,2.366 ,2.570 ,2.345 ,2.185 ,2.414 ,1.811 ,2.442 ,2.062 ,2.584 ,2.250 
ae_강정,2.681 ,2.548 ,2.546 ,2.344 ,2.282 ,2.422 ,2.602 ,2.536 ,2.330 ,2.565 ,1.939 ,2.614 ,2.324 ,2.768 ,2.169 
af_구미,3.562 ,3.510 ,2.813 ,2.708 ,2.859 ,2.838 ,2.967 ,2.917 ,2.924 ,3.163 ,2.511 ,2.923 ,2.695 ,3.031 ,2.544 
ag_왜관,3.343 ,3.050 ,2.833 ,2.759 ,2.722 ,2.945 ,2.957 ,2.772 ,2.659 ,2.924 ,2.367 ,2.835 ,2.625 ,2.976 ,2.448 
ah_성주,3.255 ,2.954 ,2.758 ,2.811 ,2.600 ,2.889 ,3.011 ,2.709 ,2.482 ,2.880 ,2.252 ,2.592 ,2.308 ,2.814 ,2.499 
ai_달성,2.934 ,2.836 ,2.825 ,2.629 ,2.531 ,2.730 ,2.944 ,2.637 ,2.370 ,2.748 ,2.207 ,2.503 ,2.278 ,2.723 ,2.469 
aj_화원나루,4.944 ,4.637 ,4.565 ,4.162 ,4.323 ,4.294 ,4.150 ,3.241 ,3.073 ,4.077 ,3.363 ,3.856 ,3.430 ,3.702 ,3.225 
ak_고령,4.334 ,4.009 ,4.081 ,4.069 ,4.176 ,3.971 ,4.041 ,3.770 ,3.383 ,3.803 ,3.441 ,3.548 ,3.159 ,3.495 ,3.314 
al_현풍,4.399 ,4.029 ,4.059 ,4.188 ,4.062 ,3.866 ,3.795 ,3.714 ,3.343 ,3.802 ,3.442 ,3.516 ,3.431 ,3.661 ,3.220 
am_창녕,3.715 ,3.808 ,3.529 ,3.572 ,4.083 ,3.717 ,3.770 ,3.506 ,3.111 ,3.326 ,2.989 ,3.253 ,3.059 ,3.303 ,3.047 
an_합천,3.354 ,3.319 ,3.292 ,3.238 ,3.678 ,3.357 ,3.258 ,3.205 ,3.039 ,3.270 ,2.999 ,3.229 ,3.126 ,3.356 ,3.064 
ao_남지,3.069 ,3.331 ,3.167 ,3.053 ,3.331 ,3.400 ,3.218 ,2.982 ,2.627 ,2.648 ,2.354 ,2.620 ,2.634 ,2.764 ,2.670 
ap_임해진,3.131 ,3.271 ,3.055 ,3.135 ,2.863 ,3.025 ,2.977 ,3.020 ,2.696 ,2.776 ,2.461 ,2.834 ,2.918 ,3.105 ,2.809 
aq_하남,3.280 ,3.274 ,3.088 ,2.999 ,3.153 ,3.205 ,3.035 ,2.986 ,2.671 ,2.747 ,2.458 ,2.849 ,2.642 ,2.907 ,2.664 
ar_삼랑진,3.120 ,3.426 ,2.825 ,3.015 ,2.981 ,2.886 ,2.979 ,2.836 ,2.623 ,2.631 ,2.381 ,2.761 ,2.508 ,2.918 ,2.551 
as_물금,2.953 ,3.122 ,2.996 ,2.763 ,2.969 ,2.891 ,2.960 ,2.914 ,2.780 ,2.964 ,2.425 ,2.625 ,2.660 ,2.928 ,2.638 
at_금곡,3.105 ,3.074 ,3.040 ,2.708 ,3.039 ,2.836 ,2.872 ,2.918 ,2.781 ,2.954 ,2.390 ,2.582 ,2.650 ,2.882 ,2.656 
au_구포,2.949 ,3.194 ,2.977 ,2.929 ,3.184 ,3.194 ,3.159 ,2.880 ,2.560 ,2.712 ,2.370 ,2.688 ,2.499 ,2.825 ,2.621 
