year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
2005,2.3,5.4,3.256,2.716,2.153,0.153,0.128,0.084,0.056,37.4
2006,2.2,5.3,3.209,2.874,2.331,0.101,0.131,0.077,0.058,40.1
2007,2.1,5,3.067,2.81,2.296,0.112,0.128,0.076,0.061,42
2008,2.1,5.2,2.96,2.74,2.208,0.135,0.128,0.086,0.064,40.4
2009,2.4,5.9,3.037,2.785,2.24,0.131,0.15,0.104,0.08,43.6
2010,1.8,5.5,3.044,2.802,2.315,0.141,0.119,0.063,0.05,25.8
2011,1.7,5.6,3.084,2.881,2.474,0.127,0.115,0.055,0.045,21.9
2012,2,5.8,2.91,2.671,2.328,0.085,0.075,0.04,0.024,26.6
2013,2.1,5.3,2.72,2.556,2.127,0.117,0.053,0.026,0.015,25
2014,2.2,5.6,2.961,2.804,2.219,0.131,0.047,0.026,0.012,24.2
2015,2,6,2.474,2.321,1.733,0.112,0.034,0.035,0.01,20.6
2016,2.1,6.6,2.869,2.726,2.137,0.12,0.042,0.025,0.013,20.6
2017,2,6.3,2.664,2.497,1.881,0.09,0.034,0.018,0.008,21.4
2018,2.1,7,2.997,2.812,2.207,0.095,0.045,0.025,0.014,25.9
2019,1.9,6.3,2.653,2.502,1.991,0.08,0.04,0.023,0.01,22
