year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
2005,1.8,4.4,3.416,2.881,2.29,0.141,0.135,0.096,0.074,14.9
2006,2,4.7,3.404,3.14,2.447,0.203,0.133,0.094,0.078,22
2007,1.7,4.2,3.299,3.117,2.613,0.153,0.16,0.125,0.114,17.6
2008,2,4.9,2.975,2.703,2.235,0.159,0.156,0.12,0.097,25.1
2009,2.2,5.3,3.103,2.886,2.196,0.203,0.154,0.117,0.095,28.6
2010,1.6,5,3.019,2.87,2.411,0.126,0.115,0.086,0.072,13.9
2011,1.7,4.8,3.041,2.857,2.413,0.156,0.099,0.071,0.06,15.5
2012,1.6,4.4,3.094,2.911,2.484,0.144,0.073,0.103,0.034,14.2
2013,1.7,4.3,2.976,2.796,2.257,0.147,0.077,0.031,0.018,12.8
2014,1.9,4.7,2.948,2.742,2.311,0.126,0.048,0.029,0.014,14.2
2015,1.9,5,2.637,2.465,1.946,0.116,0.046,0.028,0.014,17.6
2016,1.8,5.2,2.884,2.748,2.395,0.129,0.046,0.03,0.018,13.3
2017,2.2,5.1,2.697,2.526,1.969,0.139,0.034,0.018,0.008,19.3
2018,1.8,5.3,3.078,2.91,2.264,0.131,0.038,0.024,0.014,13
2019,1.8,4.9,2.702,2.531,2.089,0.085,0.04,0.027,0.011,14.8
