BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a,BOD_lag,COD_lag,T-N_lag,DTN_lag,NO3-N_lag,NH3-N_lag,T-P_lag,DTP_lag,PO4-P_lag,Chl-a_lag
1.6,3.8,4.339,3.677,2.835,0.337,0.214,0.151,0.112,4,1.3,3.3,3.887,3.472,3.017,0.142,0.163,0.125,0.092,4
1.9,4.1,3.966,3.386,2.78,0.316,0.145,0.107,0.096,8.6,1.6,3.8,4.339,3.677,2.835,0.337,0.214,0.151,0.112,4
2.1,4.5,3.481,2.881,2.205,0.242,0.126,0.096,0.076,9.4,1.9,4.1,3.966,3.386,2.78,0.316,0.145,0.107,0.096,8.6
2.2,4.9,3.334,2.735,1.955,0.11,0.123,0.091,0.074,14.5,2.1,4.5,3.481,2.881,2.205,0.242,0.126,0.096,0.076,9.4
3.1,6,2.911,2.328,1.64,0.093,0.148,0.087,0.055,40.7,2.2,4.9,3.334,2.735,1.955,0.11,0.123,0.091,0.074,14.5
1.6,5.5,3.784,3.158,2.505,0.065,0.138,0.09,0.057,20.6,3.1,6,2.911,2.328,1.64,0.093,0.148,0.087,0.055,40.7
1.8,5.3,3.018,2.444,1.891,0.092,0.106,0.065,0.046,28.9,1.6,5.5,3.784,3.158,2.505,0.065,0.138,0.09,0.057,20.6
1.3,4,2.79,2.291,1.95,0.064,0.094,0.065,0.04,7.5,1.8,5.3,3.018,2.444,1.891,0.092,0.106,0.065,0.046,28.9
1.5,4.1,2.686,2.307,1.883,0.024,0.119,0.084,0.08,17.3,1.3,4,2.79,2.291,1.95,0.064,0.094,0.065,0.04,7.5
1.6,4.1,2.906,2.467,2.12,0.031,0.113,0.089,0.078,15.9,1.5,4.1,2.686,2.307,1.883,0.024,0.119,0.084,0.08,17.3
1.4,3.7,3.895,3.425,2.705,0.173,0.131,0.099,0.084,7.9,1.6,4.1,2.906,2.467,2.12,0.031,0.113,0.089,0.078,15.9
1.3,3.9,4.219,3.638,2.957,0.447,0.122,0.09,0.076,6.6,1.4,3.7,3.895,3.425,2.705,0.173,0.131,0.099,0.084,7.9
2.2,4.5,4.463,3.952,2.828,0.764,0.139,0.093,0.081,18,1.3,3.9,4.219,3.638,2.957,0.447,0.122,0.09,0.076,6.6
3.5,6.3,4.279,3.663,2.263,0.33,0.175,0.101,0.073,57.4,2.2,4.5,4.463,3.952,2.828,0.764,0.139,0.093,0.081,18
3.3,6.4,3.55,3.21,2.436,0.254,0.15,0.088,0.068,47,3.5,6.3,4.279,3.663,2.263,0.33,0.175,0.101,0.073,57.4
1.9,5,3.257,3.162,2.403,0.108,0.108,0.07,0.063,17.2,3.3,6.4,3.55,3.21,2.436,0.254,0.15,0.088,0.068,47
2.2,5.4,2.879,2.72,1.859,0.12,0.141,0.112,0.091,20.6,1.9,5,3.257,3.162,2.403,0.108,0.108,0.07,0.063,17.2
1.7,5.5,2.742,2.631,1.974,0.061,0.124,0.078,0.061,13.9,2.2,5.4,2.879,2.72,1.859,0.12,0.141,0.112,0.091,20.6
2.3,5.1,2.998,2.83,2.374,0.06,0.106,0.063,0.041,27.8,1.7,5.5,2.742,2.631,1.974,0.061,0.124,0.078,0.061,13.9
1.3,3.5,2.722,2.566,2.344,0.039,0.106,0.085,0.074,11.3,2.3,5.1,2.998,2.83,2.374,0.06,0.106,0.063,0.041,27.8
1.6,3.6,3.036,2.906,2.519,0.059,0.136,0.114,0.097,20.7,1.3,3.5,2.722,2.566,2.344,0.039,0.106,0.085,0.074,11.3
1.6,4,2.969,2.828,2.361,0.057,0.144,0.118,0.103,14.5,1.6,3.6,3.036,2.906,2.519,0.059,0.136,0.114,0.097,20.7
