year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chlorophyll-a
2005,2.1,5.1,3.374,2.791,2.265,0.174,0.129,0.095,0.063,27.1
2006,2,5.1,3.251,2.987,2.557,0.12,0.13,0.083,0.064,32.3
2007,2,4.8,3.146,2.952,2.488,0.128,0.126,0.079,0.065,35.2
2008,2,5.1,3.024,2.85,2.331,0.161,0.122,0.087,0.069,36.2
2009,2.2,5.7,3.09,2.878,2.392,0.134,0.153,0.11,0.091,38
2010,1.6,5.4,3.113,2.932,2.458,0.171,0.122,0.073,0.059,18.7
2011,1.6,5.6,3.17,2.97,2.529,0.129,0.118,0.062,0.052,19.6
2012,1.9,5.7,2.94,2.712,2.393,0.09,0.071,0.042,0.027,21.8
2013,2.1,5.3,2.745,2.6,2.134,0.125,0.051,0.027,0.014,24.6
2014,2.3,5.7,3.053,2.909,2.342,0.156,0.045,0.027,0.012,24.7
2015,2.1,6.2,2.533,2.372,1.772,0.137,0.033,0.042,0.009,20.9
2016,2.2,6.7,2.944,2.811,2.256,0.136,0.041,0.025,0.013,20.8
2017,2,6.2,2.708,2.549,1.94,0.096,0.034,0.018,0.008,19.7
2018,2.1,6.8,3.056,2.893,2.27,0.107,0.044,0.025,0.014,23.9
2019,2,6.3,2.678,2.533,2.008,0.086,0.039,0.023,0.01,21.3
