year,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chlorophyll-a
2019,2.0 ,6.3 ,2.678 ,2.533 ,2.008 ,0.086 ,0.039 ,0.023 ,0.010 ,0.021 
2018,2.1 ,6.8 ,3.056 ,2.893 ,2.270 ,0.107 ,0.044 ,0.025 ,0.014 ,0.024 
2017,2.0 ,6.2 ,2.708 ,2.549 ,1.940 ,0.096 ,0.034 ,0.018 ,0.008 ,0.020 
2016,2.2 ,6.7 ,2.944 ,2.811 ,2.256 ,0.136 ,0.041 ,0.025 ,0.013 ,0.021 
2015,2.1 ,6.2 ,2.533 ,2.372 ,1.772 ,0.137 ,0.033 ,0.042 ,0.009 ,0.021 
2014,2.3 ,5.7 ,3.053 ,2.909 ,2.342 ,0.156 ,0.045 ,0.027 ,0.012 ,0.025 
2013,2.1 ,5.3 ,2.745 ,2.600 ,2.134 ,0.125 ,0.051 ,0.027 ,0.014 ,0.025 
2012,1.9 ,5.7 ,2.940 ,2.712 ,2.393 ,0.090 ,0.071 ,0.042 ,0.027 ,0.022 
2011,1.6 ,5.6 ,3.170 ,2.970 ,2.529 ,0.129 ,0.118 ,0.062 ,0.052 ,0.020 
2010,1.6 ,5.4 ,3.113 ,2.932 ,2.458 ,0.171 ,0.122 ,0.073 ,0.059 ,0.019 
2009,2.2 ,5.7 ,3.090 ,2.878 ,2.392 ,0.134 ,0.153 ,0.110 ,0.091 ,0.038 
2008,2.0 ,5.1 ,3.024 ,2.850 ,2.331 ,0.161 ,0.122 ,0.087 ,0.069 ,0.036 
2007,2.0 ,4.8 ,3.146 ,2.952 ,2.488 ,0.128 ,0.126 ,0.079 ,0.065 ,0.035 
2006,2.0 ,5.1 ,3.251 ,2.987 ,2.557 ,0.120 ,0.130 ,0.083 ,0.064 ,0.032 
2005,2.1 ,5.1 ,3.374 ,2.791 ,2.265 ,0.174 ,0.129 ,0.095 ,0.063 ,0.027 
